Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6866,267,1.0000,0.9089,0.7105,0.4769,0.6592,0.0108,21.46 seg
2,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6670,0.0072,24.17 seg
3,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6710,0.0060,21.27 seg
4,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6735,0.0051,21.20 seg
5,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6756,0.0048,21.19 seg
6,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6771,0.0045,21.47 seg
7,0.6894,268,1.0000,0.9184,0.7069,0.4643,0.6782,0.0043,24.23 seg
8,0.6934,268,1.0000,0.9211,0.7208,0.4722,0.6794,0.0042,22.01 seg
9,0.6934,268,1.0000,0.9211,0.7208,0.4722,0.6803,0.0041,22.22 seg
10,0.6934,268,1.0000,0.9211,0.7208,0.4722,0.6814,0.0038,22.35 seg
11,0.6934,268,1.0000,0.9211,0.7208,0.4722,0.6823,0.0038,22.25 seg
12,0.6970,253,1.0000,0.9183,0.7057,0.4952,0.6832,0.0038,24.04 seg
13,0.6970,253,1.0000,0.9183,0.7057,0.4952,0.6839,0.0037,22.01 seg
14,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6848,0.0037,22.16 seg
15,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6855,0.0036,22.09 seg
16,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6862,0.0036,21.66 seg
17,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6870,0.0037,22.00 seg
18,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6878,0.0037,24.84 seg
19,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6884,0.0037,22.23 seg
20,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6891,0.0037,21.91 seg
21,0.7014,238,1.0000,0.9217,0.7164,0.4842,0.6896,0.0036,22.14 seg
22,0.7033,225,1.0000,0.9194,0.7178,0.4862,0.6903,0.0036,22.63 seg
23,0.7033,225,1.0000,0.9194,0.7178,0.4862,0.6909,0.0035,25.76 seg
24,0.7033,225,1.0000,0.9194,0.7178,0.4862,0.6914,0.0036,22.89 seg
25,0.7033,225,1.0000,0.9194,0.7178,0.4862,0.6920,0.0037,22.96 seg
26,0.7033,225,1.0000,0.9194,0.7178,0.4862,0.6926,0.0037,22.67 seg
27,0.7036,220,1.0000,0.9177,0.7107,0.4920,0.6931,0.0036,23.11 seg
28,0.7068,218,1.0000,0.9203,0.7099,0.5013,0.6937,0.0035,22.61 seg
29,0.7068,218,1.0000,0.9203,0.7099,0.5013,0.6943,0.0034,24.63 seg
30,0.7068,218,1.0000,0.9203,0.7099,0.5013,0.6950,0.0034,21.69 seg
31,0.7086,214,1.0000,0.9210,0.7091,0.5064,0.6955,0.0035,22.02 seg
32,0.7086,214,1.0000,0.9210,0.7091,0.5064,0.6960,0.0034,22.76 seg
33,0.7086,214,1.0000,0.9210,0.7091,0.5064,0.6967,0.0034,22.39 seg
34,0.7110,206,1.0000,0.9231,0.7030,0.5076,0.6972,0.0034,24.93 seg
35,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.6977,0.0034,21.65 seg
36,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.6983,0.0033,21.59 seg
37,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.6989,0.0033,21.83 seg
38,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.6995,0.0034,21.90 seg
39,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.7001,0.0033,22.62 seg
40,0.7118,219,1.0000,0.9204,0.7175,0.5309,0.7008,0.0033,24.68 seg
41,0.7121,211,1.0000,0.9233,0.7200,0.5095,0.7014,0.0034,21.65 seg
42,0.7121,211,1.0000,0.9233,0.7200,0.5095,0.7020,0.0033,22.07 seg
43,0.7121,211,1.0000,0.9233,0.7200,0.5095,0.7026,0.0031,22.06 seg
44,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7032,0.0032,21.78 seg
45,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7036,0.0032,21.47 seg
46,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7042,0.0033,24.56 seg
47,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7048,0.0032,22.19 seg
48,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7052,0.0032,22.58 seg
49,0.7144,209,1.0000,0.9205,0.7287,0.5265,0.7057,0.0032,22.51 seg
50,0.7168,213,1.0000,0.9251,0.7151,0.5405,0.7064,0.0031,22.44 seg
