Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6839,302,1.0000,0.9155,0.7092,0.4751,0.6603,0.0106,23.23 seg
2,0.6866,274,1.0000,0.9114,0.7085,0.4697,0.6724,0.0065,21.67 seg
3,0.6912,269,1.0000,0.9160,0.7152,0.4725,0.6790,0.0048,21.30 seg
4,0.6928,264,1.0000,0.9165,0.7050,0.4813,0.6828,0.0042,21.49 seg
5,0.6952,255,1.0000,0.9242,0.7135,0.4516,0.6861,0.0039,23.86 seg
6,0.6979,277,0.9997,0.9272,0.7111,0.4900,0.6888,0.0033,21.03 seg
7,0.7013,254,1.0000,0.9290,0.7128,0.4731,0.6908,0.0033,21.64 seg
8,0.7017,275,0.9997,0.9342,0.7099,0.4878,0.6930,0.0032,21.53 seg
9,0.7041,253,1.0000,0.9282,0.7184,0.4901,0.6952,0.0031,21.34 seg
10,0.7093,254,1.0000,0.9406,0.7162,0.4819,0.6979,0.0031,23.37 seg
11,0.7103,256,1.0000,0.9423,0.7097,0.4894,0.7005,0.0028,21.61 seg
12,0.7104,262,1.0000,0.9451,0.7143,0.4847,0.7037,0.0028,21.18 seg
13,0.7144,249,1.0000,0.9461,0.7145,0.4900,0.7078,0.0023,20.95 seg
14,0.7156,248,1.0000,0.9473,0.7167,0.4906,0.7104,0.0014,20.89 seg
15,0.7156,248,1.0000,0.9473,0.7167,0.4906,0.7122,0.0014,23.49 seg
16,0.7165,246,1.0000,0.9480,0.7171,0.4912,0.7142,0.0008,21.16 seg
17,0.7169,248,1.0000,0.9502,0.7164,0.4891,0.7153,0.0006,20.83 seg
18,0.7179,245,1.0000,0.9506,0.7155,0.4906,0.7161,0.0005,20.94 seg
19,0.7184,245,1.0000,0.9512,0.7160,0.4917,0.7169,0.0004,21.00 seg
20,0.7187,245,1.0000,0.9516,0.7173,0.4913,0.7175,0.0004,21.01 seg
21,0.7196,245,1.0000,0.9532,0.7168,0.4915,0.7182,0.0004,23.81 seg
22,0.7197,245,1.0000,0.9530,0.7173,0.4926,0.7188,0.0003,20.88 seg
23,0.7201,244,1.0000,0.9538,0.7165,0.4915,0.7192,0.0003,20.95 seg
24,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7196,0.0002,21.26 seg
25,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7199,0.0002,21.23 seg
26,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,21.38 seg
27,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,24.94 seg
28,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.64 seg
29,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.68 seg
30,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,21.27 seg
31,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,21.02 seg
32,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.80 seg
33,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.53 seg
34,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.48 seg
35,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,25.13 seg
36,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.66 seg
37,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.73 seg
38,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.80 seg
39,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.80 seg
40,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.50 seg
41,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.43 seg
42,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.96 seg
43,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,26.18 seg
44,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.92 seg
45,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.72 seg
46,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.78 seg
47,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.77 seg
48,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,20.80 seg
49,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,21.46 seg
50,0.7202,244,1.0000,0.9537,0.7170,0.4926,0.7202,0.0000,21.75 seg
