Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0111,21.38 seg
2,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6623,0.0104,24.34 seg
3,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0108,21.70 seg
4,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6620,0.0106,21.49 seg
5,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6620,0.0108,22.05 seg
6,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6625,0.0110,22.42 seg
7,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6621,0.0108,26.03 seg
8,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6619,0.0104,22.97 seg
9,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0109,22.36 seg
10,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6621,0.0113,22.13 seg
11,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6622,0.0112,22.97 seg
12,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0113,22.36 seg
13,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6608,0.0116,25.46 seg
14,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6617,0.0115,22.54 seg
15,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6623,0.0106,22.63 seg
16,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6622,0.0111,22.68 seg
17,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6626,0.0108,22.56 seg
18,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6624,0.0107,22.77 seg
19,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0110,25.68 seg
20,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6626,0.0113,22.24 seg
21,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6621,0.0116,22.13 seg
22,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6620,0.0112,21.60 seg
23,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6620,0.0108,21.15 seg
24,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6622,0.0108,20.41 seg
25,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6622,0.0109,20.48 seg
26,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6626,0.0106,20.34 seg
27,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6628,0.0113,24.17 seg
28,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6625,0.0110,20.23 seg
29,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6615,0.0111,20.44 seg
30,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6616,0.0107,20.53 seg
31,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6612,0.0111,20.38 seg
32,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6608,0.0118,20.32 seg
33,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6617,0.0116,20.53 seg
34,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6618,0.0106,20.37 seg
35,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6624,0.0107,24.17 seg
36,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6632,0.0106,20.41 seg
37,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6624,0.0110,20.46 seg
38,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6622,0.0113,20.31 seg
39,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6626,0.0113,19.81 seg
40,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6638,0.0103,19.02 seg
41,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6632,0.0103,19.75 seg
42,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6641,0.0101,19.99 seg
43,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6630,0.0103,19.47 seg
44,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6624,0.0108,24.57 seg
45,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6625,0.0110,19.43 seg
46,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6624,0.0114,20.05 seg
47,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6633,0.0110,18.22 seg
48,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6634,0.0112,19.56 seg
49,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6636,0.0108,19.07 seg
50,0.6930,281,1.0000,0.9208,0.7102,0.4814,0.6639,0.0112,19.07 seg
