Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6792,272,1.0000,0.8995,0.7176,0.4706,0.6575,0.0110,21.39 seg
2,0.6843,274,1.0000,0.9101,0.7063,0.4765,0.6642,0.0073,22.03 seg
3,0.6880,277,1.0000,0.9151,0.7116,0.4828,0.6678,0.0062,22.23 seg
4,0.6880,277,1.0000,0.9151,0.7116,0.4828,0.6705,0.0057,25.25 seg
5,0.6898,259,1.0000,0.9180,0.7041,0.4644,0.6726,0.0052,22.66 seg
6,0.6898,259,1.0000,0.9180,0.7041,0.4644,0.6743,0.0048,22.29 seg
7,0.6898,259,1.0000,0.9180,0.7041,0.4644,0.6756,0.0046,22.45 seg
8,0.6898,259,1.0000,0.9180,0.7041,0.4644,0.6766,0.0044,22.69 seg
9,0.6906,260,1.0000,0.9136,0.7160,0.4789,0.6775,0.0044,25.39 seg
10,0.6906,260,1.0000,0.9136,0.7160,0.4789,0.6783,0.0044,23.14 seg
11,0.6906,260,1.0000,0.9136,0.7160,0.4789,0.6791,0.0042,23.13 seg
12,0.6924,261,1.0000,0.9189,0.7067,0.4789,0.6799,0.0041,22.59 seg
13,0.6943,241,1.0000,0.9155,0.7081,0.4748,0.6806,0.0040,23.40 seg
14,0.6943,241,1.0000,0.9155,0.7081,0.4748,0.6812,0.0039,26.14 seg
15,0.6943,241,1.0000,0.9155,0.7081,0.4748,0.6818,0.0038,22.83 seg
16,0.6943,241,1.0000,0.9155,0.7081,0.4748,0.6823,0.0037,23.03 seg
17,0.6943,241,1.0000,0.9155,0.7081,0.4748,0.6828,0.0037,22.90 seg
18,0.6959,250,1.0000,0.9207,0.7065,0.4803,0.6834,0.0036,22.67 seg
19,0.6959,250,1.0000,0.9207,0.7065,0.4803,0.6841,0.0036,25.84 seg
20,0.6959,250,1.0000,0.9207,0.7065,0.4803,0.6846,0.0036,22.91 seg
21,0.6959,250,1.0000,0.9207,0.7065,0.4803,0.6851,0.0035,21.80 seg
22,0.6959,250,1.0000,0.9207,0.7065,0.4803,0.6856,0.0035,21.45 seg
23,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6860,0.0034,21.36 seg
24,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6865,0.0033,21.21 seg
25,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6867,0.0033,23.45 seg
26,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6871,0.0033,20.99 seg
27,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6875,0.0033,21.27 seg
28,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6878,0.0033,21.20 seg
29,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6883,0.0033,21.09 seg
30,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6887,0.0032,20.97 seg
31,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6891,0.0033,23.90 seg
32,0.6992,264,1.0000,0.9304,0.7098,0.4843,0.6895,0.0032,21.18 seg
33,0.7029,218,1.0000,0.9185,0.7142,0.4847,0.6900,0.0032,20.66 seg
34,0.7029,218,1.0000,0.9185,0.7142,0.4847,0.6903,0.0031,20.32 seg
35,0.7029,218,1.0000,0.9185,0.7142,0.4847,0.6906,0.0031,20.65 seg
36,0.7029,218,1.0000,0.9185,0.7142,0.4847,0.6910,0.0031,23.20 seg
37,0.7029,218,1.0000,0.9185,0.7142,0.4847,0.6913,0.0031,20.33 seg
38,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6916,0.0031,19.97 seg
39,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6920,0.0032,20.68 seg
40,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6923,0.0031,19.35 seg
41,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6926,0.0030,20.32 seg
42,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6929,0.0030,22.55 seg
43,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6933,0.0030,20.28 seg
44,0.7036,212,1.0000,0.9133,0.7099,0.5027,0.6936,0.0030,20.35 seg
45,0.7049,223,1.0000,0.9208,0.7198,0.4929,0.6939,0.0030,20.20 seg
46,0.7049,223,1.0000,0.9208,0.7198,0.4929,0.6943,0.0030,19.70 seg
47,0.7050,228,1.0000,0.9219,0.7147,0.5002,0.6946,0.0030,20.63 seg
48,0.7050,228,1.0000,0.9219,0.7147,0.5002,0.6949,0.0030,21.86 seg
49,0.7050,228,1.0000,0.9219,0.7147,0.5002,0.6954,0.0030,17.68 seg
50,0.7050,228,1.0000,0.9219,0.7147,0.5002,0.6957,0.0031,15.44 seg
