Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6820,285,1.0000,0.9165,0.7050,0.4514,0.6593,0.0108,20.60 seg
2,0.6847,285,1.0000,0.9184,0.6998,0.4657,0.6641,0.0086,20.97 seg
3,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6657,0.0082,23.45 seg
4,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6671,0.0086,21.30 seg
5,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6698,0.0076,20.91 seg
6,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6710,0.0074,21.04 seg
7,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6721,0.0074,21.00 seg
8,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6730,0.0072,24.07 seg
9,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6737,0.0072,21.70 seg
10,0.6925,271,1.0000,0.9202,0.7185,0.4790,0.6748,0.0068,21.10 seg
11,0.6933,272,1.0000,0.9233,0.7145,0.4770,0.6756,0.0071,20.50 seg
12,0.6941,247,1.0000,0.9170,0.7133,0.4709,0.6770,0.0069,19.81 seg
13,0.6972,268,1.0000,0.9228,0.7073,0.5037,0.6783,0.0066,23.27 seg
14,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6787,0.0067,19.77 seg
15,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6791,0.0065,19.69 seg
16,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6804,0.0066,20.02 seg
17,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6817,0.0064,19.66 seg
18,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6819,0.0067,19.38 seg
19,0.6985,269,1.0000,0.9253,0.7073,0.5048,0.6829,0.0064,19.65 seg
20,0.6996,256,1.0000,0.9246,0.7049,0.4983,0.6836,0.0059,23.24 seg
21,0.6996,256,1.0000,0.9246,0.7049,0.4983,0.6841,0.0060,19.76 seg
22,0.7005,258,1.0000,0.9290,0.7064,0.4898,0.6848,0.0062,19.42 seg
23,0.7005,258,1.0000,0.9290,0.7064,0.4898,0.6855,0.0059,19.29 seg
24,0.7032,244,1.0000,0.9272,0.7189,0.4864,0.6863,0.0059,18.60 seg
25,0.7032,244,1.0000,0.9272,0.7189,0.4864,0.6872,0.0058,19.04 seg
26,0.7032,244,1.0000,0.9272,0.7189,0.4864,0.6882,0.0058,19.46 seg
27,0.7042,242,1.0000,0.9274,0.7101,0.4954,0.6894,0.0055,23.10 seg
28,0.7042,242,1.0000,0.9274,0.7101,0.4954,0.6899,0.0064,19.22 seg
29,0.7049,240,1.0000,0.9259,0.7145,0.4994,0.6914,0.0058,19.32 seg
30,0.7060,229,1.0000,0.9226,0.7174,0.5019,0.6927,0.0058,18.95 seg
31,0.7076,229,1.0000,0.9250,0.7202,0.5015,0.6939,0.0053,18.35 seg
32,0.7077,237,1.0000,0.9311,0.7134,0.4956,0.6951,0.0054,19.15 seg
33,0.7077,239,1.0000,0.9328,0.7138,0.4920,0.6965,0.0051,19.23 seg
34,0.7084,237,1.0000,0.9324,0.7134,0.4956,0.6971,0.0054,22.89 seg
35,0.7127,231,1.0000,0.9337,0.7213,0.5059,0.6990,0.0046,19.01 seg
36,0.7127,231,1.0000,0.9337,0.7213,0.5059,0.7002,0.0046,16.59 seg
37,0.7127,231,1.0000,0.9337,0.7213,0.5059,0.7013,0.0045,18.71 seg
38,0.7127,231,1.0000,0.9337,0.7213,0.5059,0.7025,0.0042,18.62 seg
39,0.7130,222,1.0000,0.9355,0.7141,0.4935,0.7031,0.0043,18.47 seg
40,0.7176,225,1.0000,0.9444,0.7162,0.4945,0.7040,0.0043,16.94 seg
41,0.7176,225,1.0000,0.9444,0.7162,0.4945,0.7050,0.0039,17.68 seg
42,0.7176,225,1.0000,0.9444,0.7162,0.4945,0.7057,0.0037,17.76 seg
43,0.7178,226,0.9997,0.9457,0.7168,0.4914,0.7064,0.0038,22.68 seg
44,0.7178,226,0.9997,0.9457,0.7168,0.4914,0.7071,0.0035,15.94 seg
45,0.7178,226,0.9997,0.9457,0.7168,0.4914,0.7078,0.0034,17.07 seg
46,0.7179,226,0.9997,0.9461,0.7166,0.4916,0.7085,0.0036,17.96 seg
47,0.7179,226,0.9997,0.9461,0.7166,0.4916,0.7091,0.0035,17.03 seg
48,0.7185,226,1.0000,0.9436,0.7182,0.5031,0.7098,0.0033,17.84 seg
49,0.7185,226,1.0000,0.9436,0.7182,0.5031,0.7103,0.0033,18.12 seg
50,0.7194,232,0.9997,0.9464,0.7171,0.5081,0.7107,0.0032,18.44 seg
