Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6800,296,1.0000,0.9116,0.7212,0.4622,0.6575,0.0118,10.29 seg
2,0.6812,273,1.0000,0.9026,0.7142,0.4753,0.6626,0.0089,10.60 seg
3,0.6852,263,1.0000,0.9069,0.7101,0.4747,0.6661,0.0081,10.45 seg
4,0.6888,281,1.0000,0.9196,0.7055,0.4812,0.6679,0.0082,10.61 seg
5,0.6876,274,1.0000,0.9161,0.7092,0.4731,0.6694,0.0077,12.62 seg
6,0.6884,265,1.0000,0.9171,0.7097,0.4618,0.6707,0.0070,10.66 seg
7,0.6894,263,1.0000,0.9138,0.7145,0.4744,0.6720,0.0072,10.60 seg
8,0.6894,264,1.0000,0.9138,0.7152,0.4753,0.6728,0.0069,10.64 seg
9,0.6917,257,1.0000,0.9134,0.7059,0.4888,0.6736,0.0071,10.64 seg
10,0.6912,248,1.0000,0.9133,0.7110,0.4698,0.6744,0.0068,10.46 seg
11,0.6898,267,1.0000,0.9197,0.7022,0.4698,0.6753,0.0068,10.57 seg
12,0.6926,271,1.0000,0.9168,0.7188,0.4933,0.6764,0.0071,10.79 seg
13,0.6914,267,1.0000,0.9208,0.7035,0.4756,0.6774,0.0068,10.74 seg
14,0.6943,259,1.0000,0.9230,0.7153,0.4672,0.6788,0.0063,10.53 seg
15,0.6958,265,1.0000,0.9247,0.7126,0.4812,0.6793,0.0066,13.66 seg
16,0.6957,260,1.0000,0.9210,0.7074,0.4909,0.6803,0.0066,10.55 seg
17,0.7000,246,1.0000,0.9228,0.7077,0.4932,0.6813,0.0061,10.59 seg
18,0.6968,254,1.0000,0.9185,0.7106,0.4969,0.6822,0.0063,10.45 seg
19,0.6970,254,1.0000,0.9187,0.7108,0.4970,0.6834,0.0064,10.79 seg
20,0.7011,251,1.0000,0.9280,0.7072,0.4889,0.6846,0.0063,10.57 seg
21,0.6998,261,1.0000,0.9257,0.7157,0.4969,0.6851,0.0061,9.87 seg
22,0.6986,263,1.0000,0.9241,0.7127,0.4997,0.6858,0.0061,10.05 seg
23,0.7032,252,1.0000,0.9299,0.7142,0.4926,0.6867,0.0060,10.09 seg
24,0.7038,252,1.0000,0.9309,0.7144,0.4927,0.6877,0.0060,9.87 seg
25,0.7038,252,1.0000,0.9309,0.7144,0.4927,0.6881,0.0058,9.83 seg
26,0.7033,239,1.0000,0.9230,0.7068,0.5051,0.6888,0.0058,9.92 seg
27,0.7053,234,1.0000,0.9286,0.7165,0.4842,0.6903,0.0058,13.12 seg
28,0.7039,239,1.0000,0.9239,0.7065,0.5053,0.6912,0.0060,9.86 seg
29,0.7059,235,1.0000,0.9281,0.7108,0.4951,0.6918,0.0057,9.79 seg
30,0.7049,231,1.0000,0.9225,0.7201,0.4974,0.6926,0.0054,9.81 seg
31,0.7070,240,1.0000,0.9281,0.7073,0.5120,0.6936,0.0055,9.79 seg
32,0.7091,235,1.0000,0.9343,0.7177,0.4889,0.6946,0.0053,9.86 seg
33,0.7095,238,1.0000,0.9366,0.7178,0.4876,0.6952,0.0054,10.25 seg
34,0.7082,225,1.0000,0.9312,0.7034,0.4899,0.6962,0.0048,9.57 seg
35,0.7103,243,1.0000,0.9345,0.7100,0.5130,0.6977,0.0048,9.79 seg
36,0.7102,223,1.0000,0.9325,0.7058,0.4942,0.6981,0.0048,9.70 seg
37,0.7114,221,1.0000,0.9343,0.7084,0.4906,0.6988,0.0052,9.88 seg
38,0.7119,229,1.0000,0.9374,0.7147,0.4899,0.6998,0.0047,9.78 seg
39,0.7113,221,1.0000,0.9336,0.7087,0.4926,0.7005,0.0046,9.56 seg
40,0.7111,232,1.0000,0.9338,0.7139,0.5028,0.7006,0.0048,9.75 seg
41,0.7125,227,1.0000,0.9324,0.7102,0.5122,0.7006,0.0049,13.90 seg
42,0.7111,227,1.0000,0.9330,0.7161,0.4968,0.7013,0.0049,9.67 seg
43,0.7134,229,1.0000,0.9374,0.7174,0.4983,0.7020,0.0047,9.70 seg
44,0.7121,236,1.0000,0.9359,0.7155,0.5059,0.7024,0.0046,9.67 seg
45,0.7119,229,1.0000,0.9362,0.7073,0.4994,0.7029,0.0045,9.72 seg
46,0.7143,222,1.0000,0.9365,0.7155,0.4989,0.7035,0.0043,9.45 seg
47,0.7137,228,1.0000,0.9378,0.7078,0.5035,0.7041,0.0043,9.37 seg
48,0.7162,222,1.0000,0.9379,0.7097,0.5101,0.7044,0.0049,9.46 seg
49,0.7152,222,1.0000,0.9377,0.7095,0.5044,0.7051,0.0045,9.29 seg
50,0.7164,234,1.0000,0.9422,0.7143,0.5095,0.7061,0.0043,9.73 seg
