Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6818,268,1.0000,0.9036,0.7139,0.4720,0.6580,0.0107,21.18 seg
2,0.6877,268,1.0000,0.9139,0.7138,0.4734,0.6683,0.0074,21.35 seg
3,0.6877,268,1.0000,0.9139,0.7138,0.4734,0.6741,0.0065,22.47 seg
4,0.6920,242,1.0000,0.9140,0.7198,0.4610,0.6781,0.0060,20.81 seg
5,0.6920,242,1.0000,0.9140,0.7198,0.4610,0.6810,0.0052,20.98 seg
6,0.6970,243,1.0000,0.9223,0.7208,0.4648,0.6839,0.0052,21.31 seg
7,0.6998,256,1.0000,0.9261,0.7130,0.4932,0.6881,0.0049,20.35 seg
8,0.6999,258,1.0000,0.9265,0.7142,0.4942,0.6922,0.0038,23.72 seg
9,0.7023,239,1.0000,0.9260,0.7145,0.4844,0.6948,0.0039,21.30 seg
10,0.7031,236,1.0000,0.9267,0.7123,0.4846,0.6954,0.0047,21.02 seg
11,0.7041,244,1.0000,0.9324,0.7097,0.4839,0.6958,0.0053,21.38 seg
12,0.7058,242,1.0000,0.9349,0.7083,0.4839,0.6968,0.0058,21.37 seg
13,0.7058,242,1.0000,0.9349,0.7083,0.4839,0.6991,0.0057,23.98 seg
14,0.7070,243,1.0000,0.9369,0.7083,0.4859,0.7040,0.0022,20.65 seg
15,0.7074,243,1.0000,0.9381,0.7083,0.4845,0.7057,0.0007,20.70 seg
16,0.7075,241,0.9995,0.9380,0.7126,0.4801,0.7061,0.0018,20.98 seg
17,0.7078,244,0.9995,0.9389,0.7083,0.4858,0.7068,0.0003,21.29 seg
18,0.7084,244,0.9995,0.9403,0.7083,0.4845,0.7069,0.0010,21.63 seg
19,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7074,0.0011,24.55 seg
20,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7083,0.0003,20.29 seg
21,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7085,0.0002,20.87 seg
22,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7087,0.0000,20.77 seg
23,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7087,0.0000,20.78 seg
24,0.7087,245,0.9995,0.9409,0.7103,0.4847,0.7087,0.0000,20.63 seg
25,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.42 seg
26,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,25.33 seg
27,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.88 seg
28,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.18 seg
29,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.00 seg
30,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.83 seg
31,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.17 seg
32,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.32 seg
33,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.31 seg
34,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,25.94 seg
35,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.09 seg
36,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.80 seg
37,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.89 seg
38,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,19.85 seg
39,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,19.65 seg
40,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.15 seg
41,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.44 seg
42,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.75 seg
43,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,26.29 seg
44,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.26 seg
45,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,21.05 seg
46,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.79 seg
47,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.49 seg
48,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.51 seg
49,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.60 seg
50,0.7081,247,0.9992,0.9407,0.7103,0.4846,0.7081,0.0000,20.63 seg
