Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6841,260,1.0000,0.8997,0.7193,0.4717,0.6599,0.0113,10.52 seg
2,0.6912,286,1.0000,0.9183,0.7104,0.4925,0.6713,0.0076,10.55 seg
3,0.6918,272,1.0000,0.9198,0.7147,0.4690,0.6777,0.0063,10.72 seg
4,0.6942,256,1.0000,0.9194,0.7079,0.4687,0.6807,0.0066,12.42 seg
5,0.6962,259,1.0000,0.9250,0.7043,0.4680,0.6836,0.0064,10.21 seg
6,0.6982,257,1.0000,0.9239,0.7143,0.4757,0.6863,0.0060,10.25 seg
7,0.6989,268,1.0000,0.9277,0.7199,0.4780,0.6893,0.0057,10.59 seg
8,0.7023,258,1.0000,0.9312,0.7161,0.4765,0.6917,0.0050,10.18 seg
9,0.7051,233,1.0000,0.9239,0.7126,0.4902,0.6939,0.0051,10.06 seg
10,0.7073,247,1.0000,0.9322,0.7134,0.4932,0.6961,0.0049,10.28 seg
11,0.7079,247,1.0000,0.9330,0.7134,0.4942,0.6989,0.0043,10.31 seg
12,0.7087,252,1.0000,0.9354,0.7166,0.4954,0.7019,0.0036,12.79 seg
13,0.7102,250,1.0000,0.9359,0.7147,0.5017,0.7050,0.0026,10.40 seg
14,0.7102,250,1.0000,0.9359,0.7147,0.5017,0.7062,0.0025,10.34 seg
15,0.7120,245,1.0000,0.9389,0.7142,0.4969,0.7071,0.0027,10.37 seg
16,0.7127,243,1.0000,0.9377,0.7167,0.5010,0.7083,0.0027,10.37 seg
17,0.7129,238,1.0000,0.9362,0.7187,0.5001,0.7092,0.0028,10.37 seg
18,0.7145,243,1.0000,0.9404,0.7171,0.5035,0.7094,0.0034,10.31 seg
19,0.7151,243,1.0000,0.9426,0.7187,0.4977,0.7111,0.0030,10.07 seg
20,0.7168,242,1.0000,0.9443,0.7169,0.5031,0.7131,0.0010,10.45 seg
21,0.7178,241,1.0000,0.9457,0.7169,0.5028,0.7142,0.0008,10.19 seg
22,0.7182,241,1.0000,0.9464,0.7169,0.5031,0.7149,0.0011,13.69 seg
23,0.7182,241,1.0000,0.9464,0.7169,0.5031,0.7165,0.0010,9.64 seg
24,0.7185,242,1.0000,0.9464,0.7174,0.5064,0.7178,0.0003,10.61 seg
25,0.7185,242,1.0000,0.9464,0.7174,0.5064,0.7182,0.0002,10.35 seg
26,0.7185,242,1.0000,0.9464,0.7174,0.5064,0.7183,0.0002,10.18 seg
27,0.7185,242,1.0000,0.9464,0.7174,0.5064,0.7185,0.0000,10.40 seg
28,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.20 seg
29,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.23 seg
30,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.14 seg
31,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.19 seg
32,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.15 seg
33,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.27 seg
34,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.44 seg
35,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.37 seg
36,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.38 seg
37,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,14.60 seg
38,0.7183,243,1.0000,0.9464,0.7172,0.5065,0.7183,0.0000,10.06 seg
39,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,9.98 seg
40,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.51 seg
41,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.43 seg
42,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.69 seg
43,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.62 seg
44,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.28 seg
45,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.03 seg
46,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.59 seg
47,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.80 seg
48,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.70 seg
49,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.62 seg
50,0.7182,243,1.0000,0.9461,0.7175,0.5066,0.7182,0.0000,10.81 seg
