Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6833,266,1.0000,0.9039,0.7200,0.4644,0.6591,0.0112,21.03 seg
2,0.6849,287,1.0000,0.9169,0.7100,0.4634,0.6593,0.0113,21.72 seg
3,0.6849,287,1.0000,0.9169,0.7100,0.4634,0.6598,0.0107,24.45 seg
4,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6603,0.0104,21.12 seg
5,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6599,0.0105,21.48 seg
6,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6596,0.0115,21.27 seg
7,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6593,0.0108,21.17 seg
8,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6587,0.0112,23.94 seg
9,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6582,0.0113,21.08 seg
10,0.6879,277,1.0000,0.9189,0.7034,0.4666,0.6580,0.0114,21.83 seg
11,0.6894,279,1.0000,0.9197,0.7059,0.4751,0.6588,0.0111,20.98 seg
12,0.6895,262,1.0000,0.9121,0.7070,0.4789,0.6586,0.0106,21.14 seg
13,0.6895,262,1.0000,0.9121,0.7070,0.4789,0.6592,0.0111,21.72 seg
14,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6599,0.0113,23.98 seg
15,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6592,0.0114,21.48 seg
16,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6592,0.0109,21.44 seg
17,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6591,0.0113,21.52 seg
18,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6599,0.0110,21.53 seg
19,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6606,0.0106,21.41 seg
20,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6607,0.0105,24.89 seg
21,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6605,0.0106,21.21 seg
22,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6609,0.0112,21.15 seg
23,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6613,0.0107,21.43 seg
24,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6615,0.0108,21.52 seg
25,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6628,0.0103,21.52 seg
26,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6625,0.0103,21.27 seg
27,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6628,0.0101,21.78 seg
28,0.6904,262,1.0000,0.9133,0.7076,0.4803,0.6626,0.0097,26.50 seg
29,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6619,0.0105,21.80 seg
30,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6605,0.0108,21.57 seg
31,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6615,0.0111,21.40 seg
32,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6610,0.0107,21.39 seg
33,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6605,0.0107,21.25 seg
34,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6607,0.0105,20.81 seg
35,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6604,0.0113,21.06 seg
36,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6608,0.0115,26.14 seg
37,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6610,0.0112,21.14 seg
38,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6608,0.0109,21.06 seg
39,0.6906,262,1.0000,0.9139,0.7089,0.4786,0.6610,0.0104,21.01 seg
40,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6613,0.0103,21.31 seg
41,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6614,0.0099,21.52 seg
42,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6617,0.0101,21.13 seg
43,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6611,0.0108,20.98 seg
44,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6613,0.0107,21.53 seg
45,0.6931,260,1.0000,0.9185,0.7075,0.4763,0.6614,0.0109,26.68 seg
46,0.6933,272,1.0000,0.9265,0.6993,0.4706,0.6613,0.0113,21.36 seg
47,0.6933,272,1.0000,0.9265,0.6993,0.4706,0.6614,0.0107,21.24 seg
48,0.6933,272,1.0000,0.9265,0.6993,0.4706,0.6614,0.0105,21.48 seg
49,0.6933,272,1.0000,0.9265,0.6993,0.4706,0.6617,0.0112,21.01 seg
50,0.6933,272,1.0000,0.9265,0.6993,0.4706,0.6605,0.0118,21.19 seg
