Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6851,273,1.0000,0.9106,0.7119,0.4696,0.6594,0.0113,10.80 seg
2,0.6834,299,1.0000,0.9170,0.7030,0.4773,0.6592,0.0108,12.60 seg
3,0.6861,263,1.0000,0.9057,0.7108,0.4809,0.6589,0.0112,10.79 seg
4,0.6898,263,1.0000,0.9129,0.7108,0.4793,0.6584,0.0116,10.91 seg
5,0.6842,264,1.0000,0.9112,0.7078,0.4516,0.6586,0.0113,10.61 seg
6,0.6869,274,1.0000,0.9101,0.7219,0.4783,0.6585,0.0115,10.65 seg
7,0.6873,274,1.0000,0.9108,0.7219,0.4783,0.6583,0.0106,10.60 seg
8,0.6854,262,1.0000,0.9098,0.7134,0.4581,0.6585,0.0110,10.67 seg
9,0.6844,264,1.0000,0.9088,0.7126,0.4584,0.6592,0.0107,10.30 seg
10,0.6832,268,1.0000,0.9076,0.7140,0.4593,0.6590,0.0106,10.08 seg
11,0.6851,269,1.0000,0.9058,0.7129,0.4811,0.6594,0.0104,13.44 seg
12,0.6813,260,1.0000,0.8948,0.7138,0.4826,0.6600,0.0110,10.67 seg
13,0.6830,270,1.0000,0.9072,0.7058,0.4681,0.6599,0.0107,10.59 seg
14,0.6849,270,1.0000,0.9093,0.7125,0.4682,0.6603,0.0112,10.48 seg
15,0.6813,268,1.0000,0.9010,0.7159,0.4699,0.6598,0.0107,10.54 seg
16,0.6842,260,1.0000,0.9057,0.7058,0.4673,0.6588,0.0112,10.44 seg
17,0.6843,267,1.0000,0.9080,0.7091,0.4671,0.6590,0.0114,10.41 seg
18,0.6813,271,1.0000,0.9053,0.6941,0.4728,0.6591,0.0116,10.15 seg
19,0.6867,295,1.0000,0.9179,0.7087,0.4864,0.6595,0.0112,10.63 seg
20,0.6851,273,1.0000,0.9164,0.6999,0.4558,0.6586,0.0115,10.78 seg
21,0.6842,278,1.0000,0.9138,0.7072,0.4622,0.6591,0.0110,10.24 seg
22,0.6867,276,1.0000,0.9154,0.7083,0.4694,0.6604,0.0105,10.60 seg
23,0.6860,278,1.0000,0.9125,0.7103,0.4768,0.6608,0.0105,13.95 seg
24,0.6832,278,1.0000,0.9154,0.7078,0.4490,0.6608,0.0098,10.58 seg
25,0.6852,270,1.0000,0.9013,0.7189,0.4956,0.6604,0.0100,10.43 seg
26,0.6882,271,1.0000,0.9097,0.7157,0.4883,0.6606,0.0099,10.54 seg
27,0.6916,271,1.0000,0.9161,0.7144,0.4885,0.6606,0.0099,10.47 seg
28,0.6873,263,1.0000,0.9077,0.7139,0.4795,0.6601,0.0110,10.42 seg
29,0.6832,280,1.0000,0.9087,0.7167,0.4702,0.6602,0.0102,10.39 seg
30,0.6909,271,1.0000,0.9167,0.7252,0.4744,0.6599,0.0102,10.56 seg
31,0.6935,267,1.0000,0.9188,0.7269,0.4772,0.6598,0.0100,10.90 seg
32,0.6837,281,1.0000,0.9046,0.7190,0.4888,0.6603,0.0098,10.36 seg
33,0.6825,278,1.0000,0.8993,0.7131,0.4999,0.6615,0.0095,10.39 seg
34,0.6858,260,1.0000,0.9056,0.7166,0.4712,0.6615,0.0093,10.40 seg
35,0.6875,278,1.0000,0.9108,0.7268,0.4820,0.6615,0.0102,10.45 seg
36,0.6863,283,1.0000,0.9096,0.7240,0.4872,0.6602,0.0103,10.33 seg
37,0.6816,290,1.0000,0.9188,0.7042,0.4453,0.6607,0.0103,10.66 seg
38,0.6813,274,1.0000,0.9062,0.7098,0.4635,0.6608,0.0099,14.52 seg
39,0.6846,275,1.0000,0.9114,0.7146,0.4644,0.6610,0.0103,10.69 seg
40,0.6835,261,1.0000,0.9074,0.7126,0.4533,0.6607,0.0101,10.45 seg
41,0.6821,282,1.0000,0.9072,0.7038,0.4802,0.6617,0.0098,10.59 seg
42,0.6844,272,1.0000,0.9059,0.7132,0.4797,0.6615,0.0093,10.45 seg
43,0.6871,271,1.0000,0.9092,0.7147,0.4837,0.6618,0.0095,10.66 seg
44,0.6843,286,0.9997,0.9152,0.7126,0.4654,0.6619,0.0099,10.48 seg
45,0.6858,278,1.0000,0.9130,0.7164,0.4695,0.6619,0.0101,10.46 seg
46,0.6859,274,0.9997,0.9018,0.7235,0.5013,0.6618,0.0099,10.49 seg
47,0.6879,267,1.0000,0.9145,0.7191,0.4607,0.6615,0.0104,10.48 seg
48,0.6850,261,1.0000,0.9104,0.7058,0.4570,0.6613,0.0101,10.57 seg
49,0.6839,292,1.0000,0.9173,0.7169,0.4600,0.6604,0.0108,10.61 seg
50,0.6834,285,1.0000,0.9087,0.7205,0.4766,0.6608,0.0099,10.47 seg
