Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6825,275,1.0000,0.9052,0.7024,0.4853,0.6580,0.0109,11.94 seg
2,0.6828,269,1.0000,0.9043,0.7177,0.4720,0.6590,0.0106,10.92 seg
3,0.6866,256,1.0000,0.9083,0.7198,0.4629,0.6586,0.0111,11.07 seg
4,0.6832,268,1.0000,0.9037,0.7235,0.4712,0.6582,0.0104,10.78 seg
5,0.6843,260,1.0000,0.9084,0.7050,0.4627,0.6582,0.0110,10.86 seg
6,0.6849,285,1.0000,0.9109,0.7103,0.4892,0.6581,0.0111,11.24 seg
7,0.6806,285,1.0000,0.9057,0.7139,0.4775,0.6589,0.0102,11.30 seg
8,0.6815,276,1.0000,0.9056,0.7071,0.4756,0.6590,0.0113,11.17 seg
9,0.6799,272,1.0000,0.9035,0.7092,0.4656,0.6586,0.0104,10.89 seg
10,0.6827,270,1.0000,0.9055,0.7080,0.4747,0.6588,0.0106,13.44 seg
11,0.6867,263,1.0000,0.9116,0.7077,0.4697,0.6593,0.0112,11.14 seg
12,0.6840,272,1.0000,0.9066,0.7113,0.4799,0.6587,0.0115,10.91 seg
13,0.6865,269,1.0000,0.9074,0.7075,0.4923,0.6592,0.0110,10.88 seg
14,0.6882,267,1.0000,0.9146,0.7146,0.4695,0.6592,0.0109,11.17 seg
15,0.6850,285,1.0000,0.9226,0.7069,0.4496,0.6589,0.0110,11.15 seg
16,0.6872,271,1.0000,0.9143,0.7043,0.4765,0.6595,0.0105,10.96 seg
17,0.6853,270,1.0000,0.9116,0.7032,0.4731,0.6599,0.0114,10.92 seg
18,0.6856,268,1.0000,0.9082,0.7144,0.4769,0.6595,0.0116,10.77 seg
19,0.6852,268,1.0000,0.9106,0.7144,0.4659,0.6593,0.0110,10.97 seg
20,0.6835,297,1.0000,0.9173,0.7058,0.4763,0.6597,0.0108,10.89 seg
21,0.6853,262,1.0000,0.9119,0.7091,0.4564,0.6605,0.0107,14.46 seg
22,0.6859,273,1.0000,0.9159,0.7045,0.4641,0.6607,0.0108,10.91 seg
23,0.6842,272,0.9997,0.9076,0.7096,0.4790,0.6606,0.0108,11.10 seg
24,0.6851,284,1.0000,0.9158,0.7049,0.4750,0.6602,0.0114,10.84 seg
25,0.6809,273,1.0000,0.9015,0.7154,0.4763,0.6597,0.0112,10.66 seg
26,0.6811,279,1.0000,0.9042,0.7078,0.4815,0.6599,0.0104,10.78 seg
27,0.6829,263,1.0000,0.9074,0.7100,0.4580,0.6602,0.0106,11.08 seg
28,0.6836,294,1.0000,0.9182,0.7199,0.4600,0.6599,0.0109,11.34 seg
29,0.6850,283,1.0000,0.9172,0.6987,0.4717,0.6607,0.0105,11.28 seg
30,0.6853,283,1.0000,0.9184,0.6949,0.4714,0.6609,0.0097,10.87 seg
31,0.6847,281,1.0000,0.9128,0.7082,0.4770,0.6591,0.0109,11.07 seg
32,0.6908,279,1.0000,0.9192,0.7048,0.4929,0.6590,0.0110,10.92 seg
33,0.6863,265,1.0000,0.9083,0.7080,0.4812,0.6597,0.0114,11.09 seg
34,0.6846,274,1.0000,0.9123,0.7082,0.4675,0.6605,0.0104,11.20 seg
35,0.6844,279,1.0000,0.9084,0.7085,0.4880,0.6601,0.0112,15.39 seg
36,0.6832,289,1.0000,0.9098,0.7177,0.4830,0.6600,0.0104,11.14 seg
37,0.6855,275,0.9997,0.9130,0.7106,0.4716,0.6600,0.0109,10.99 seg
38,0.6842,269,1.0000,0.9057,0.7113,0.4802,0.6601,0.0112,10.91 seg
39,0.6869,295,1.0000,0.9165,0.7097,0.4969,0.6606,0.0106,10.94 seg
40,0.6854,262,1.0000,0.9100,0.6939,0.4742,0.6613,0.0106,11.04 seg
41,0.6879,273,1.0000,0.9159,0.7015,0.4800,0.6608,0.0105,10.90 seg
42,0.6869,268,1.0000,0.9145,0.7089,0.4664,0.6604,0.0104,10.89 seg
43,0.6811,290,1.0000,0.9063,0.7062,0.4907,0.6597,0.0100,10.92 seg
44,0.6879,287,1.0000,0.9214,0.7088,0.4746,0.6596,0.0108,11.15 seg
45,0.6805,279,1.0000,0.9052,0.7093,0.4726,0.6594,0.0107,11.06 seg
46,0.6874,275,1.0000,0.9159,0.7035,0.4783,0.6592,0.0104,11.19 seg
47,0.6836,268,1.0000,0.9045,0.7180,0.4749,0.6591,0.0106,11.08 seg
48,0.6866,268,1.0000,0.9125,0.7077,0.4721,0.6589,0.0106,11.23 seg
49,0.6828,273,1.0000,0.9087,0.7078,0.4676,0.6583,0.0105,11.28 seg
50,0.6890,281,1.0000,0.9203,0.6992,0.4840,0.6591,0.0105,11.11 seg
