Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6844,259,1.0000,0.8990,0.7067,0.4853,0.6594,0.0116,21.19 seg
2,0.6863,288,1.0000,0.9166,0.7052,0.4748,0.6598,0.0111,21.69 seg
3,0.6863,288,1.0000,0.9166,0.7052,0.4748,0.6599,0.0112,21.45 seg
4,0.6863,288,1.0000,0.9166,0.7052,0.4748,0.6612,0.0107,21.35 seg
5,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6611,0.0106,23.11 seg
6,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6613,0.0105,21.39 seg
7,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6614,0.0109,21.48 seg
8,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6619,0.0113,21.32 seg
9,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6623,0.0110,21.61 seg
10,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6618,0.0112,23.46 seg
11,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6623,0.0109,21.82 seg
12,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6617,0.0105,21.60 seg
13,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6617,0.0105,21.56 seg
14,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6622,0.0098,21.50 seg
15,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6626,0.0098,21.24 seg
16,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6633,0.0095,24.75 seg
17,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6635,0.0096,21.27 seg
18,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6632,0.0095,20.98 seg
19,0.6875,267,1.0000,0.9087,0.7210,0.4716,0.6626,0.0100,21.55 seg
20,0.6893,257,1.0000,0.9100,0.7184,0.4668,0.6619,0.0100,21.71 seg
21,0.6893,257,1.0000,0.9100,0.7184,0.4668,0.6619,0.0105,21.64 seg
22,0.6893,257,1.0000,0.9100,0.7184,0.4668,0.6623,0.0108,21.57 seg
23,0.6910,284,1.0000,0.9234,0.7060,0.4748,0.6634,0.0099,24.94 seg
24,0.6910,284,1.0000,0.9234,0.7060,0.4748,0.6627,0.0099,22.01 seg
25,0.6910,284,1.0000,0.9234,0.7060,0.4748,0.6632,0.0096,21.77 seg
26,0.6910,284,1.0000,0.9234,0.7060,0.4748,0.6640,0.0097,22.07 seg
27,0.6910,284,1.0000,0.9234,0.7060,0.4748,0.6636,0.0102,22.41 seg
28,0.6914,281,1.0000,0.9229,0.7109,0.4718,0.6636,0.0098,21.75 seg
29,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6643,0.0103,21.80 seg
30,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6648,0.0099,25.82 seg
31,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6633,0.0102,21.69 seg
32,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6631,0.0099,21.80 seg
33,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6633,0.0104,21.55 seg
34,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6635,0.0106,21.35 seg
35,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6634,0.0101,21.11 seg
36,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6637,0.0098,21.46 seg
37,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6630,0.0100,22.33 seg
38,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6639,0.0099,21.39 seg
39,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6639,0.0098,26.65 seg
40,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6645,0.0096,21.57 seg
41,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6638,0.0099,21.34 seg
42,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6642,0.0100,21.45 seg
43,0.6937,284,1.0000,0.9285,0.7060,0.4740,0.6647,0.0096,21.85 seg
44,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6646,0.0098,21.75 seg
45,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6650,0.0092,21.57 seg
46,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6652,0.0087,21.72 seg
47,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6650,0.0090,22.00 seg
48,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6642,0.0088,21.60 seg
49,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6641,0.0092,27.78 seg
50,0.6940,283,1.0000,0.9281,0.7067,0.4755,0.6637,0.0091,22.12 seg
