Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6872,276,1.0000,0.9178,0.7066,0.4598,0.6608,0.0113,22.20 seg
2,0.6904,275,1.0000,0.9135,0.7038,0.4977,0.6710,0.0069,22.55 seg
3,0.6929,260,1.0000,0.9154,0.7070,0.4845,0.6756,0.0058,23.06 seg
4,0.6963,261,1.0000,0.9181,0.7106,0.4962,0.6789,0.0052,25.13 seg
5,0.6963,261,1.0000,0.9181,0.7106,0.4962,0.6813,0.0049,22.24 seg
6,0.6977,253,1.0000,0.9157,0.7148,0.5003,0.6838,0.0047,22.16 seg
7,0.6983,262,1.0000,0.9228,0.7083,0.4951,0.6858,0.0045,22.37 seg
8,0.7013,260,1.0000,0.9276,0.7043,0.4979,0.6877,0.0046,22.07 seg
9,0.7013,260,1.0000,0.9276,0.7043,0.4979,0.6898,0.0043,24.76 seg
10,0.7064,248,1.0000,0.9302,0.7143,0.4988,0.6913,0.0042,22.60 seg
11,0.7064,248,1.0000,0.9302,0.7143,0.4988,0.6930,0.0040,22.13 seg
12,0.7064,248,1.0000,0.9302,0.7143,0.4988,0.6948,0.0038,21.45 seg
13,0.7082,252,1.0000,0.9328,0.7126,0.5080,0.6963,0.0040,21.99 seg
14,0.7098,233,1.0000,0.9284,0.7130,0.5084,0.6979,0.0037,25.02 seg
15,0.7098,233,1.0000,0.9284,0.7130,0.5084,0.6995,0.0036,22.22 seg
16,0.7147,221,1.0000,0.9308,0.7177,0.5124,0.7011,0.0037,22.82 seg
17,0.7148,246,1.0000,0.9404,0.7180,0.5120,0.7029,0.0036,22.71 seg
18,0.7148,246,1.0000,0.9404,0.7180,0.5120,0.7049,0.0037,22.36 seg
19,0.7162,214,1.0000,0.9312,0.7185,0.5107,0.7069,0.0034,25.01 seg
20,0.7177,236,1.0000,0.9370,0.7214,0.5275,0.7087,0.0032,22.47 seg
21,0.7202,228,1.0000,0.9419,0.7247,0.5131,0.7101,0.0031,22.41 seg
22,0.7219,219,1.0000,0.9395,0.7184,0.5253,0.7116,0.0029,22.69 seg
23,0.7238,219,1.0000,0.9428,0.7183,0.5256,0.7131,0.0028,22.40 seg
24,0.7250,217,1.0000,0.9434,0.7172,0.5296,0.7147,0.0030,22.24 seg
25,0.7267,217,1.0000,0.9461,0.7204,0.5289,0.7165,0.0030,25.22 seg
26,0.7274,216,1.0000,0.9481,0.7249,0.5220,0.7186,0.0028,22.88 seg
27,0.7284,210,1.0000,0.9453,0.7210,0.5328,0.7202,0.0029,23.02 seg
28,0.7294,213,1.0000,0.9498,0.7179,0.5294,0.7217,0.0028,23.05 seg
29,0.7328,203,1.0000,0.9481,0.7222,0.5419,0.7232,0.0029,22.45 seg
30,0.7338,209,1.0000,0.9524,0.7267,0.5377,0.7248,0.0028,25.96 seg
31,0.7365,207,1.0000,0.9581,0.7224,0.5352,0.7265,0.0027,22.37 seg
32,0.7365,207,1.0000,0.9581,0.7224,0.5352,0.7282,0.0026,21.61 seg
33,0.7371,201,1.0000,0.9517,0.7214,0.5548,0.7300,0.0025,22.21 seg
34,0.7410,196,1.0000,0.9630,0.7225,0.5320,0.7319,0.0024,22.14 seg
35,0.7410,196,1.0000,0.9630,0.7225,0.5320,0.7336,0.0023,21.93 seg
36,0.7410,196,1.0000,0.9630,0.7225,0.5320,0.7353,0.0020,22.54 seg
37,0.7414,193,1.0000,0.9568,0.7217,0.5535,0.7365,0.0018,25.10 seg
38,0.7441,198,1.0000,0.9630,0.7248,0.5535,0.7376,0.0018,22.38 seg
39,0.7445,198,1.0000,0.9623,0.7221,0.5602,0.7386,0.0017,22.22 seg
40,0.7451,191,1.0000,0.9640,0.7267,0.5458,0.7397,0.0017,22.11 seg
41,0.7457,197,1.0000,0.9650,0.7250,0.5555,0.7409,0.0017,22.50 seg
42,0.7466,197,1.0000,0.9671,0.7277,0.5523,0.7423,0.0016,22.33 seg
43,0.7477,193,1.0000,0.9678,0.7233,0.5544,0.7436,0.0014,25.21 seg
44,0.7483,193,0.9997,0.9683,0.7228,0.5571,0.7447,0.0012,22.13 seg
45,0.7485,187,1.0000,0.9680,0.7214,0.5521,0.7455,0.0011,21.97 seg
46,0.7492,194,1.0000,0.9708,0.7240,0.5542,0.7462,0.0011,22.19 seg
47,0.7496,192,1.0000,0.9711,0.7230,0.5539,0.7471,0.0010,21.88 seg
48,0.7503,192,0.9997,0.9711,0.7239,0.5577,0.7480,0.0008,22.64 seg
49,0.7506,194,0.9997,0.9730,0.7246,0.5552,0.7489,0.0007,22.52 seg
50,0.7514,191,0.9997,0.9731,0.7246,0.5563,0.7496,0.0006,26.80 seg
