Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6596,0.0110,22.53 seg
2,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6627,0.0095,21.21 seg
3,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6645,0.0096,22.34 seg
4,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6654,0.0091,22.32 seg
5,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6659,0.0090,22.44 seg
6,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6660,0.0092,24.78 seg
7,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6666,0.0090,22.14 seg
8,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6674,0.0091,22.51 seg
9,0.6903,294,1.0000,0.9224,0.7015,0.4950,0.6682,0.0090,22.78 seg
10,0.6911,264,1.0000,0.9121,0.7066,0.4926,0.6680,0.0094,22.35 seg
11,0.6926,260,1.0000,0.9170,0.7100,0.4771,0.6689,0.0096,22.40 seg
12,0.6926,260,1.0000,0.9170,0.7100,0.4771,0.6694,0.0091,25.64 seg
13,0.6926,247,1.0000,0.9078,0.7213,0.4853,0.6711,0.0090,22.35 seg
14,0.6926,247,1.0000,0.9078,0.7213,0.4853,0.6713,0.0086,22.45 seg
15,0.6937,254,1.0000,0.9110,0.7119,0.4968,0.6713,0.0094,22.76 seg
16,0.6944,258,1.0000,0.9157,0.7128,0.4892,0.6719,0.0084,22.64 seg
17,0.6985,253,1.0000,0.9193,0.7143,0.4950,0.6723,0.0094,21.78 seg
18,0.6985,253,1.0000,0.9193,0.7143,0.4950,0.6728,0.0088,26.22 seg
19,0.6985,253,1.0000,0.9193,0.7143,0.4950,0.6733,0.0092,22.44 seg
20,0.6985,253,1.0000,0.9193,0.7143,0.4950,0.6748,0.0087,22.49 seg
21,0.6985,253,1.0000,0.9193,0.7143,0.4950,0.6750,0.0089,22.36 seg
22,0.7001,254,1.0000,0.9186,0.7138,0.5099,0.6767,0.0086,22.99 seg
23,0.7001,254,1.0000,0.9186,0.7138,0.5099,0.6769,0.0086,22.66 seg
24,0.7001,254,1.0000,0.9186,0.7138,0.5099,0.6773,0.0090,22.56 seg
25,0.7001,254,1.0000,0.9186,0.7138,0.5099,0.6781,0.0092,27.24 seg
26,0.7001,254,1.0000,0.9186,0.7138,0.5099,0.6792,0.0085,22.82 seg
27,0.7011,227,1.0000,0.9138,0.7050,0.5026,0.6795,0.0084,22.67 seg
28,0.7030,238,0.9998,0.9177,0.7170,0.5083,0.6798,0.0086,23.13 seg
29,0.7030,238,0.9998,0.9177,0.7170,0.5083,0.6801,0.0089,22.72 seg
30,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6799,0.0084,23.02 seg
31,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6805,0.0084,23.33 seg
32,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6818,0.0086,22.58 seg
33,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6826,0.0088,27.08 seg
34,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6838,0.0082,22.20 seg
35,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6841,0.0078,22.59 seg
36,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6843,0.0086,22.22 seg
37,0.7066,243,1.0000,0.9258,0.7113,0.5132,0.6846,0.0081,22.33 seg
38,0.7069,244,1.0000,0.9206,0.7211,0.5291,0.6850,0.0086,22.65 seg
39,0.7069,244,1.0000,0.9206,0.7211,0.5291,0.6860,0.0084,22.54 seg
40,0.7099,226,1.0000,0.9212,0.7171,0.5250,0.6862,0.0081,22.19 seg
41,0.7099,226,1.0000,0.9212,0.7171,0.5250,0.6868,0.0083,21.96 seg
42,0.7099,226,1.0000,0.9212,0.7171,0.5250,0.6871,0.0082,27.06 seg
43,0.7099,226,1.0000,0.9212,0.7171,0.5250,0.6880,0.0082,22.08 seg
44,0.7107,229,1.0000,0.9255,0.7158,0.5197,0.6882,0.0084,22.68 seg
45,0.7107,229,1.0000,0.9255,0.7158,0.5197,0.6889,0.0083,22.41 seg
46,0.7107,229,1.0000,0.9255,0.7158,0.5197,0.6894,0.0087,22.54 seg
47,0.7114,225,1.0000,0.9231,0.7109,0.5308,0.6901,0.0089,21.89 seg
48,0.7114,225,1.0000,0.9231,0.7109,0.5308,0.6914,0.0080,22.11 seg
49,0.7181,204,1.0000,0.9257,0.7164,0.5330,0.6920,0.0076,22.87 seg
50,0.7181,204,1.0000,0.9257,0.7164,0.5330,0.6918,0.0077,22.60 seg
