Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6844,266,1.0000,0.9064,0.7085,0.4733,0.6584,0.0111,22.41 seg
2,0.6886,280,1.0000,0.9196,0.7190,0.4660,0.6662,0.0084,22.38 seg
3,0.6925,284,1.0000,0.9213,0.7137,0.4949,0.6701,0.0084,22.52 seg
4,0.6929,262,1.0000,0.9127,0.7147,0.4971,0.6733,0.0075,22.88 seg
5,0.6946,263,1.0000,0.9212,0.7135,0.4798,0.6753,0.0084,24.58 seg
6,0.6974,273,1.0000,0.9178,0.7246,0.5173,0.6782,0.0075,22.22 seg
7,0.7031,258,0.9997,0.9257,0.7175,0.5103,0.6805,0.0081,22.61 seg
8,0.7045,241,1.0000,0.9226,0.7136,0.5096,0.6831,0.0081,22.43 seg
9,0.7045,241,1.0000,0.9226,0.7136,0.5096,0.6859,0.0070,22.11 seg
10,0.7049,229,1.0000,0.9182,0.7209,0.5068,0.6874,0.0074,24.81 seg
11,0.7062,247,0.9997,0.9261,0.7183,0.5135,0.6900,0.0076,22.18 seg
12,0.7068,237,1.0000,0.9211,0.7151,0.5240,0.6918,0.0070,21.89 seg
13,0.7103,228,1.0000,0.9222,0.7157,0.5303,0.6938,0.0068,22.27 seg
14,0.7111,214,1.0000,0.9181,0.7251,0.5245,0.6957,0.0071,22.17 seg
15,0.7140,223,1.0000,0.9214,0.7247,0.5444,0.6973,0.0066,25.34 seg
16,0.7162,221,1.0000,0.9294,0.7235,0.5283,0.6989,0.0070,22.51 seg
17,0.7174,234,1.0000,0.9312,0.7238,0.5472,0.7011,0.0067,22.43 seg
18,0.7186,213,1.0000,0.9251,0.7271,0.5458,0.7035,0.0065,22.38 seg
19,0.7235,210,1.0000,0.9328,0.7350,0.5409,0.7061,0.0059,22.74 seg
20,0.7235,210,1.0000,0.9328,0.7350,0.5409,0.7082,0.0066,22.51 seg
21,0.7265,198,1.0000,0.9371,0.7231,0.5367,0.7104,0.0061,22.25 seg
22,0.7292,207,1.0000,0.9414,0.7259,0.5495,0.7134,0.0058,26.84 seg
23,0.7292,207,1.0000,0.9414,0.7259,0.5495,0.7148,0.0059,23.08 seg
24,0.7303,207,1.0000,0.9440,0.7273,0.5462,0.7178,0.0054,22.86 seg
25,0.7313,204,1.0000,0.9455,0.7292,0.5423,0.7201,0.0053,23.07 seg
26,0.7362,192,0.9997,0.9464,0.7280,0.5552,0.7220,0.0053,22.35 seg
27,0.7362,192,0.9997,0.9464,0.7280,0.5552,0.7240,0.0046,22.02 seg
28,0.7390,194,1.0000,0.9511,0.7340,0.5557,0.7250,0.0049,21.91 seg
29,0.7390,194,1.0000,0.9511,0.7340,0.5557,0.7270,0.0044,26.15 seg
30,0.7409,181,1.0000,0.9469,0.7307,0.5678,0.7289,0.0044,22.39 seg
31,0.7415,176,1.0000,0.9455,0.7306,0.5696,0.7302,0.0044,22.10 seg
32,0.7419,173,1.0000,0.9459,0.7327,0.5657,0.7322,0.0041,22.12 seg
33,0.7426,178,0.9997,0.9482,0.7309,0.5703,0.7334,0.0040,21.55 seg
34,0.7435,171,1.0000,0.9497,0.7320,0.5599,0.7351,0.0037,21.48 seg
35,0.7466,174,1.0000,0.9534,0.7345,0.5693,0.7362,0.0037,22.22 seg
36,0.7466,174,1.0000,0.9534,0.7345,0.5693,0.7379,0.0036,22.26 seg
37,0.7473,172,0.9997,0.9529,0.7274,0.5783,0.7396,0.0034,27.11 seg
38,0.7492,168,1.0000,0.9575,0.7319,0.5651,0.7408,0.0033,21.96 seg
39,0.7507,173,1.0000,0.9578,0.7287,0.5828,0.7420,0.0033,21.65 seg
40,0.7507,178,1.0000,0.9622,0.7313,0.5724,0.7431,0.0031,21.62 seg
41,0.7523,175,1.0000,0.9632,0.7348,0.5730,0.7445,0.0031,21.99 seg
42,0.7529,174,1.0000,0.9634,0.7283,0.5794,0.7458,0.0028,21.59 seg
43,0.7543,169,1.0000,0.9629,0.7334,0.5798,0.7468,0.0028,21.58 seg
44,0.7544,169,1.0000,0.9634,0.7320,0.5797,0.7481,0.0025,21.50 seg
45,0.7552,168,1.0000,0.9636,0.7341,0.5815,0.7491,0.0025,27.85 seg
46,0.7558,167,1.0000,0.9628,0.7324,0.5877,0.7503,0.0025,22.72 seg
47,0.7576,168,1.0000,0.9689,0.7335,0.5784,0.7518,0.0022,22.90 seg
48,0.7581,162,1.0000,0.9658,0.7351,0.5833,0.7529,0.0021,22.03 seg
49,0.7583,160,1.0000,0.9657,0.7311,0.5847,0.7538,0.0021,22.60 seg
50,0.7603,164,1.0000,0.9711,0.7314,0.5837,0.7549,0.0019,21.59 seg
