Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6855,254,1.0000,0.9062,0.7152,0.4635,0.6585,0.0114,10.31 seg
2,0.6893,281,1.0000,0.9188,0.7171,0.4793,0.6661,0.0087,12.88 seg
3,0.6901,261,1.0000,0.9180,0.7157,0.4600,0.6695,0.0086,11.12 seg
4,0.6903,263,1.0000,0.9095,0.7221,0.4912,0.6724,0.0078,11.10 seg
5,0.6955,248,1.0000,0.9221,0.7109,0.4663,0.6743,0.0079,10.94 seg
6,0.6941,246,1.0000,0.9144,0.7189,0.4768,0.6758,0.0081,11.07 seg
7,0.6960,260,1.0000,0.9159,0.7133,0.5078,0.6778,0.0083,11.33 seg
8,0.7015,231,1.0000,0.9196,0.7188,0.4858,0.6803,0.0077,11.25 seg
9,0.6995,237,1.0000,0.9204,0.7149,0.4807,0.6828,0.0075,11.12 seg
10,0.7016,268,1.0000,0.9270,0.7205,0.5104,0.6841,0.0076,10.95 seg
11,0.7038,232,1.0000,0.9211,0.7128,0.5010,0.6857,0.0073,13.92 seg
12,0.7044,243,1.0000,0.9263,0.7194,0.4977,0.6875,0.0074,11.08 seg
13,0.7112,238,1.0000,0.9327,0.7248,0.5082,0.6895,0.0072,10.98 seg
14,0.7097,238,1.0000,0.9261,0.7210,0.5249,0.6910,0.0070,11.12 seg
15,0.7116,214,1.0000,0.9236,0.7222,0.5123,0.6926,0.0075,10.95 seg
16,0.7138,223,1.0000,0.9253,0.7140,0.5387,0.6944,0.0073,11.26 seg
17,0.7122,212,0.9997,0.9229,0.7051,0.5276,0.6969,0.0068,11.06 seg
18,0.7142,219,1.0000,0.9271,0.7273,0.5207,0.6984,0.0068,11.00 seg
19,0.7177,207,1.0000,0.9270,0.7258,0.5282,0.7007,0.0068,10.95 seg
20,0.7199,197,1.0000,0.9251,0.7263,0.5356,0.7021,0.0068,11.09 seg
21,0.7219,195,1.0000,0.9315,0.7216,0.5252,0.7040,0.0068,14.09 seg
22,0.7239,185,1.0000,0.9313,0.7241,0.5240,0.7061,0.0067,10.75 seg
23,0.7257,202,1.0000,0.9378,0.7179,0.5399,0.7090,0.0060,10.81 seg
24,0.7242,189,1.0000,0.9280,0.7175,0.5474,0.7104,0.0065,11.04 seg
25,0.7272,197,1.0000,0.9341,0.7230,0.5533,0.7121,0.0057,11.28 seg
26,0.7313,195,0.9999,0.9400,0.7206,0.5575,0.7142,0.0057,10.39 seg
27,0.7285,177,1.0000,0.9318,0.7214,0.5430,0.7155,0.0057,10.76 seg
28,0.7301,185,1.0000,0.9343,0.7279,0.5511,0.7167,0.0054,11.04 seg
29,0.7356,172,1.0000,0.9365,0.7235,0.5650,0.7183,0.0057,10.84 seg
30,0.7379,176,1.0000,0.9399,0.7240,0.5729,0.7209,0.0054,11.15 seg
31,0.7369,184,1.0000,0.9425,0.7280,0.5650,0.7227,0.0053,11.02 seg
32,0.7382,171,1.0000,0.9410,0.7251,0.5629,0.7247,0.0052,10.63 seg
33,0.7378,182,0.9996,0.9461,0.7278,0.5555,0.7260,0.0052,10.51 seg
34,0.7410,177,0.9999,0.9474,0.7287,0.5643,0.7280,0.0052,14.66 seg
35,0.7409,174,0.9999,0.9438,0.7261,0.5745,0.7300,0.0048,10.85 seg
36,0.7428,172,0.9999,0.9440,0.7321,0.5797,0.7312,0.0047,11.10 seg
37,0.7488,158,1.0000,0.9494,0.7287,0.5823,0.7328,0.0048,10.85 seg
38,0.7451,169,0.9999,0.9434,0.7333,0.5917,0.7341,0.0045,11.06 seg
39,0.7467,163,1.0000,0.9447,0.7352,0.5881,0.7359,0.0043,10.71 seg
40,0.7461,162,0.9999,0.9456,0.7370,0.5781,0.7372,0.0044,11.33 seg
41,0.7485,168,1.0000,0.9474,0.7341,0.5977,0.7393,0.0040,10.87 seg
42,0.7508,165,1.0000,0.9509,0.7347,0.5956,0.7402,0.0041,11.12 seg
43,0.7505,168,1.0000,0.9518,0.7343,0.5952,0.7415,0.0039,11.05 seg
44,0.7517,165,1.0000,0.9532,0.7338,0.5943,0.7424,0.0044,11.17 seg
45,0.7555,153,1.0000,0.9565,0.7319,0.5916,0.7440,0.0041,10.93 seg
46,0.7543,160,0.9999,0.9524,0.7344,0.6071,0.7461,0.0036,11.28 seg
47,0.7565,155,0.9999,0.9555,0.7387,0.6002,0.7474,0.0035,11.12 seg
48,0.7572,152,1.0000,0.9543,0.7321,0.6094,0.7488,0.0035,11.10 seg
49,0.7578,147,1.0000,0.9520,0.7382,0.6104,0.7500,0.0034,16.48 seg
50,0.7591,153,1.0000,0.9594,0.7291,0.6067,0.7512,0.0037,11.22 seg
