Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6830,281,1.0000,0.9110,0.7106,0.4810,0.6573,0.0117,10.39 seg
2,0.6806,283,1.0000,0.9073,0.7090,0.4823,0.6578,0.0114,10.31 seg
3,0.6827,255,1.0000,0.9072,0.7070,0.4572,0.6580,0.0107,10.17 seg
4,0.6832,262,1.0000,0.9098,0.7127,0.4574,0.6569,0.0109,10.53 seg
5,0.6853,269,1.0000,0.9154,0.7073,0.4646,0.6571,0.0111,10.76 seg
6,0.6793,273,1.0000,0.9046,0.7102,0.4681,0.6571,0.0119,10.85 seg
7,0.6812,285,1.0000,0.9119,0.7000,0.4784,0.6575,0.0114,10.64 seg
8,0.6824,275,1.0000,0.9102,0.6973,0.4799,0.6574,0.0111,13.33 seg
9,0.6835,265,1.0000,0.9116,0.7123,0.4570,0.6580,0.0111,10.76 seg
10,0.6806,284,1.0000,0.9052,0.7246,0.4813,0.6576,0.0114,10.70 seg
11,0.6812,280,1.0000,0.9160,0.6979,0.4572,0.6577,0.0112,10.84 seg
12,0.6803,264,1.0000,0.9024,0.7106,0.4697,0.6578,0.0107,10.90 seg
13,0.6830,284,1.0000,0.9196,0.7123,0.4520,0.6577,0.0109,10.81 seg
14,0.6819,271,1.0000,0.9054,0.7155,0.4758,0.6586,0.0103,10.95 seg
15,0.6842,271,1.0000,0.9109,0.7130,0.4732,0.6577,0.0106,10.66 seg
16,0.6840,264,1.0000,0.9093,0.7119,0.4679,0.6574,0.0108,10.84 seg
17,0.6807,286,1.0000,0.9149,0.7116,0.4581,0.6574,0.0111,10.81 seg
18,0.6796,265,1.0000,0.8996,0.7113,0.4765,0.6572,0.0108,10.66 seg
19,0.6854,273,1.0000,0.9126,0.6997,0.4867,0.6581,0.0107,14.35 seg
20,0.6789,281,1.0000,0.9067,0.7158,0.4658,0.6579,0.0102,10.87 seg
21,0.6829,274,1.0000,0.9110,0.7043,0.4742,0.6579,0.0110,11.01 seg
22,0.6823,273,1.0000,0.9136,0.7048,0.4589,0.6577,0.0114,10.81 seg
23,0.6798,291,1.0000,0.9087,0.7148,0.4798,0.6580,0.0108,10.68 seg
24,0.6828,287,1.0000,0.9182,0.7100,0.4622,0.6579,0.0107,11.06 seg
25,0.6841,275,1.0000,0.9095,0.7190,0.4790,0.6580,0.0108,10.83 seg
26,0.6858,299,1.0000,0.9245,0.7141,0.4739,0.6588,0.0108,10.98 seg
27,0.6852,262,1.0000,0.9123,0.7119,0.4622,0.6588,0.0116,11.01 seg
28,0.6824,280,1.0000,0.9097,0.7158,0.4767,0.6593,0.0106,10.90 seg
29,0.6831,278,1.0000,0.9097,0.7098,0.4825,0.6585,0.0105,11.00 seg
30,0.6868,278,1.0000,0.9163,0.7114,0.4819,0.6590,0.0107,11.10 seg
31,0.6806,251,1.0000,0.8984,0.7124,0.4664,0.6587,0.0103,11.24 seg
32,0.6861,277,1.0000,0.9228,0.7081,0.4538,0.6599,0.0106,15.10 seg
33,0.6870,270,1.0000,0.9190,0.7189,0.4564,0.6597,0.0104,11.27 seg
34,0.6836,269,1.0000,0.9088,0.7213,0.4683,0.6593,0.0105,11.22 seg
35,0.6844,261,0.9997,0.9081,0.7166,0.4676,0.6598,0.0102,10.84 seg
36,0.6860,280,1.0000,0.9170,0.7034,0.4820,0.6590,0.0109,10.79 seg
37,0.6819,268,1.0000,0.9081,0.7147,0.4626,0.6604,0.0103,10.96 seg
38,0.6854,259,1.0000,0.9136,0.7108,0.4551,0.6609,0.0102,10.75 seg
39,0.6859,269,0.9997,0.9193,0.7007,0.4590,0.6616,0.0102,10.92 seg
40,0.6881,273,1.0000,0.9189,0.7092,0.4751,0.6611,0.0100,11.36 seg
41,0.6881,273,1.0000,0.9183,0.7087,0.4777,0.6611,0.0101,11.10 seg
42,0.6856,279,1.0000,0.9171,0.7074,0.4752,0.6607,0.0097,10.96 seg
43,0.6835,277,0.9997,0.9101,0.7168,0.4780,0.6611,0.0099,11.06 seg
44,0.6843,276,0.9997,0.9122,0.7174,0.4729,0.6613,0.0097,11.43 seg
45,0.6853,278,1.0000,0.9109,0.7097,0.4925,0.6611,0.0096,10.63 seg
46,0.6829,280,1.0000,0.9123,0.7075,0.4758,0.6608,0.0097,11.15 seg
47,0.6837,271,0.9997,0.9112,0.7086,0.4717,0.6599,0.0100,10.81 seg
48,0.6812,276,1.0000,0.9056,0.7032,0.4859,0.6596,0.0101,14.87 seg
49,0.6860,249,1.0000,0.9085,0.7148,0.4603,0.6594,0.0100,11.25 seg
50,0.6841,259,1.0000,0.9096,0.7130,0.4595,0.6594,0.0104,10.92 seg
