Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6837,275,1.0000,0.9117,0.7158,0.4624,0.6580,0.0107,20.52 seg
2,0.6847,278,1.0000,0.9121,0.7093,0.4760,0.6644,0.0078,20.96 seg
3,0.6875,283,1.0000,0.9226,0.7155,0.4592,0.6682,0.0060,23.27 seg
4,0.6875,283,1.0000,0.9226,0.7155,0.4592,0.6707,0.0053,21.13 seg
5,0.6875,283,1.0000,0.9226,0.7155,0.4592,0.6729,0.0049,21.36 seg
6,0.6875,283,1.0000,0.9226,0.7155,0.4592,0.6750,0.0046,21.33 seg
7,0.6887,278,1.0000,0.9227,0.7150,0.4596,0.6767,0.0042,21.09 seg
8,0.6923,280,1.0000,0.9252,0.7105,0.4804,0.6781,0.0040,23.56 seg
9,0.6923,280,1.0000,0.9252,0.7105,0.4804,0.6793,0.0037,20.91 seg
10,0.6925,262,1.0000,0.9216,0.7266,0.4587,0.6805,0.0036,21.29 seg
11,0.6925,262,1.0000,0.9216,0.7266,0.4587,0.6814,0.0036,21.05 seg
12,0.6925,262,1.0000,0.9216,0.7266,0.4587,0.6825,0.0036,20.68 seg
13,0.6940,256,1.0000,0.9172,0.7033,0.4919,0.6836,0.0036,23.15 seg
14,0.6940,256,1.0000,0.9172,0.7033,0.4919,0.6846,0.0034,20.94 seg
15,0.6940,256,1.0000,0.9172,0.7033,0.4919,0.6855,0.0032,20.57 seg
16,0.6942,261,1.0000,0.9218,0.7119,0.4781,0.6863,0.0031,21.18 seg
17,0.6942,261,1.0000,0.9218,0.7119,0.4781,0.6870,0.0030,21.19 seg
18,0.6963,264,1.0000,0.9310,0.7298,0.4504,0.6876,0.0028,23.45 seg
19,0.6963,264,1.0000,0.9310,0.7298,0.4504,0.6882,0.0028,20.78 seg
20,0.6963,264,1.0000,0.9310,0.7298,0.4504,0.6887,0.0027,20.95 seg
21,0.6987,254,1.0000,0.9260,0.7105,0.4835,0.6894,0.0026,20.84 seg
22,0.6998,267,1.0000,0.9236,0.7158,0.5148,0.6900,0.0025,20.59 seg
23,0.7028,257,1.0000,0.9334,0.7046,0.4914,0.6905,0.0026,23.35 seg
24,0.7028,257,1.0000,0.9334,0.7046,0.4914,0.6911,0.0027,21.50 seg
25,0.7028,257,1.0000,0.9334,0.7046,0.4914,0.6917,0.0027,20.90 seg
26,0.7028,257,1.0000,0.9334,0.7046,0.4914,0.6922,0.0028,21.37 seg
27,0.7046,238,1.0000,0.9310,0.7086,0.4832,0.6928,0.0029,21.63 seg
28,0.7046,238,1.0000,0.9310,0.7086,0.4832,0.6934,0.0030,21.23 seg
29,0.7046,238,1.0000,0.9310,0.7086,0.4832,0.6941,0.0029,24.25 seg
30,0.7046,238,1.0000,0.9310,0.7086,0.4832,0.6947,0.0029,20.90 seg
31,0.7046,238,1.0000,0.9310,0.7086,0.4832,0.6953,0.0029,21.13 seg
32,0.7047,240,1.0000,0.9284,0.7181,0.4899,0.6962,0.0029,21.28 seg
33,0.7047,240,1.0000,0.9284,0.7181,0.4899,0.6970,0.0028,21.24 seg
34,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.6977,0.0028,21.92 seg
35,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.6985,0.0027,25.17 seg
36,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.6992,0.0025,21.22 seg
37,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.6998,0.0025,20.74 seg
38,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.7007,0.0024,21.20 seg
39,0.7078,244,0.9997,0.9371,0.7092,0.4900,0.7014,0.0023,21.49 seg
40,0.7081,240,0.9997,0.9370,0.7078,0.4881,0.7021,0.0021,21.05 seg
41,0.7081,240,0.9997,0.9370,0.7078,0.4881,0.7028,0.0021,24.16 seg
42,0.7089,240,0.9997,0.9384,0.7073,0.4882,0.7035,0.0019,20.66 seg
43,0.7090,246,0.9997,0.9416,0.7062,0.4865,0.7042,0.0018,20.72 seg
44,0.7091,230,1.0000,0.9324,0.7138,0.4931,0.7049,0.0017,20.78 seg
45,0.7091,230,1.0000,0.9324,0.7138,0.4931,0.7057,0.0015,20.86 seg
46,0.7091,230,1.0000,0.9324,0.7138,0.4931,0.7063,0.0013,20.64 seg
47,0.7096,246,0.9997,0.9419,0.7085,0.4877,0.7070,0.0012,24.26 seg
48,0.7103,241,0.9997,0.9407,0.7089,0.4894,0.7075,0.0009,19.80 seg
49,0.7126,236,1.0000,0.9432,0.7043,0.4914,0.7080,0.0008,20.49 seg
50,0.7126,236,1.0000,0.9432,0.7043,0.4914,0.7083,0.0008,20.04 seg
