Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6592,0.0111,22.07 seg
2,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6636,0.0094,21.47 seg
3,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6669,0.0083,20.90 seg
4,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6691,0.0078,20.99 seg
5,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6704,0.0077,23.62 seg
6,0.6908,256,1.0000,0.9131,0.7098,0.4800,0.6714,0.0074,21.69 seg
7,0.6916,259,1.0000,0.9178,0.7141,0.4695,0.6723,0.0073,21.22 seg
8,0.6917,254,1.0000,0.9119,0.7098,0.4876,0.6733,0.0075,21.55 seg
9,0.6948,254,1.0000,0.9187,0.7075,0.4847,0.6755,0.0068,21.39 seg
10,0.6948,254,1.0000,0.9187,0.7075,0.4847,0.6768,0.0065,24.23 seg
11,0.6948,254,1.0000,0.9187,0.7075,0.4847,0.6777,0.0060,21.64 seg
12,0.6948,254,1.0000,0.9187,0.7075,0.4847,0.6787,0.0060,21.15 seg
13,0.6960,252,1.0000,0.9198,0.7118,0.4830,0.6793,0.0060,21.17 seg
14,0.6977,248,1.0000,0.9207,0.7135,0.4846,0.6800,0.0059,21.39 seg
15,0.6977,248,1.0000,0.9207,0.7135,0.4846,0.6808,0.0058,22.25 seg
16,0.6977,248,1.0000,0.9207,0.7135,0.4846,0.6813,0.0061,25.01 seg
17,0.7001,244,1.0000,0.9237,0.7130,0.4835,0.6823,0.0061,21.96 seg
18,0.7001,244,1.0000,0.9237,0.7130,0.4835,0.6835,0.0062,21.39 seg
19,0.7001,244,1.0000,0.9237,0.7130,0.4835,0.6849,0.0059,21.39 seg
20,0.7019,251,1.0000,0.9292,0.7105,0.4871,0.6860,0.0062,21.57 seg
21,0.7033,230,1.0000,0.9233,0.7160,0.4849,0.6878,0.0053,21.83 seg
22,0.7044,252,1.0000,0.9346,0.7131,0.4836,0.6889,0.0057,25.99 seg
23,0.7044,252,1.0000,0.9346,0.7131,0.4836,0.6903,0.0052,21.67 seg
24,0.7044,252,1.0000,0.9346,0.7131,0.4836,0.6913,0.0050,21.42 seg
25,0.7044,252,1.0000,0.9346,0.7131,0.4836,0.6929,0.0050,21.09 seg
26,0.7060,231,1.0000,0.9237,0.7151,0.5033,0.6939,0.0047,21.56 seg
27,0.7060,231,1.0000,0.9237,0.7151,0.5033,0.6950,0.0045,21.69 seg
28,0.7071,237,1.0000,0.9295,0.7148,0.4982,0.6956,0.0045,21.74 seg
29,0.7083,234,1.0000,0.9320,0.7166,0.4912,0.6965,0.0043,21.79 seg
30,0.7099,237,1.0000,0.9357,0.7176,0.4926,0.6975,0.0043,26.27 seg
31,0.7099,237,1.0000,0.9357,0.7176,0.4926,0.6980,0.0044,21.95 seg
32,0.7099,237,1.0000,0.9357,0.7176,0.4926,0.6991,0.0042,21.67 seg
33,0.7099,237,1.0000,0.9357,0.7176,0.4926,0.7004,0.0037,21.69 seg
34,0.7103,231,1.0000,0.9343,0.7127,0.4943,0.7014,0.0032,21.23 seg
35,0.7103,239,1.0000,0.9364,0.7176,0.4951,0.7024,0.0032,21.83 seg
36,0.7103,239,1.0000,0.9364,0.7176,0.4951,0.7027,0.0030,21.61 seg
37,0.7112,239,1.0000,0.9371,0.7184,0.4979,0.7034,0.0028,21.41 seg
38,0.7112,239,1.0000,0.9371,0.7184,0.4979,0.7040,0.0026,26.26 seg
39,0.7115,237,1.0000,0.9375,0.7171,0.4964,0.7048,0.0022,20.83 seg
40,0.7118,245,1.0000,0.9391,0.7199,0.5024,0.7053,0.0022,21.03 seg
41,0.7118,245,1.0000,0.9391,0.7199,0.5024,0.7059,0.0020,21.21 seg
42,0.7118,245,1.0000,0.9391,0.7199,0.5024,0.7062,0.0018,21.16 seg
43,0.7126,241,1.0000,0.9407,0.7188,0.4967,0.7066,0.0019,21.48 seg
44,0.7126,241,1.0000,0.9407,0.7188,0.4967,0.7071,0.0020,21.85 seg
45,0.7128,243,1.0000,0.9410,0.7188,0.4995,0.7076,0.0020,21.30 seg
46,0.7138,242,1.0000,0.9436,0.7190,0.4952,0.7081,0.0019,21.43 seg
47,0.7138,242,1.0000,0.9436,0.7190,0.4952,0.7092,0.0018,27.51 seg
48,0.7138,242,1.0000,0.9436,0.7190,0.4952,0.7097,0.0018,21.27 seg
49,0.7139,241,1.0000,0.9419,0.7178,0.5014,0.7103,0.0017,21.43 seg
50,0.7153,234,1.0000,0.9448,0.7172,0.4910,0.7110,0.0016,21.68 seg
