Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6828,263,1.0000,0.9068,0.7093,0.4498,0.6599,0.0113,10.87 seg
2,0.6869,266,1.0000,0.9081,0.7028,0.4808,0.6642,0.0095,13.25 seg
3,0.6854,283,1.0000,0.9099,0.7162,0.4790,0.6669,0.0084,10.49 seg
4,0.6892,272,1.0000,0.9176,0.7068,0.4668,0.6693,0.0078,10.50 seg
5,0.6895,288,1.0000,0.9217,0.6990,0.4807,0.6702,0.0075,10.71 seg
6,0.6922,279,1.0000,0.9236,0.7013,0.4785,0.6716,0.0080,11.01 seg
7,0.6894,274,1.0000,0.9143,0.6988,0.4881,0.6727,0.0069,10.56 seg
8,0.6916,271,1.0000,0.9193,0.7016,0.4786,0.6738,0.0072,11.02 seg
9,0.6917,274,1.0000,0.9199,0.7036,0.4801,0.6752,0.0069,10.47 seg
10,0.6950,275,1.0000,0.9230,0.7096,0.4882,0.6763,0.0065,10.79 seg
11,0.6951,275,1.0000,0.9235,0.7102,0.4869,0.6770,0.0067,13.40 seg
12,0.6944,248,1.0000,0.9148,0.7076,0.4781,0.6777,0.0065,10.77 seg
13,0.6929,258,1.0000,0.9162,0.7030,0.4804,0.6785,0.0066,11.06 seg
14,0.6938,258,1.0000,0.9178,0.7081,0.4763,0.6794,0.0063,10.82 seg
15,0.6969,254,1.0000,0.9184,0.7051,0.4914,0.6803,0.0063,10.92 seg
16,0.6970,258,1.0000,0.9158,0.7087,0.5052,0.6810,0.0062,10.74 seg
17,0.6971,262,1.0000,0.9202,0.7055,0.4974,0.6819,0.0062,10.82 seg
18,0.6990,264,1.0000,0.9229,0.7064,0.5017,0.6830,0.0058,10.81 seg
19,0.7015,240,1.0000,0.9284,0.7051,0.4660,0.6835,0.0060,10.61 seg
20,0.7020,242,1.0000,0.9231,0.7057,0.4914,0.6842,0.0062,10.58 seg
21,0.7008,260,1.0000,0.9296,0.7054,0.4846,0.6847,0.0063,13.61 seg
22,0.7007,246,1.0000,0.9248,0.7027,0.4838,0.6849,0.0061,10.55 seg
23,0.7003,241,1.0000,0.9192,0.7027,0.4951,0.6857,0.0059,10.56 seg
24,0.7005,246,1.0000,0.9246,0.7056,0.4814,0.6870,0.0058,10.94 seg
25,0.7017,237,1.0000,0.9206,0.7077,0.4907,0.6877,0.0055,10.75 seg
26,0.7020,250,1.0000,0.9264,0.7004,0.4937,0.6887,0.0050,10.29 seg
27,0.7053,231,1.0000,0.9246,0.6950,0.5001,0.6895,0.0051,10.67 seg
28,0.7062,229,0.9993,0.9236,0.7089,0.4982,0.6901,0.0055,10.60 seg
29,0.7051,255,0.9993,0.9287,0.7078,0.5084,0.6907,0.0057,10.32 seg
30,0.7065,229,0.9993,0.9221,0.7075,0.5068,0.6915,0.0057,10.60 seg
31,0.7077,227,0.9993,0.9245,0.7065,0.5038,0.6923,0.0057,10.68 seg
32,0.7073,228,0.9993,0.9240,0.7046,0.5055,0.6939,0.0056,10.84 seg
33,0.7103,241,0.9993,0.9331,0.7069,0.5082,0.6955,0.0055,10.60 seg
34,0.7093,224,0.9993,0.9261,0.7032,0.5064,0.6968,0.0054,14.66 seg
35,0.7129,220,0.9993,0.9309,0.7019,0.5082,0.6984,0.0050,10.39 seg
36,0.7122,220,0.9993,0.9277,0.7019,0.5151,0.6995,0.0050,10.67 seg
37,0.7107,220,0.9993,0.9246,0.7028,0.5157,0.7017,0.0039,10.33 seg
38,0.7124,229,0.9993,0.9345,0.7018,0.5041,0.7026,0.0040,10.50 seg
39,0.7140,220,0.9993,0.9334,0.7054,0.5043,0.7037,0.0041,10.69 seg
40,0.7133,231,0.9993,0.9347,0.7035,0.5111,0.7053,0.0035,10.41 seg
41,0.7133,231,0.9993,0.9347,0.7035,0.5111,0.7065,0.0031,10.80 seg
42,0.7149,223,0.9993,0.9374,0.7024,0.5013,0.7075,0.0028,10.81 seg
43,0.7154,222,0.9993,0.9348,0.7023,0.5129,0.7088,0.0024,11.11 seg
44,0.7164,232,0.9993,0.9428,0.7062,0.5019,0.7098,0.0019,10.99 seg
45,0.7162,230,0.9993,0.9405,0.7038,0.5077,0.7105,0.0019,10.76 seg
46,0.7162,230,0.9993,0.9405,0.7038,0.5077,0.7111,0.0016,10.61 seg
47,0.7162,230,0.9993,0.9405,0.7038,0.5077,0.7117,0.0015,10.59 seg
48,0.7170,230,0.9993,0.9416,0.7036,0.5092,0.7121,0.0015,10.35 seg
49,0.7170,230,0.9993,0.9416,0.7036,0.5092,0.7126,0.0017,10.04 seg
50,0.7188,228,0.9993,0.9440,0.7047,0.5088,0.7130,0.0019,10.71 seg
