Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6817,297,1.0000,0.9128,0.7165,0.4708,0.6591,0.0111,22.67 seg
2,0.6821,291,1.0000,0.9068,0.7136,0.4893,0.6649,0.0076,21.49 seg
3,0.6868,275,1.0000,0.9127,0.7104,0.4788,0.6685,0.0062,21.15 seg
4,0.6874,252,1.0000,0.9060,0.7024,0.4804,0.6714,0.0055,21.49 seg
5,0.6874,252,1.0000,0.9060,0.7024,0.4804,0.6736,0.0049,21.39 seg
6,0.6908,278,1.0000,0.9225,0.7134,0.4717,0.6754,0.0046,23.56 seg
7,0.6908,278,1.0000,0.9225,0.7134,0.4717,0.6772,0.0042,21.40 seg
8,0.6908,278,1.0000,0.9225,0.7134,0.4717,0.6785,0.0039,21.63 seg
9,0.6923,285,1.0000,0.9281,0.7115,0.4722,0.6797,0.0038,21.44 seg
10,0.6924,285,1.0000,0.9283,0.7118,0.4721,0.6809,0.0036,21.25 seg
11,0.6924,285,1.0000,0.9283,0.7118,0.4721,0.6818,0.0034,23.30 seg
12,0.6924,285,1.0000,0.9283,0.7118,0.4721,0.6830,0.0034,21.12 seg
13,0.6938,259,1.0000,0.9179,0.7097,0.4841,0.6839,0.0033,21.35 seg
14,0.6965,282,1.0000,0.9291,0.7201,0.4867,0.6848,0.0033,21.31 seg
15,0.6965,282,1.0000,0.9291,0.7201,0.4867,0.6857,0.0033,21.59 seg
16,0.6970,271,1.0000,0.9286,0.7190,0.4766,0.6865,0.0032,24.16 seg
17,0.6970,271,1.0000,0.9286,0.7190,0.4766,0.6874,0.0032,21.31 seg
18,0.6970,271,1.0000,0.9286,0.7190,0.4766,0.6880,0.0030,21.17 seg
19,0.6970,271,1.0000,0.9286,0.7190,0.4766,0.6889,0.0028,21.82 seg
20,0.6981,261,1.0000,0.9190,0.7166,0.5073,0.6896,0.0026,21.60 seg
21,0.6981,261,1.0000,0.9190,0.7166,0.5073,0.6903,0.0027,24.79 seg
22,0.6981,261,1.0000,0.9190,0.7166,0.5073,0.6910,0.0024,21.69 seg
23,0.6986,269,1.0000,0.9259,0.7141,0.4978,0.6919,0.0025,21.87 seg
24,0.7005,249,1.0000,0.9228,0.7116,0.4955,0.6925,0.0024,21.56 seg
25,0.7005,249,1.0000,0.9228,0.7116,0.4955,0.6932,0.0024,21.58 seg
26,0.7024,246,1.0000,0.9247,0.7157,0.4947,0.6940,0.0024,22.37 seg
27,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6945,0.0026,24.24 seg
28,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6953,0.0025,21.89 seg
29,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6961,0.0024,21.84 seg
30,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6968,0.0024,21.31 seg
31,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6976,0.0023,21.59 seg
32,0.7046,261,0.9997,0.9284,0.7154,0.5164,0.6984,0.0023,21.33 seg
33,0.7062,240,1.0000,0.9261,0.7162,0.5054,0.6992,0.0022,24.44 seg
34,0.7062,240,1.0000,0.9261,0.7162,0.5054,0.7000,0.0020,21.09 seg
35,0.7062,240,1.0000,0.9261,0.7162,0.5054,0.7007,0.0018,20.80 seg
36,0.7062,240,1.0000,0.9261,0.7162,0.5054,0.7013,0.0017,21.22 seg
37,0.7072,248,0.9997,0.9301,0.7167,0.5088,0.7019,0.0015,21.31 seg
38,0.7072,248,0.9997,0.9301,0.7167,0.5088,0.7023,0.0014,21.62 seg
39,0.7072,246,0.9997,0.9287,0.7102,0.5158,0.7027,0.0014,24.45 seg
40,0.7078,260,0.9997,0.9338,0.7180,0.5151,0.7031,0.0013,21.38 seg
41,0.7085,243,0.9997,0.9290,0.7112,0.5182,0.7035,0.0013,21.53 seg
42,0.7091,230,0.9997,0.9255,0.7148,0.5142,0.7039,0.0013,21.67 seg
43,0.7091,230,0.9997,0.9255,0.7148,0.5142,0.7044,0.0013,21.42 seg
44,0.7091,230,0.9997,0.9255,0.7148,0.5142,0.7046,0.0013,21.70 seg
45,0.7091,230,0.9997,0.9255,0.7148,0.5142,0.7050,0.0013,25.02 seg
46,0.7097,246,0.9997,0.9306,0.7153,0.5218,0.7053,0.0013,22.15 seg
47,0.7108,232,0.9997,0.9274,0.7164,0.5209,0.7057,0.0014,21.14 seg
48,0.7113,244,0.9997,0.9314,0.7189,0.5240,0.7061,0.0014,21.88 seg
49,0.7129,231,0.9997,0.9322,0.7195,0.5135,0.7064,0.0015,21.10 seg
50,0.7129,231,0.9997,0.9322,0.7195,0.5135,0.7069,0.0016,21.31 seg
