Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6848,283,1.0000,0.9156,0.7093,0.4764,0.6580,0.0109,10.56 seg
2,0.6823,284,1.0000,0.9131,0.7013,0.4758,0.6612,0.0094,10.86 seg
3,0.6860,260,1.0000,0.9111,0.7027,0.4718,0.6624,0.0093,11.32 seg
4,0.6885,280,1.0000,0.9179,0.7121,0.4860,0.6632,0.0100,11.29 seg
5,0.6869,275,1.0000,0.9214,0.7067,0.4594,0.6646,0.0097,10.46 seg
6,0.6874,270,1.0000,0.9143,0.7182,0.4733,0.6648,0.0089,13.21 seg
7,0.6848,299,1.0000,0.9179,0.7137,0.4879,0.6652,0.0092,11.20 seg
8,0.6853,262,1.0000,0.9079,0.7079,0.4786,0.6660,0.0091,11.22 seg
9,0.6883,264,1.0000,0.9141,0.7043,0.4811,0.6668,0.0091,11.10 seg
10,0.6877,253,1.0000,0.9132,0.7048,0.4638,0.6676,0.0087,11.20 seg
11,0.6893,263,1.0000,0.9125,0.7024,0.4936,0.6682,0.0088,11.74 seg
12,0.6883,250,1.0000,0.9063,0.7143,0.4829,0.6685,0.0085,11.33 seg
13,0.6908,233,1.0000,0.9071,0.7128,0.4732,0.6685,0.0092,11.45 seg
14,0.6904,243,1.0000,0.9078,0.7160,0.4799,0.6690,0.0093,11.63 seg
15,0.6896,253,1.0000,0.9060,0.7177,0.4943,0.6702,0.0086,11.32 seg
16,0.6910,241,1.0000,0.9033,0.7186,0.4958,0.6703,0.0086,14.79 seg
17,0.6928,242,1.0000,0.9066,0.7168,0.4984,0.6701,0.0091,11.56 seg
18,0.6907,239,1.0000,0.9127,0.7147,0.4590,0.6710,0.0087,10.87 seg
19,0.6899,248,1.0000,0.9070,0.7188,0.4849,0.6720,0.0088,11.34 seg
20,0.6940,254,1.0000,0.9145,0.7121,0.4979,0.6722,0.0090,11.63 seg
21,0.6936,254,1.0000,0.9086,0.7153,0.5146,0.6732,0.0087,11.17 seg
22,0.6948,233,1.0000,0.9073,0.7072,0.5024,0.6733,0.0090,11.60 seg
23,0.6939,246,1.0000,0.9097,0.6990,0.5116,0.6748,0.0084,11.14 seg
24,0.6943,266,1.0000,0.9186,0.7231,0.4950,0.6756,0.0082,11.30 seg
25,0.6999,247,1.0000,0.9247,0.7084,0.4923,0.6759,0.0087,11.40 seg
26,0.6944,235,1.0000,0.9060,0.7147,0.5026,0.6760,0.0089,11.24 seg
27,0.6973,248,1.0000,0.9114,0.7177,0.5186,0.6768,0.0090,11.55 seg
28,0.6988,236,1.0000,0.9093,0.7210,0.5167,0.6772,0.0091,14.56 seg
29,0.7009,238,1.0000,0.9135,0.7129,0.5237,0.6787,0.0089,11.24 seg
30,0.7003,256,1.0000,0.9189,0.7259,0.5174,0.6795,0.0091,11.18 seg
31,0.7018,231,1.0000,0.9152,0.7214,0.5081,0.6802,0.0086,11.44 seg
32,0.7005,227,1.0000,0.9127,0.7186,0.5044,0.6814,0.0089,11.65 seg
33,0.7020,241,1.0000,0.9173,0.7200,0.5165,0.6809,0.0087,11.44 seg
34,0.7017,247,1.0000,0.9199,0.7105,0.5206,0.6820,0.0085,11.41 seg
35,0.7013,221,1.0000,0.9077,0.7184,0.5197,0.6829,0.0083,11.61 seg
36,0.7014,234,1.0000,0.9153,0.7095,0.5172,0.6832,0.0087,11.50 seg
37,0.7033,235,1.0000,0.9179,0.7178,0.5160,0.6838,0.0084,11.82 seg
38,0.7017,229,1.0000,0.9133,0.7180,0.5138,0.6851,0.0084,11.75 seg
39,0.7046,233,0.9997,0.9175,0.7131,0.5267,0.6858,0.0081,11.71 seg
40,0.7034,207,1.0000,0.9073,0.7188,0.5145,0.6862,0.0077,11.38 seg
41,0.7042,232,1.0000,0.9114,0.7165,0.5426,0.6855,0.0081,11.38 seg
42,0.7065,217,0.9997,0.9126,0.7186,0.5307,0.6861,0.0079,16.00 seg
43,0.7053,216,1.0000,0.9125,0.7174,0.5224,0.6869,0.0083,11.21 seg
44,0.7057,226,1.0000,0.9136,0.7248,0.5306,0.6873,0.0085,11.23 seg
45,0.7092,216,1.0000,0.9191,0.7203,0.5221,0.6881,0.0085,11.39 seg
46,0.7076,219,1.0000,0.9215,0.7193,0.5080,0.6889,0.0082,11.20 seg
47,0.7095,219,1.0000,0.9177,0.7200,0.5337,0.6899,0.0080,11.45 seg
48,0.7123,214,1.0000,0.9217,0.7256,0.5264,0.6893,0.0081,11.55 seg
49,0.7090,202,1.0000,0.9101,0.7294,0.5274,0.6899,0.0085,11.46 seg
50,0.7080,213,0.9997,0.9187,0.7088,0.5195,0.6907,0.0080,11.65 seg
