Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6853,262,1.0000,0.9087,0.6998,0.4712,0.6590,0.0111,11.85 seg
2,0.6873,267,1.0000,0.9143,0.7075,0.4658,0.6700,0.0073,10.96 seg
3,0.6952,238,1.0000,0.9167,0.7127,0.4659,0.6755,0.0066,10.87 seg
4,0.6972,269,1.0000,0.9277,0.7102,0.4837,0.6797,0.0065,10.95 seg
5,0.6998,252,1.0000,0.9233,0.7118,0.4920,0.6856,0.0061,10.66 seg
6,0.7020,258,1.0000,0.9336,0.7080,0.4803,0.6921,0.0050,10.69 seg
7,0.7052,246,1.0000,0.9284,0.7144,0.4993,0.6966,0.0036,10.95 seg
8,0.7057,245,1.0000,0.9294,0.7146,0.4979,0.6988,0.0033,10.90 seg
9,0.7060,245,1.0000,0.9303,0.7148,0.4960,0.7010,0.0031,13.54 seg
10,0.7073,244,1.0000,0.9316,0.7143,0.4992,0.7037,0.0022,10.42 seg
11,0.7074,245,1.0000,0.9320,0.7131,0.5008,0.7055,0.0009,10.77 seg
12,0.7084,243,1.0000,0.9332,0.7143,0.4992,0.7061,0.0008,10.75 seg
13,0.7093,245,1.0000,0.9351,0.7137,0.5016,0.7069,0.0010,10.54 seg
14,0.7107,245,1.0000,0.9375,0.7136,0.5021,0.7082,0.0008,10.70 seg
15,0.7107,245,1.0000,0.9375,0.7136,0.5021,0.7090,0.0008,10.32 seg
16,0.7118,243,1.0000,0.9391,0.7128,0.5011,0.7096,0.0009,10.99 seg
17,0.7119,239,1.0000,0.9372,0.7130,0.5030,0.7100,0.0009,10.92 seg
18,0.7128,242,1.0000,0.9401,0.7133,0.5024,0.7109,0.0008,13.14 seg
19,0.7128,244,1.0000,0.9407,0.7141,0.5025,0.7118,0.0004,10.55 seg
20,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7124,0.0005,10.75 seg
21,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7129,0.0001,10.91 seg
22,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7131,0.0003,10.67 seg
23,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0002,10.36 seg
24,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.09 seg
25,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.63 seg
26,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.90 seg
27,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.72 seg
28,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.81 seg
29,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.93 seg
30,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.51 seg
31,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.60 seg
32,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,14.14 seg
33,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.64 seg
34,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.07 seg
35,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.77 seg
36,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.43 seg
37,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.59 seg
38,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.62 seg
39,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,11.06 seg
40,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.88 seg
41,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.70 seg
42,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.96 seg
43,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.51 seg
44,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,11.01 seg
45,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.87 seg
46,0.7136,242,1.0000,0.9416,0.7136,0.5023,0.7136,0.0000,10.72 seg
47,0.7131,244,0.9997,0.9414,0.7136,0.5023,0.7131,0.0000,10.95 seg
48,0.7131,244,0.9997,0.9414,0.7136,0.5023,0.7131,0.0000,10.84 seg
49,0.7131,244,0.9997,0.9414,0.7136,0.5023,0.7131,0.0000,15.58 seg
50,0.7131,244,0.9997,0.9414,0.7136,0.5023,0.7131,0.0000,10.54 seg
