Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6849,274,0.9999,0.9048,0.7081,0.4912,0.6594,0.0111,23.09 seg
2,0.6849,274,0.9999,0.9048,0.7081,0.4912,0.6678,0.0066,21.99 seg
3,0.6925,271,1.0000,0.9190,0.7186,0.4785,0.6723,0.0054,21.71 seg
4,0.6925,271,1.0000,0.9190,0.7186,0.4785,0.6754,0.0048,21.79 seg
5,0.6925,271,1.0000,0.9190,0.7186,0.4785,0.6781,0.0044,23.99 seg
6,0.6949,274,1.0000,0.9235,0.7233,0.4793,0.6805,0.0042,21.71 seg
7,0.6968,254,1.0000,0.9229,0.7118,0.4740,0.6825,0.0040,21.93 seg
8,0.6968,254,1.0000,0.9229,0.7118,0.4740,0.6841,0.0038,21.59 seg
9,0.6971,275,1.0000,0.9283,0.7185,0.4806,0.6857,0.0038,21.57 seg
10,0.6971,275,1.0000,0.9283,0.7185,0.4806,0.6871,0.0036,23.99 seg
11,0.6971,275,1.0000,0.9283,0.7185,0.4806,0.6885,0.0035,21.41 seg
12,0.6982,275,1.0000,0.9283,0.7209,0.4864,0.6898,0.0032,21.65 seg
13,0.6988,243,1.0000,0.9216,0.7106,0.4776,0.6909,0.0029,22.17 seg
14,0.6988,243,1.0000,0.9216,0.7106,0.4776,0.6919,0.0027,21.81 seg
15,0.7008,256,1.0000,0.9299,0.7203,0.4720,0.6929,0.0027,21.53 seg
16,0.7024,267,0.9995,0.9303,0.7235,0.4944,0.6939,0.0025,24.75 seg
17,0.7034,254,1.0000,0.9295,0.7087,0.4957,0.6949,0.0026,21.90 seg
18,0.7040,236,0.9997,0.9235,0.7143,0.4926,0.6960,0.0025,21.93 seg
19,0.7040,236,0.9997,0.9235,0.7143,0.4926,0.6971,0.0023,21.16 seg
20,0.7040,236,0.9997,0.9235,0.7143,0.4926,0.6980,0.0022,21.59 seg
21,0.7065,264,0.9995,0.9351,0.7206,0.5020,0.6990,0.0021,24.60 seg
22,0.7082,262,0.9993,0.9368,0.7199,0.5050,0.6999,0.0020,21.41 seg
23,0.7082,262,0.9993,0.9368,0.7199,0.5050,0.7005,0.0019,20.98 seg
24,0.7082,236,0.9997,0.9279,0.7168,0.5032,0.7012,0.0019,21.73 seg
25,0.7082,236,0.9997,0.9279,0.7168,0.5032,0.7020,0.0019,21.22 seg
26,0.7082,236,0.9997,0.9279,0.7168,0.5032,0.7028,0.0018,21.46 seg
27,0.7092,247,0.9993,0.9349,0.7193,0.4982,0.7036,0.0017,24.84 seg
28,0.7093,268,0.9993,0.9429,0.7195,0.4983,0.7044,0.0017,21.82 seg
29,0.7112,233,0.9997,0.9325,0.7169,0.5021,0.7053,0.0017,21.67 seg
30,0.7112,233,0.9997,0.9325,0.7169,0.5021,0.7062,0.0017,21.80 seg
31,0.7116,234,1.0000,0.9317,0.7215,0.5062,0.7072,0.0015,21.79 seg
32,0.7116,234,1.0000,0.9317,0.7215,0.5062,0.7081,0.0014,21.50 seg
33,0.7120,250,0.9995,0.9412,0.7153,0.5001,0.7089,0.0012,25.23 seg
34,0.7128,251,0.9998,0.9406,0.7197,0.5059,0.7094,0.0010,21.77 seg
35,0.7128,258,0.9995,0.9432,0.7160,0.5091,0.7099,0.0009,21.59 seg
36,0.7136,252,0.9995,0.9415,0.7210,0.5088,0.7104,0.0009,21.49 seg
37,0.7136,252,0.9995,0.9415,0.7210,0.5088,0.7109,0.0009,21.71 seg
38,0.7136,252,0.9995,0.9415,0.7210,0.5088,0.7113,0.0009,21.56 seg
39,0.7146,251,0.9992,0.9438,0.7204,0.5063,0.7118,0.0008,24.86 seg
40,0.7146,251,0.9992,0.9438,0.7204,0.5063,0.7123,0.0008,21.44 seg
41,0.7146,251,0.9992,0.9438,0.7204,0.5063,0.7127,0.0008,21.47 seg
42,0.7151,254,0.9989,0.9455,0.7211,0.5075,0.7129,0.0007,21.53 seg
43,0.7160,254,0.9989,0.9466,0.7217,0.5089,0.7131,0.0007,21.20 seg
44,0.7160,249,0.9991,0.9451,0.7212,0.5077,0.7134,0.0008,21.46 seg
45,0.7162,254,0.9989,0.9473,0.7214,0.5080,0.7139,0.0008,21.83 seg
46,0.7162,254,0.9989,0.9473,0.7214,0.5080,0.7145,0.0007,25.36 seg
47,0.7169,249,0.9991,0.9458,0.7224,0.5102,0.7150,0.0006,21.35 seg
48,0.7169,249,0.9991,0.9457,0.7224,0.5109,0.7154,0.0006,22.02 seg
49,0.7170,254,0.9989,0.9482,0.7217,0.5096,0.7159,0.0005,21.49 seg
50,0.7175,249,0.9991,0.9475,0.7227,0.5082,0.7162,0.0003,21.44 seg
