Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6814,289,1.0000,0.9115,0.7109,0.4678,0.6589,0.0110,20.97 seg
2,0.6891,282,1.0000,0.9257,0.7062,0.4607,0.6696,0.0070,21.12 seg
3,0.6915,248,1.0000,0.9154,0.7107,0.4632,0.6744,0.0069,23.11 seg
4,0.6930,249,1.0000,0.9187,0.7115,0.4621,0.6776,0.0066,20.96 seg
5,0.6952,247,1.0000,0.9220,0.7109,0.4624,0.6809,0.0070,21.61 seg
6,0.6952,247,1.0000,0.9220,0.7109,0.4624,0.6843,0.0073,20.80 seg
7,0.6965,244,1.0000,0.9214,0.7104,0.4693,0.6883,0.0064,21.42 seg
8,0.6979,246,1.0000,0.9246,0.7106,0.4694,0.6922,0.0050,23.42 seg
9,0.7005,247,0.9997,0.9276,0.7116,0.4767,0.6938,0.0031,21.12 seg
10,0.7005,247,0.9997,0.9276,0.7116,0.4767,0.6947,0.0038,21.57 seg
11,0.7006,247,0.9997,0.9275,0.7121,0.4775,0.6975,0.0019,21.00 seg
12,0.7011,247,0.9997,0.9289,0.7113,0.4765,0.6995,0.0011,20.76 seg
13,0.7017,244,0.9997,0.9298,0.7108,0.4733,0.7006,0.0003,24.07 seg
14,0.7032,242,0.9997,0.9320,0.7108,0.4725,0.7010,0.0005,20.55 seg
15,0.7033,241,0.9997,0.9324,0.7108,0.4704,0.7014,0.0006,20.01 seg
16,0.7035,241,0.9997,0.9327,0.7105,0.4703,0.7020,0.0008,20.32 seg
17,0.7035,241,0.9997,0.9327,0.7105,0.4703,0.7030,0.0007,20.18 seg
18,0.7040,241,0.9997,0.9332,0.7105,0.4716,0.7033,0.0002,19.84 seg
19,0.7040,241,0.9997,0.9332,0.7105,0.4716,0.7035,0.0001,24.20 seg
20,0.7041,241,0.9996,0.9333,0.7105,0.4727,0.7035,0.0002,20.39 seg
21,0.7041,241,0.9996,0.9333,0.7105,0.4727,0.7038,0.0001,20.12 seg
22,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7039,0.0001,20.49 seg
23,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7048,0.0001,20.41 seg
24,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,21.25 seg
25,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,20.92 seg
26,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,24.84 seg
27,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,20.65 seg
28,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,21.06 seg
29,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,20.81 seg
30,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,20.73 seg
31,0.7049,241,0.9996,0.9345,0.7105,0.4729,0.7049,0.0000,20.75 seg
32,0.7043,243,0.9993,0.9343,0.7105,0.4730,0.7043,0.0000,21.43 seg
33,0.7043,243,0.9993,0.9343,0.7104,0.4729,0.7043,0.0000,20.71 seg
34,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.05 seg
35,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,25.12 seg
36,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.39 seg
37,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.79 seg
38,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.76 seg
39,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.30 seg
40,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.39 seg
41,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.14 seg
42,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.82 seg
43,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.79 seg
44,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,26.03 seg
45,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,19.56 seg
46,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.58 seg
47,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.41 seg
48,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.48 seg
49,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,19.93 seg
50,0.7039,245,0.9990,0.9343,0.7104,0.4730,0.7039,0.0000,20.60 seg
