Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6848,286,1.0000,0.9158,0.7122,0.4634,0.6600,0.0110,21.06 seg
2,0.6879,274,1.0000,0.9172,0.7099,0.4632,0.6685,0.0074,22.61 seg
3,0.6880,295,1.0000,0.9186,0.7192,0.4821,0.6731,0.0052,21.20 seg
4,0.6880,295,1.0000,0.9186,0.7192,0.4821,0.6761,0.0045,21.04 seg
5,0.6940,285,1.0000,0.9255,0.7191,0.4831,0.6785,0.0041,24.10 seg
6,0.6940,285,1.0000,0.9255,0.7191,0.4831,0.6806,0.0036,20.80 seg
7,0.6940,285,1.0000,0.9255,0.7191,0.4831,0.6820,0.0034,21.30 seg
8,0.6940,285,1.0000,0.9255,0.7191,0.4831,0.6836,0.0033,21.33 seg
9,0.6940,285,1.0000,0.9255,0.7191,0.4831,0.6849,0.0032,21.75 seg
10,0.6956,276,1.0000,0.9233,0.7069,0.4974,0.6863,0.0031,24.78 seg
11,0.6960,265,1.0000,0.9197,0.7192,0.4899,0.6875,0.0030,21.79 seg
12,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6885,0.0031,21.28 seg
13,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6897,0.0030,21.72 seg
14,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6907,0.0030,20.98 seg
15,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6919,0.0031,23.84 seg
16,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6932,0.0031,21.96 seg
17,0.7037,276,1.0000,0.9341,0.7144,0.5065,0.6944,0.0031,21.37 seg
18,0.7058,276,1.0000,0.9357,0.7148,0.5143,0.6959,0.0033,21.05 seg
19,0.7058,276,1.0000,0.9357,0.7148,0.5143,0.6977,0.0033,20.88 seg
20,0.7058,276,1.0000,0.9357,0.7148,0.5143,0.6997,0.0031,20.60 seg
21,0.7061,277,1.0000,0.9378,0.7161,0.5092,0.7018,0.0025,23.44 seg
22,0.7072,272,1.0000,0.9385,0.7143,0.5088,0.7036,0.0015,20.61 seg
23,0.7072,272,1.0000,0.9385,0.7143,0.5088,0.7046,0.0010,20.88 seg
24,0.7095,274,1.0000,0.9412,0.7160,0.5153,0.7054,0.0008,20.83 seg
25,0.7105,272,1.0000,0.9422,0.7146,0.5169,0.7061,0.0008,20.69 seg
26,0.7128,264,1.0000,0.9445,0.7112,0.5149,0.7066,0.0010,24.35 seg
27,0.7128,264,1.0000,0.9445,0.7112,0.5149,0.7073,0.0014,21.19 seg
28,0.7128,264,1.0000,0.9445,0.7112,0.5149,0.7085,0.0018,21.06 seg
29,0.7133,264,1.0000,0.9453,0.7107,0.5151,0.7099,0.0017,21.13 seg
30,0.7133,264,1.0000,0.9453,0.7107,0.5151,0.7113,0.0012,20.77 seg
31,0.7134,264,1.0000,0.9455,0.7109,0.5155,0.7122,0.0009,20.84 seg
32,0.7134,264,1.0000,0.9455,0.7109,0.5155,0.7128,0.0005,20.53 seg
33,0.7135,264,1.0000,0.9455,0.7109,0.5157,0.7131,0.0002,24.13 seg
34,0.7137,263,1.0000,0.9456,0.7112,0.5152,0.7133,0.0002,20.72 seg
35,0.7137,263,1.0000,0.9456,0.7112,0.5152,0.7134,0.0001,20.87 seg
36,0.7145,263,1.0000,0.9469,0.7109,0.5158,0.7134,0.0001,21.07 seg
37,0.7145,263,1.0000,0.9469,0.7109,0.5158,0.7135,0.0001,21.02 seg
38,0.7145,263,1.0000,0.9469,0.7109,0.5158,0.7135,0.0002,21.00 seg
39,0.7145,263,1.0000,0.9469,0.7109,0.5158,0.7136,0.0002,24.70 seg
40,0.7145,263,1.0000,0.9469,0.7109,0.5158,0.7139,0.0003,21.33 seg
41,0.7145,263,1.0000,0.9473,0.7107,0.5146,0.7141,0.0003,20.99 seg
42,0.7145,263,1.0000,0.9473,0.7107,0.5146,0.7143,0.0002,20.43 seg
43,0.7145,263,1.0000,0.9473,0.7107,0.5146,0.7143,0.0002,20.39 seg
44,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,21.06 seg
45,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,21.28 seg
46,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,20.79 seg
47,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,25.24 seg
48,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,20.78 seg
49,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,21.01 seg
50,0.7141,265,0.9997,0.9475,0.7107,0.5142,0.7140,0.0000,22.64 seg
