(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),18,245,0.9997,0.9385,0.7146,0.4594,0.7044,8.97 min
(torneo punto elitismo),45,237,1.0000,0.9409,0.7134,0.5029,0.7151,18.04 min
(torneo punto truncamiento),28,268,1.0000,0.9399,0.7087,0.4786,0.7038,18.00 min
(torneo varios_puntos reemplazo),22,267,1.0000,0.9487,0.7098,0.4879,0.7104,9.08 min
(torneo varios_puntos elitismo),29,262,0.9997,0.9552,0.7227,0.4999,0.7182,18.06 min
(torneo varios_puntos truncamiento),22,248,1.0000,0.9431,0.7073,0.4630,0.7060,17.85 min
(torneo uniforme reemplazo),50,151,1.0000,0.9620,0.7357,0.5743,0.7570,9.23 min
(torneo uniforme elitismo),50,169,1.0000,0.9712,0.7303,0.5882,0.7599,18.67 min
(torneo uniforme truncamiento),50,200,1.0000,0.9679,0.7183,0.5585,0.7463,18.46 min
(fitness punto reemplazo),22,254,1.0000,0.9122,0.7111,0.4706,0.6908,8.99 min
(fitness punto elitismo),29,267,1.0000,0.9245,0.7050,0.4662,0.6936,18.45 min
(fitness punto truncamiento),50,244,1.0000,0.9404,0.7237,0.4915,0.7118,18.40 min
(fitness varios_puntos reemplazo),43,254,0.9995,0.9247,0.7115,0.4553,0.6952,9.27 min
(fitness varios_puntos elitismo),49,279,1.0000,0.9264,0.7066,0.4691,0.6908,18.72 min
(fitness varios_puntos truncamiento),50,258,1.0000,0.9441,0.7171,0.5083,0.7126,18.58 min
(fitness uniforme reemplazo),22,289,1.0000,0.9296,0.7027,0.4704,0.6915,9.65 min
(fitness uniforme elitismo),3,272,1.0000,0.9239,0.7240,0.4765,0.6939,19.52 min
(fitness uniforme truncamiento),46,231,1.0000,0.9341,0.7244,0.4878,0.7104,19.36 min
(rango punto reemplazo),50,245,1.0000,0.9516,0.7132,0.4955,0.7183,9.30 min
(rango punto elitismo),50,246,1.0000,0.9457,0.7105,0.5154,0.7175,18.31 min
(rango punto truncamiento),42,263,1.0000,0.9476,0.7104,0.5142,0.7146,18.02 min
(rango varios_puntos reemplazo),50,240,0.9998,0.9383,0.7204,0.4939,0.7130,9.14 min
(rango varios_puntos elitismo),50,250,0.9993,0.9383,0.7216,0.5183,0.7149,18.40 min
(rango varios_puntos truncamiento),50,246,0.9997,0.9444,0.7013,0.5147,0.7154,18.28 min
(rango uniforme reemplazo),46,236,0.9997,0.9251,0.7322,0.5299,0.7108,9.61 min
(rango uniforme elitismo),48,216,1.0000,0.9265,0.7255,0.5095,0.7137,19.29 min
(rango uniforme truncamiento),48,210,1.0000,0.9219,0.7079,0.5374,0.7127,19.31 min
,,,,,,,,6.95 hr
