Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6812,292,1.0000,0.9101,0.7110,0.4690,0.6588,0.0115,21.50 seg
2,0.6882,305,1.0000,0.9227,0.7133,0.4865,0.6714,0.0059,21.61 seg
3,0.6933,270,1.0000,0.9225,0.7084,0.4751,0.6767,0.0049,24.00 seg
4,0.6961,271,1.0000,0.9262,0.7113,0.4798,0.6806,0.0044,21.58 seg
5,0.6961,271,1.0000,0.9262,0.7113,0.4798,0.6840,0.0043,21.29 seg
6,0.6969,256,1.0000,0.9233,0.7151,0.4728,0.6877,0.0041,21.43 seg
7,0.6990,271,1.0000,0.9321,0.7106,0.4780,0.6921,0.0036,21.17 seg
8,0.7008,264,1.0000,0.9329,0.7098,0.4786,0.6958,0.0020,23.64 seg
9,0.7009,270,1.0000,0.9364,0.7068,0.4766,0.6979,0.0014,21.16 seg
10,0.7019,272,1.0000,0.9382,0.7090,0.4780,0.6994,0.0010,21.43 seg
11,0.7020,270,1.0000,0.9372,0.7097,0.4786,0.7006,0.0008,21.38 seg
12,0.7030,270,1.0000,0.9390,0.7097,0.4789,0.7014,0.0006,21.31 seg
13,0.7030,272,1.0000,0.9398,0.7065,0.4812,0.7024,0.0006,23.99 seg
14,0.7034,269,1.0000,0.9397,0.7075,0.4793,0.7030,0.0000,21.22 seg
15,0.7034,269,1.0000,0.9397,0.7075,0.4793,0.7031,0.0001,21.11 seg
16,0.7034,269,1.0000,0.9397,0.7075,0.4793,0.7032,0.0002,20.99 seg
17,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7032,0.0000,21.02 seg
18,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7032,0.0000,20.77 seg
19,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7032,0.0000,24.01 seg
20,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7033,0.0001,21.04 seg
21,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.33 seg
22,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.82 seg
23,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.65 seg
24,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.03 seg
25,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.99 seg
26,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,24.83 seg
27,0.7034,268,1.0000,0.9393,0.7084,0.4784,0.7034,0.0000,21.31 seg
28,0.7038,268,1.0000,0.9399,0.7087,0.4786,0.7038,0.0000,21.46 seg
29,0.7038,268,1.0000,0.9399,0.7087,0.4786,0.7038,0.0000,21.08 seg
30,0.7038,268,1.0000,0.9399,0.7087,0.4786,0.7038,0.0000,21.22 seg
31,0.7029,272,0.9995,0.9399,0.7087,0.4788,0.7029,0.0000,20.89 seg
32,0.7029,272,0.9995,0.9399,0.7087,0.4788,0.7029,0.0000,19.69 seg
33,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,24.74 seg
34,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.74 seg
35,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.88 seg
36,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.33 seg
37,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.90 seg
38,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,21.51 seg
39,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.67 seg
40,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,21.03 seg
41,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,21.27 seg
42,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,25.98 seg
43,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,21.76 seg
44,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,21.57 seg
45,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.66 seg
46,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.40 seg
47,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.77 seg
48,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.81 seg
49,0.7027,273,0.9992,0.9400,0.7087,0.4786,0.7027,0.0000,20.73 seg
50,0.7029,273,0.9992,0.9403,0.7085,0.4788,0.7029,0.0000,21.10 seg
