Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6849,276,1.0000,0.9087,0.7134,0.0111,21.61 seg
2,0.6863,276,1.0000,0.9120,0.7122,0.0113,22.20 seg
3,0.6864,274,1.0000,0.9116,0.7099,0.0109,22.07 seg
4,0.6874,272,1.0000,0.9137,0.7107,0.0109,21.28 seg
5,0.6877,273,1.0000,0.9141,0.7099,0.0107,21.59 seg
6,0.6881,272,1.0000,0.9149,0.7104,0.0108,21.45 seg
7,0.6882,273,1.0000,0.9149,0.7099,0.0107,22.39 seg
8,0.6883,272,1.0000,0.9143,0.7100,0.0106,21.78 seg
9,0.6884,272,1.0000,0.9150,0.7092,0.0108,21.64 seg
10,0.6888,273,1.0000,0.9162,0.7094,0.0108,21.93 seg
11,0.6891,271,1.0000,0.9164,0.7091,0.0108,21.05 seg
12,0.6891,270,1.0000,0.9156,0.7092,0.0106,21.54 seg
13,0.6892,271,1.0000,0.9154,0.7101,0.0107,22.53 seg
14,0.6895,270,1.0000,0.9156,0.7093,0.0107,21.88 seg
15,0.6895,270,1.0000,0.9155,0.7095,0.0106,21.55 seg
16,0.6896,270,1.0000,0.9161,0.7092,0.0106,21.66 seg
17,0.6901,267,1.0000,0.9170,0.7103,0.0106,21.81 seg
18,0.6903,266,1.0000,0.9171,0.7097,0.0108,21.84 seg
19,0.6904,265,1.0000,0.9162,0.7104,0.0107,22.89 seg
20,0.6905,265,1.0000,0.9163,0.7106,0.0107,21.93 seg
21,0.6909,266,0.9999,0.9167,0.7119,0.0106,22.40 seg
22,0.6911,266,0.9999,0.9170,0.7119,0.0108,21.54 seg
23,0.6914,266,0.9999,0.9175,0.7117,0.0107,21.70 seg
24,0.6915,266,0.9999,0.9176,0.7120,0.0106,21.71 seg
25,0.6916,266,0.9999,0.9184,0.7123,0.0104,21.89 seg
26,0.6916,266,0.9999,0.9184,0.7123,0.0104,22.97 seg
27,0.6916,266,0.9999,0.9184,0.7123,0.0105,21.42 seg
28,0.6919,266,0.9999,0.9190,0.7120,0.0103,22.53 seg
29,0.6921,266,0.9999,0.9196,0.7119,0.0103,21.97 seg
30,0.6921,266,0.9999,0.9196,0.7119,0.0105,21.35 seg
31,0.6923,267,0.9999,0.9202,0.7105,0.0106,21.80 seg
32,0.6927,265,1.0000,0.9207,0.7106,0.0105,21.71 seg
33,0.6926,266,0.9999,0.9206,0.7104,0.0105,21.63 seg
34,0.6928,267,0.9999,0.9206,0.7119,0.0104,22.93 seg
35,0.6928,267,0.9999,0.9206,0.7119,0.0107,21.15 seg
36,0.6930,267,0.9999,0.9212,0.7119,0.0107,21.67 seg
37,0.6930,267,0.9999,0.9212,0.7119,0.0108,22.21 seg
38,0.6930,267,0.9999,0.9212,0.7119,0.0106,21.09 seg
39,0.6930,267,0.9999,0.9212,0.7119,0.0105,21.67 seg
40,0.6933,267,0.9999,0.9217,0.7117,0.0103,21.21 seg
41,0.6933,267,0.9999,0.9217,0.7117,0.0103,21.71 seg
42,0.6933,267,0.9999,0.9217,0.7117,0.0106,21.80 seg
43,0.6933,267,0.9999,0.9217,0.7117,0.0106,23.04 seg
44,0.6933,267,0.9999,0.9217,0.7117,0.0106,22.00 seg
45,0.6933,267,0.9999,0.9217,0.7117,0.0103,21.82 seg
46,0.6935,268,0.9999,0.9229,0.7111,0.0104,21.86 seg
47,0.6935,268,0.9999,0.9229,0.7111,0.0103,21.71 seg
48,0.6935,268,0.9999,0.9229,0.7111,0.0103,21.24 seg
49,0.6935,268,0.9999,0.9229,0.7111,0.0104,21.76 seg
50,0.6935,268,0.9999,0.9229,0.7111,0.0104,21.35 seg
