Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6849,279,1.0000,0.9102,0.7122,0.0110,10.89 seg
2,0.6837,278,1.0000,0.9088,0.7076,0.0109,11.03 seg
3,0.6851,275,1.0000,0.9095,0.7093,0.0110,10.64 seg
4,0.6856,269,1.0000,0.9100,0.7112,0.0108,11.10 seg
5,0.6858,273,1.0000,0.9118,0.7089,0.0109,10.57 seg
6,0.6863,273,1.0000,0.9142,0.7110,0.0108,11.07 seg
7,0.6857,276,1.0000,0.9120,0.7108,0.0105,10.66 seg
8,0.6847,276,1.0000,0.9101,0.7112,0.0109,10.59 seg
9,0.6854,281,1.0000,0.9144,0.7104,0.0107,11.10 seg
10,0.6857,273,1.0000,0.9109,0.7111,0.0105,11.06 seg
11,0.6862,277,1.0000,0.9124,0.7101,0.0104,11.22 seg
12,0.6846,274,1.0000,0.9091,0.7099,0.0107,10.74 seg
13,0.6849,277,1.0000,0.9104,0.7100,0.0107,10.88 seg
14,0.6849,274,1.0000,0.9108,0.7090,0.0106,10.97 seg
15,0.6848,276,1.0000,0.9102,0.7090,0.0106,10.60 seg
16,0.6846,270,1.0000,0.9090,0.7085,0.0106,10.61 seg
17,0.6849,272,1.0000,0.9099,0.7108,0.0108,11.24 seg
18,0.6842,277,1.0000,0.9100,0.7082,0.0108,10.49 seg
19,0.6850,275,1.0000,0.9103,0.7105,0.0109,10.59 seg
20,0.6845,275,1.0000,0.9108,0.7063,0.0109,11.27 seg
21,0.6837,271,1.0000,0.9086,0.7090,0.0108,10.59 seg
22,0.6850,274,1.0000,0.9103,0.7098,0.0107,11.30 seg
23,0.6838,276,1.0000,0.9081,0.7068,0.0107,11.16 seg
24,0.6855,281,1.0000,0.9147,0.7094,0.0110,10.64 seg
25,0.6842,280,1.0000,0.9106,0.7088,0.0109,10.62 seg
26,0.6875,270,1.0000,0.9122,0.7102,0.0112,11.38 seg
27,0.6856,274,1.0000,0.9113,0.7109,0.0111,10.55 seg
28,0.6856,276,1.0000,0.9115,0.7112,0.0112,10.50 seg
29,0.6839,276,1.0000,0.9089,0.7122,0.0113,10.47 seg
30,0.6856,278,1.0000,0.9126,0.7090,0.0108,11.18 seg
31,0.6846,276,1.0000,0.9105,0.7092,0.0107,10.54 seg
32,0.6855,278,1.0000,0.9113,0.7120,0.0109,10.74 seg
33,0.6842,267,1.0000,0.9067,0.7106,0.0107,10.51 seg
34,0.6847,276,0.9999,0.9110,0.7070,0.0108,11.27 seg
35,0.6856,278,1.0000,0.9115,0.7134,0.0109,10.67 seg
36,0.6855,277,1.0000,0.9127,0.7101,0.0108,11.31 seg
37,0.6851,276,1.0000,0.9140,0.7064,0.0107,10.92 seg
38,0.6837,277,1.0000,0.9094,0.7088,0.0107,11.01 seg
39,0.6841,274,0.9999,0.9104,0.7089,0.0107,10.57 seg
40,0.6849,268,1.0000,0.9104,0.7081,0.0106,10.54 seg
41,0.6846,279,0.9999,0.9099,0.7082,0.0106,11.03 seg
42,0.6848,277,1.0000,0.9107,0.7139,0.0105,11.11 seg
43,0.6856,272,1.0000,0.9098,0.7113,0.0106,10.74 seg
44,0.6845,270,1.0000,0.9107,0.7090,0.0106,10.65 seg
45,0.6846,275,1.0000,0.9113,0.7112,0.0107,10.61 seg
46,0.6855,268,0.9999,0.9086,0.7107,0.0107,11.13 seg
47,0.6848,275,1.0000,0.9111,0.7104,0.0108,11.08 seg
48,0.6841,277,0.9999,0.9108,0.7077,0.0108,10.62 seg
49,0.6846,278,1.0000,0.9129,0.7100,0.0107,10.66 seg
50,0.6847,277,1.0000,0.9099,0.7102,0.0105,10.67 seg
