Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6849,275,1.0000,0.9115,0.7110,0.0112,21.70 seg
2,0.6856,271,1.0000,0.9100,0.7116,0.0079,22.29 seg
3,0.6867,273,1.0000,0.9127,0.7108,0.0062,21.26 seg
4,0.6878,270,1.0000,0.9129,0.7125,0.0054,21.72 seg
5,0.6882,269,1.0000,0.9132,0.7107,0.0048,22.04 seg
6,0.6904,270,1.0000,0.9162,0.7111,0.0044,21.77 seg
7,0.6917,267,1.0000,0.9180,0.7124,0.0041,22.01 seg
8,0.6921,266,1.0000,0.9181,0.7129,0.0039,21.25 seg
9,0.6928,267,1.0000,0.9203,0.7124,0.0037,21.75 seg
10,0.6945,267,1.0000,0.9225,0.7128,0.0035,21.96 seg
11,0.6949,268,1.0000,0.9229,0.7132,0.0034,21.56 seg
12,0.6954,271,1.0000,0.9252,0.7109,0.0034,21.89 seg
13,0.6962,268,1.0000,0.9252,0.7123,0.0033,21.23 seg
14,0.6977,270,1.0000,0.9278,0.7133,0.0032,21.71 seg
15,0.6980,269,1.0000,0.9275,0.7124,0.0032,21.71 seg
16,0.6982,267,1.0000,0.9269,0.7119,0.0031,21.80 seg
17,0.6996,261,1.0000,0.9285,0.7121,0.0031,22.28 seg
18,0.7004,259,0.9999,0.9277,0.7140,0.0030,21.27 seg
19,0.7018,258,0.9999,0.9297,0.7155,0.0029,21.61 seg
20,0.7020,257,0.9999,0.9289,0.7150,0.0028,21.93 seg
21,0.7020,258,0.9999,0.9295,0.7150,0.0027,22.08 seg
22,0.7023,257,0.9999,0.9296,0.7142,0.0026,22.08 seg
23,0.7025,256,0.9999,0.9300,0.7139,0.0025,21.86 seg
24,0.7032,252,0.9999,0.9281,0.7144,0.0025,21.45 seg
25,0.7033,249,0.9999,0.9276,0.7137,0.0025,21.95 seg
26,0.7038,250,0.9999,0.9291,0.7145,0.0024,22.07 seg
27,0.7045,251,0.9999,0.9302,0.7155,0.0024,22.04 seg
28,0.7049,253,0.9999,0.9312,0.7157,0.0023,22.38 seg
29,0.7050,253,0.9999,0.9310,0.7165,0.0022,21.77 seg
30,0.7053,253,0.9999,0.9317,0.7164,0.0021,21.20 seg
31,0.7060,254,0.9998,0.9335,0.7161,0.0020,21.71 seg
32,0.7062,252,0.9998,0.9332,0.7145,0.0019,21.58 seg
33,0.7066,251,0.9998,0.9334,0.7152,0.0019,21.71 seg
34,0.7073,249,0.9998,0.9341,0.7147,0.0018,22.06 seg
35,0.7074,250,0.9998,0.9344,0.7144,0.0016,21.10 seg
36,0.7075,250,0.9999,0.9344,0.7144,0.0016,20.91 seg
37,0.7080,250,0.9997,0.9355,0.7145,0.0014,21.48 seg
38,0.7082,249,0.9998,0.9346,0.7160,0.0013,21.44 seg
39,0.7090,247,0.9998,0.9360,0.7151,0.0013,21.52 seg
40,0.7092,250,0.9997,0.9372,0.7169,0.0012,21.89 seg
41,0.7094,247,0.9996,0.9372,0.7141,0.0012,21.26 seg
42,0.7101,245,0.9997,0.9362,0.7150,0.0012,21.04 seg
43,0.7104,245,0.9996,0.9369,0.7144,0.0012,21.69 seg
44,0.7107,244,0.9996,0.9375,0.7145,0.0012,21.69 seg
45,0.7108,245,0.9996,0.9379,0.7153,0.0012,21.80 seg
46,0.7112,247,0.9996,0.9391,0.7148,0.0011,21.64 seg
47,0.7117,244,0.9996,0.9392,0.7151,0.0011,21.08 seg
48,0.7119,247,0.9996,0.9404,0.7158,0.0011,21.48 seg
49,0.7123,243,0.9997,0.9397,0.7156,0.0010,21.54 seg
50,0.7126,242,0.9996,0.9405,0.7150,0.0009,21.45 seg
