Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6852,278,1.0000,0.9139,0.7104,0.0110,22.02 seg
2,0.6856,281,1.0000,0.9130,0.7107,0.0110,22.83 seg
3,0.6875,276,1.0000,0.9145,0.7097,0.0109,22.22 seg
4,0.6881,276,1.0000,0.9164,0.7101,0.0108,22.51 seg
5,0.6883,275,1.0000,0.9159,0.7092,0.0106,22.80 seg
6,0.6887,276,1.0000,0.9170,0.7092,0.0109,22.80 seg
7,0.6891,273,1.0000,0.9162,0.7097,0.0108,23.66 seg
8,0.6891,273,1.0000,0.9162,0.7097,0.0107,22.47 seg
9,0.6891,273,1.0000,0.9164,0.7099,0.0107,22.98 seg
10,0.6895,270,1.0000,0.9161,0.7102,0.0109,22.34 seg
11,0.6901,271,1.0000,0.9174,0.7113,0.0109,23.57 seg
12,0.6907,270,1.0000,0.9187,0.7098,0.0109,22.98 seg
13,0.6907,270,1.0000,0.9187,0.7098,0.0109,23.32 seg
14,0.6907,270,1.0000,0.9187,0.7098,0.0109,22.43 seg
15,0.6907,271,1.0000,0.9191,0.7103,0.0106,23.20 seg
16,0.6907,271,1.0000,0.9191,0.7103,0.0107,22.55 seg
17,0.6907,271,1.0000,0.9191,0.7103,0.0107,23.12 seg
18,0.6907,271,1.0000,0.9191,0.7103,0.0107,23.48 seg
19,0.6907,271,1.0000,0.9191,0.7103,0.0107,23.96 seg
20,0.6907,271,1.0000,0.9191,0.7103,0.0104,22.49 seg
21,0.6907,271,1.0000,0.9191,0.7103,0.0107,22.59 seg
22,0.6907,271,1.0000,0.9191,0.7103,0.0109,23.26 seg
23,0.6907,271,1.0000,0.9191,0.7103,0.0108,22.48 seg
24,0.6907,271,1.0000,0.9191,0.7103,0.0107,23.23 seg
25,0.6907,271,1.0000,0.9191,0.7103,0.0108,23.31 seg
26,0.6908,270,1.0000,0.9181,0.7119,0.0108,22.81 seg
27,0.6908,270,1.0000,0.9181,0.7119,0.0107,23.58 seg
28,0.6908,270,1.0000,0.9181,0.7119,0.0108,22.35 seg
29,0.6908,270,1.0000,0.9181,0.7119,0.0108,22.39 seg
30,0.6908,270,1.0000,0.9181,0.7119,0.0106,23.16 seg
31,0.6908,270,1.0000,0.9181,0.7119,0.0109,22.47 seg
32,0.6911,269,0.9999,0.9176,0.7134,0.0110,23.24 seg
33,0.6911,269,0.9999,0.9176,0.7134,0.0111,23.26 seg
34,0.6911,270,0.9999,0.9184,0.7121,0.0107,22.74 seg
35,0.6911,270,0.9999,0.9184,0.7121,0.0107,23.71 seg
36,0.6911,270,0.9999,0.9184,0.7121,0.0106,22.24 seg
37,0.6911,270,0.9999,0.9184,0.7121,0.0107,22.22 seg
38,0.6911,270,0.9999,0.9184,0.7121,0.0105,23.23 seg
39,0.6913,270,0.9999,0.9187,0.7127,0.0108,22.08 seg
40,0.6913,266,0.9999,0.9180,0.7121,0.0105,22.15 seg
41,0.6913,266,0.9999,0.9180,0.7121,0.0107,23.16 seg
42,0.6914,268,0.9999,0.9186,0.7114,0.0105,23.20 seg
43,0.6914,268,0.9999,0.9186,0.7114,0.0106,22.52 seg
44,0.6914,268,0.9999,0.9186,0.7114,0.0104,23.73 seg
45,0.6914,268,0.9999,0.9186,0.7114,0.0108,22.16 seg
46,0.6914,268,0.9999,0.9186,0.7114,0.0106,22.14 seg
47,0.6914,268,0.9999,0.9186,0.7114,0.0105,22.01 seg
48,0.6914,268,0.9999,0.9186,0.7114,0.0107,23.49 seg
49,0.6914,270,0.9999,0.9190,0.7116,0.0105,22.37 seg
50,0.6914,270,0.9999,0.9190,0.7116,0.0103,22.24 seg
