Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6860,273,1.0000,0.9113,0.7105,0.0111,11.09 seg
2,0.6835,280,1.0000,0.9127,0.7101,0.0109,11.05 seg
3,0.6844,271,1.0000,0.9098,0.7091,0.0112,11.25 seg
4,0.6839,274,1.0000,0.9085,0.7100,0.0110,11.28 seg
5,0.6844,280,1.0000,0.9102,0.7114,0.0111,11.29 seg
6,0.6851,278,1.0000,0.9118,0.7096,0.0110,11.35 seg
7,0.6836,279,1.0000,0.9094,0.7111,0.0110,11.58 seg
8,0.6845,273,1.0000,0.9097,0.7096,0.0109,11.65 seg
9,0.6850,275,1.0000,0.9111,0.7074,0.0109,11.50 seg
10,0.6846,277,1.0000,0.9095,0.7110,0.0110,11.94 seg
11,0.6850,282,1.0000,0.9140,0.7096,0.0110,11.62 seg
12,0.6842,280,1.0000,0.9118,0.7101,0.0110,11.23 seg
13,0.6848,279,1.0000,0.9139,0.7099,0.0109,11.58 seg
14,0.6850,276,1.0000,0.9120,0.7102,0.0108,11.52 seg
15,0.6835,273,1.0000,0.9094,0.7091,0.0109,11.69 seg
16,0.6844,274,1.0000,0.9098,0.7084,0.0108,11.25 seg
17,0.6848,276,1.0000,0.9108,0.7099,0.0109,11.17 seg
18,0.6851,279,1.0000,0.9129,0.7081,0.0109,11.70 seg
19,0.6849,271,1.0000,0.9103,0.7106,0.0109,11.24 seg
20,0.6851,282,1.0000,0.9148,0.7077,0.0110,11.53 seg
21,0.6843,283,1.0000,0.9144,0.7119,0.0107,11.60 seg
22,0.6864,277,1.0000,0.9135,0.7119,0.0110,11.97 seg
23,0.6839,276,1.0000,0.9096,0.7107,0.0107,11.54 seg
24,0.6849,281,1.0000,0.9122,0.7119,0.0108,11.26 seg
25,0.6848,278,1.0000,0.9111,0.7129,0.0108,11.61 seg
26,0.6834,275,1.0000,0.9096,0.7100,0.0109,11.14 seg
27,0.6844,278,1.0000,0.9119,0.7077,0.0108,11.98 seg
28,0.6843,281,1.0000,0.9125,0.7090,0.0110,11.21 seg
29,0.6843,281,1.0000,0.9111,0.7087,0.0107,11.26 seg
30,0.6847,280,1.0000,0.9149,0.7070,0.0108,11.16 seg
31,0.6843,279,0.9999,0.9134,0.7061,0.0110,11.63 seg
32,0.6843,277,1.0000,0.9105,0.7101,0.0109,11.67 seg
33,0.6847,279,1.0000,0.9121,0.7085,0.0110,11.18 seg
34,0.6838,283,1.0000,0.9112,0.7117,0.0107,11.65 seg
35,0.6848,276,1.0000,0.9114,0.7101,0.0110,11.74 seg
36,0.6831,276,0.9999,0.9082,0.7106,0.0106,11.97 seg
37,0.6838,277,1.0000,0.9084,0.7105,0.0109,11.39 seg
38,0.6844,279,1.0000,0.9110,0.7112,0.0108,11.55 seg
39,0.6845,282,1.0000,0.9135,0.7086,0.0109,11.33 seg
40,0.6844,276,1.0000,0.9102,0.7086,0.0109,11.63 seg
41,0.6846,279,1.0000,0.9121,0.7104,0.0109,11.17 seg
42,0.6833,278,0.9999,0.9106,0.7084,0.0107,11.22 seg
43,0.6844,284,1.0000,0.9130,0.7094,0.0108,12.12 seg
44,0.6832,278,1.0000,0.9104,0.7098,0.0109,11.27 seg
45,0.6843,276,1.0000,0.9113,0.7067,0.0109,11.20 seg
46,0.6832,281,0.9999,0.9105,0.7105,0.0110,11.17 seg
47,0.6830,278,1.0000,0.9097,0.7109,0.0110,11.23 seg
48,0.6845,275,0.9999,0.9102,0.7131,0.0109,11.70 seg
49,0.6848,275,0.9999,0.9110,0.7114,0.0108,11.73 seg
50,0.6844,281,0.9998,0.9118,0.7113,0.0109,11.17 seg
