Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6834,274,1.0000,0.9100,0.7077,0.0109,21.80 seg
2,0.6847,275,1.0000,0.9132,0.7070,0.0078,22.70 seg
3,0.6865,270,1.0000,0.9137,0.7072,0.0065,21.84 seg
4,0.6869,272,1.0000,0.9147,0.7085,0.0057,22.75 seg
5,0.6893,268,1.0000,0.9185,0.7091,0.0052,22.65 seg
6,0.6901,264,1.0000,0.9183,0.7077,0.0049,22.31 seg
7,0.6909,264,1.0000,0.9180,0.7077,0.0046,23.22 seg
8,0.6911,263,1.0000,0.9173,0.7089,0.0044,22.20 seg
9,0.6914,266,1.0000,0.9184,0.7109,0.0043,23.09 seg
10,0.6915,261,1.0000,0.9182,0.7106,0.0041,22.87 seg
11,0.6916,261,1.0000,0.9178,0.7106,0.0040,22.69 seg
12,0.6921,265,1.0000,0.9203,0.7111,0.0039,23.59 seg
13,0.6927,256,1.0000,0.9184,0.7117,0.0039,22.42 seg
14,0.6929,258,1.0000,0.9187,0.7114,0.0038,23.15 seg
15,0.6933,259,1.0000,0.9187,0.7111,0.0037,22.59 seg
16,0.6935,256,1.0000,0.9178,0.7120,0.0037,22.92 seg
17,0.6942,254,1.0000,0.9179,0.7128,0.0037,23.16 seg
18,0.6946,255,1.0000,0.9188,0.7118,0.0036,22.72 seg
19,0.6952,254,1.0000,0.9189,0.7110,0.0035,23.33 seg
20,0.6955,255,1.0000,0.9194,0.7110,0.0035,22.81 seg
21,0.6960,254,1.0000,0.9187,0.7114,0.0034,22.95 seg
22,0.6963,252,1.0000,0.9190,0.7111,0.0034,23.09 seg
23,0.6974,253,1.0000,0.9212,0.7117,0.0033,23.17 seg
24,0.6979,249,1.0000,0.9195,0.7121,0.0033,22.90 seg
25,0.6983,250,1.0000,0.9200,0.7122,0.0033,23.12 seg
26,0.6987,251,1.0000,0.9217,0.7123,0.0033,23.14 seg
27,0.6994,253,0.9999,0.9239,0.7107,0.0033,22.72 seg
28,0.6995,254,0.9999,0.9243,0.7109,0.0033,23.01 seg
29,0.6996,253,0.9999,0.9239,0.7109,0.0033,22.71 seg
30,0.6999,250,0.9999,0.9231,0.7099,0.0033,23.10 seg
31,0.7008,243,1.0000,0.9222,0.7133,0.0033,23.03 seg
32,0.7011,239,1.0000,0.9200,0.7151,0.0033,23.13 seg
33,0.7017,236,1.0000,0.9204,0.7147,0.0033,23.13 seg
34,0.7023,240,1.0000,0.9221,0.7146,0.0033,22.79 seg
35,0.7023,238,1.0000,0.9222,0.7137,0.0033,22.73 seg
36,0.7027,238,0.9999,0.9219,0.7142,0.0033,23.38 seg
37,0.7031,240,0.9999,0.9227,0.7147,0.0033,22.92 seg
38,0.7034,240,0.9999,0.9225,0.7133,0.0033,22.63 seg
39,0.7035,241,1.0000,0.9239,0.7126,0.0033,23.01 seg
40,0.7035,241,1.0000,0.9239,0.7126,0.0032,22.61 seg
41,0.7035,240,1.0000,0.9231,0.7142,0.0032,22.66 seg
42,0.7036,238,1.0000,0.9229,0.7130,0.0032,23.25 seg
43,0.7037,234,1.0000,0.9221,0.7143,0.0031,23.04 seg
44,0.7046,232,1.0000,0.9215,0.7156,0.0032,22.72 seg
45,0.7048,233,1.0000,0.9222,0.7166,0.0031,22.97 seg
46,0.7055,230,1.0000,0.9228,0.7172,0.0032,22.85 seg
47,0.7055,231,1.0000,0.9229,0.7167,0.0032,23.07 seg
48,0.7057,232,1.0000,0.9239,0.7171,0.0032,23.29 seg
49,0.7058,230,1.0000,0.9226,0.7173,0.0032,22.99 seg
50,0.7065,229,1.0000,0.9232,0.7164,0.0032,22.52 seg
