Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6841,277,1.0000,0.9115,0.7104,0.0112,21.94 seg
2,0.6852,275,1.0000,0.9120,0.7096,0.0111,21.43 seg
3,0.6866,273,1.0000,0.9141,0.7103,0.0111,22.59 seg
4,0.6868,273,1.0000,0.9147,0.7099,0.0109,21.68 seg
5,0.6873,271,1.0000,0.9137,0.7104,0.0109,22.33 seg
6,0.6874,271,1.0000,0.9131,0.7116,0.0108,21.32 seg
7,0.6874,271,1.0000,0.9133,0.7113,0.0109,21.46 seg
8,0.6876,272,1.0000,0.9141,0.7114,0.0108,22.66 seg
9,0.6877,271,1.0000,0.9137,0.7111,0.0107,22.10 seg
10,0.6881,272,1.0000,0.9140,0.7111,0.0106,22.09 seg
11,0.6884,271,0.9999,0.9150,0.7111,0.0106,22.10 seg
12,0.6888,271,1.0000,0.9159,0.7108,0.0106,21.55 seg
13,0.6888,271,1.0000,0.9158,0.7108,0.0106,21.73 seg
14,0.6889,270,1.0000,0.9158,0.7113,0.0107,22.40 seg
15,0.6892,273,1.0000,0.9167,0.7116,0.0106,22.26 seg
16,0.6893,273,1.0000,0.9169,0.7116,0.0108,22.24 seg
17,0.6893,273,1.0000,0.9169,0.7116,0.0108,22.22 seg
18,0.6896,272,1.0000,0.9169,0.7107,0.0107,21.62 seg
19,0.6896,272,1.0000,0.9169,0.7107,0.0105,21.58 seg
20,0.6899,271,1.0000,0.9170,0.7104,0.0105,22.75 seg
21,0.6899,271,1.0000,0.9170,0.7104,0.0105,22.03 seg
22,0.6899,270,1.0000,0.9171,0.7105,0.0104,22.59 seg
23,0.6904,275,1.0000,0.9204,0.7086,0.0104,22.39 seg
24,0.6904,276,0.9999,0.9204,0.7086,0.0102,22.49 seg
25,0.6904,276,0.9999,0.9204,0.7086,0.0102,21.58 seg
26,0.6904,276,0.9999,0.9205,0.7082,0.0102,21.67 seg
27,0.6905,276,0.9999,0.9202,0.7075,0.0104,22.62 seg
28,0.6909,275,0.9999,0.9204,0.7081,0.0103,22.58 seg
29,0.6911,275,0.9999,0.9210,0.7076,0.0106,22.44 seg
30,0.6915,275,0.9999,0.9217,0.7077,0.0105,21.90 seg
31,0.6919,274,0.9999,0.9216,0.7074,0.0104,21.95 seg
32,0.6919,274,0.9999,0.9216,0.7074,0.0102,22.50 seg
33,0.6920,274,0.9999,0.9216,0.7069,0.0104,21.40 seg
34,0.6921,272,0.9999,0.9211,0.7076,0.0103,21.54 seg
35,0.6921,272,0.9999,0.9211,0.7076,0.0102,22.02 seg
36,0.6923,271,0.9999,0.9208,0.7075,0.0105,22.47 seg
37,0.6923,271,0.9999,0.9208,0.7075,0.0102,22.07 seg
38,0.6925,271,0.9999,0.9212,0.7078,0.0101,22.47 seg
39,0.6925,271,0.9999,0.9212,0.7078,0.0101,22.08 seg
40,0.6925,271,0.9999,0.9212,0.7078,0.0101,21.89 seg
41,0.6925,271,0.9999,0.9212,0.7078,0.0102,22.59 seg
42,0.6928,273,1.0000,0.9223,0.7087,0.0103,21.48 seg
43,0.6928,273,1.0000,0.9223,0.7087,0.0102,21.57 seg
44,0.6929,273,1.0000,0.9223,0.7087,0.0102,21.48 seg
45,0.6930,273,1.0000,0.9224,0.7087,0.0100,22.54 seg
46,0.6930,273,1.0000,0.9224,0.7087,0.0099,22.76 seg
47,0.6930,273,1.0000,0.9224,0.7087,0.0098,22.85 seg
48,0.6931,273,1.0000,0.9228,0.7087,0.0101,21.55 seg
49,0.6933,273,1.0000,0.9233,0.7086,0.0101,22.24 seg
50,0.6933,273,1.0000,0.9233,0.7086,0.0100,22.56 seg
