Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6858,279,1.0000,0.9148,0.7084,0.0111,11.16 seg
2,0.6858,278,1.0000,0.9126,0.7109,0.0110,10.95 seg
3,0.6847,274,1.0000,0.9090,0.7088,0.0107,10.75 seg
4,0.6851,276,1.0000,0.9119,0.7074,0.0108,10.92 seg
5,0.6831,282,1.0000,0.9116,0.7087,0.0106,10.58 seg
6,0.6832,272,1.0000,0.9097,0.7086,0.0110,10.75 seg
7,0.6842,275,1.0000,0.9088,0.7088,0.0109,10.90 seg
8,0.6837,277,1.0000,0.9109,0.7080,0.0107,11.16 seg
9,0.6840,276,1.0000,0.9111,0.7104,0.0110,11.30 seg
10,0.6851,278,1.0000,0.9120,0.7113,0.0111,11.32 seg
11,0.6849,273,1.0000,0.9126,0.7072,0.0111,11.15 seg
12,0.6845,275,1.0000,0.9106,0.7104,0.0109,11.03 seg
13,0.6848,279,1.0000,0.9120,0.7128,0.0109,10.62 seg
14,0.6841,272,1.0000,0.9094,0.7117,0.0109,10.95 seg
15,0.6845,275,1.0000,0.9125,0.7106,0.0109,10.72 seg
16,0.6843,277,1.0000,0.9102,0.7110,0.0109,10.69 seg
17,0.6835,278,1.0000,0.9100,0.7097,0.0108,10.67 seg
18,0.6844,276,1.0000,0.9094,0.7108,0.0111,11.00 seg
19,0.6859,274,1.0000,0.9106,0.7113,0.0108,10.94 seg
20,0.6840,275,1.0000,0.9102,0.7107,0.0107,11.41 seg
21,0.6856,274,1.0000,0.9129,0.7105,0.0109,11.06 seg
22,0.6838,280,1.0000,0.9125,0.7086,0.0111,11.65 seg
23,0.6849,279,1.0000,0.9134,0.7108,0.0109,10.68 seg
24,0.6843,274,1.0000,0.9113,0.7135,0.0108,11.12 seg
25,0.6853,278,1.0000,0.9115,0.7139,0.0110,10.70 seg
26,0.6842,282,1.0000,0.9136,0.7096,0.0108,10.74 seg
27,0.6841,281,0.9999,0.9149,0.7078,0.0108,11.11 seg
28,0.6858,272,0.9999,0.9121,0.7110,0.0108,10.70 seg
29,0.6848,276,0.9999,0.9108,0.7130,0.0109,10.78 seg
30,0.6856,271,0.9999,0.9105,0.7088,0.0107,10.75 seg
31,0.6845,273,1.0000,0.9078,0.7123,0.0105,11.08 seg
32,0.6851,277,0.9999,0.9143,0.7099,0.0106,11.18 seg
33,0.6857,277,0.9999,0.9133,0.7120,0.0108,10.78 seg
34,0.6848,278,1.0000,0.9121,0.7140,0.0108,11.15 seg
35,0.6861,272,0.9999,0.9115,0.7120,0.0107,11.16 seg
36,0.6866,280,0.9999,0.9160,0.7110,0.0108,12.00 seg
37,0.6852,280,0.9999,0.9135,0.7097,0.0107,11.11 seg
38,0.6860,277,1.0000,0.9144,0.7094,0.0107,10.68 seg
39,0.6865,276,0.9999,0.9142,0.7130,0.0107,11.22 seg
40,0.6856,273,0.9999,0.9120,0.7117,0.0106,10.83 seg
41,0.6854,278,0.9999,0.9118,0.7091,0.0109,10.95 seg
42,0.6849,274,1.0000,0.9120,0.7097,0.0106,11.20 seg
43,0.6863,275,0.9999,0.9148,0.7107,0.0107,10.79 seg
44,0.6859,273,0.9999,0.9131,0.7106,0.0107,10.88 seg
45,0.6866,273,0.9998,0.9126,0.7111,0.0108,10.77 seg
46,0.6874,277,0.9999,0.9160,0.7120,0.0109,10.81 seg
47,0.6840,279,0.9999,0.9125,0.7090,0.0107,10.70 seg
48,0.6846,278,1.0000,0.9096,0.7130,0.0107,11.56 seg
49,0.6856,270,1.0000,0.9123,0.7086,0.0107,10.83 seg
50,0.6849,271,1.0000,0.9104,0.7091,0.0106,10.87 seg
