Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6838,275,1.0000,0.9099,0.7108,0.0112,21.45 seg
2,0.6840,276,1.0000,0.9114,0.7097,0.0079,22.37 seg
3,0.6862,276,1.0000,0.9149,0.7091,0.0062,21.56 seg
4,0.6873,272,1.0000,0.9151,0.7126,0.0052,21.91 seg
5,0.6879,275,1.0000,0.9157,0.7130,0.0046,21.80 seg
6,0.6887,273,1.0000,0.9161,0.7133,0.0043,21.59 seg
7,0.6902,271,1.0000,0.9175,0.7112,0.0040,22.25 seg
8,0.6912,270,1.0000,0.9178,0.7107,0.0037,21.50 seg
9,0.6918,266,1.0000,0.9181,0.7095,0.0035,21.85 seg
10,0.6923,267,1.0000,0.9184,0.7111,0.0034,21.85 seg
11,0.6935,264,1.0000,0.9186,0.7114,0.0033,21.72 seg
12,0.6940,262,1.0000,0.9196,0.7125,0.0032,22.43 seg
13,0.6947,262,1.0000,0.9215,0.7103,0.0031,21.62 seg
14,0.6950,262,1.0000,0.9234,0.7083,0.0031,21.81 seg
15,0.6960,260,1.0000,0.9224,0.7114,0.0029,21.79 seg
16,0.6964,258,1.0000,0.9225,0.7129,0.0029,21.61 seg
17,0.6965,259,1.0000,0.9222,0.7126,0.0029,22.41 seg
18,0.6977,257,0.9998,0.9240,0.7160,0.0028,21.84 seg
19,0.6987,256,0.9998,0.9249,0.7159,0.0027,21.94 seg
20,0.6989,255,0.9998,0.9243,0.7157,0.0027,21.98 seg
21,0.7002,254,1.0000,0.9239,0.7141,0.0026,21.42 seg
22,0.7007,256,0.9999,0.9249,0.7141,0.0026,22.11 seg
23,0.7016,260,0.9999,0.9291,0.7125,0.0026,22.21 seg
24,0.7017,260,0.9999,0.9292,0.7120,0.0025,21.51 seg
25,0.7019,258,0.9999,0.9285,0.7118,0.0025,22.03 seg
26,0.7022,257,0.9999,0.9284,0.7124,0.0025,22.09 seg
27,0.7026,253,1.0000,0.9278,0.7128,0.0025,21.72 seg
28,0.7028,252,0.9999,0.9277,0.7125,0.0024,22.43 seg
29,0.7034,254,1.0000,0.9294,0.7137,0.0024,21.98 seg
30,0.7041,251,1.0000,0.9295,0.7153,0.0024,21.22 seg
31,0.7043,251,1.0000,0.9291,0.7155,0.0024,21.83 seg
32,0.7051,250,0.9999,0.9295,0.7165,0.0024,21.86 seg
33,0.7053,250,0.9999,0.9299,0.7167,0.0024,21.37 seg
34,0.7059,250,0.9999,0.9310,0.7161,0.0023,22.45 seg
35,0.7061,250,0.9998,0.9315,0.7160,0.0023,22.04 seg
36,0.7069,249,0.9998,0.9331,0.7148,0.0023,21.38 seg
37,0.7070,249,0.9998,0.9333,0.7147,0.0022,22.06 seg
38,0.7076,251,0.9998,0.9351,0.7142,0.0022,21.64 seg
39,0.7081,253,0.9998,0.9357,0.7147,0.0022,21.26 seg
40,0.7088,249,0.9998,0.9370,0.7135,0.0021,22.41 seg
41,0.7089,249,0.9998,0.9374,0.7136,0.0021,21.64 seg
42,0.7093,249,0.9998,0.9373,0.7151,0.0021,20.93 seg
43,0.7101,246,0.9998,0.9373,0.7134,0.0020,21.94 seg
44,0.7105,244,0.9999,0.9365,0.7137,0.0020,21.49 seg
45,0.7107,246,0.9999,0.9373,0.7154,0.0020,21.00 seg
46,0.7110,246,0.9998,0.9379,0.7158,0.0019,22.33 seg
47,0.7113,248,0.9998,0.9394,0.7141,0.0019,21.73 seg
48,0.7116,248,0.9997,0.9394,0.7137,0.0018,21.12 seg
49,0.7122,244,0.9998,0.9393,0.7143,0.0017,22.18 seg
50,0.7127,246,0.9999,0.9397,0.7145,0.0017,21.38 seg
