Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6855,274,1.0000,0.9129,0.7086,0.0109,21.62 seg
2,0.6873,271,1.0000,0.9126,0.7114,0.0090,22.25 seg
3,0.6884,268,1.0000,0.9142,0.7117,0.0081,21.69 seg
4,0.6893,270,1.0000,0.9153,0.7105,0.0075,21.25 seg
5,0.6908,272,1.0000,0.9205,0.7088,0.0072,21.59 seg
6,0.6913,269,1.0000,0.9189,0.7095,0.0071,21.50 seg
7,0.6919,272,1.0000,0.9206,0.7125,0.0069,22.21 seg
8,0.6933,270,1.0000,0.9216,0.7113,0.0067,21.64 seg
9,0.6945,265,1.0000,0.9229,0.7101,0.0065,21.57 seg
10,0.6952,264,1.0000,0.9236,0.7100,0.0065,21.55 seg
11,0.6967,262,1.0000,0.9242,0.7117,0.0064,21.89 seg
12,0.6972,260,1.0000,0.9247,0.7109,0.0064,22.15 seg
13,0.6973,260,1.0000,0.9248,0.7113,0.0063,21.81 seg
14,0.6976,259,1.0000,0.9244,0.7117,0.0062,21.48 seg
15,0.6979,262,1.0000,0.9250,0.7145,0.0061,21.75 seg
16,0.6986,261,1.0000,0.9244,0.7152,0.0060,21.66 seg
17,0.6996,259,1.0000,0.9262,0.7141,0.0060,21.77 seg
18,0.6998,257,1.0000,0.9271,0.7116,0.0057,21.12 seg
19,0.7007,253,1.0000,0.9280,0.7107,0.0057,22.54 seg
20,0.7023,249,1.0000,0.9272,0.7109,0.0057,21.98 seg
21,0.7028,251,1.0000,0.9282,0.7134,0.0055,21.55 seg
22,0.7038,257,1.0000,0.9315,0.7150,0.0055,21.66 seg
23,0.7041,254,1.0000,0.9304,0.7130,0.0053,21.16 seg
24,0.7045,254,1.0000,0.9309,0.7137,0.0052,21.84 seg
25,0.7050,250,1.0000,0.9307,0.7155,0.0051,21.24 seg
26,0.7058,246,1.0000,0.9302,0.7146,0.0049,22.78 seg
27,0.7061,247,1.0000,0.9301,0.7156,0.0048,21.99 seg
28,0.7069,248,1.0000,0.9329,0.7152,0.0047,21.52 seg
29,0.7075,247,1.0000,0.9341,0.7147,0.0045,21.18 seg
30,0.7080,246,1.0000,0.9335,0.7157,0.0044,21.70 seg
31,0.7082,246,1.0000,0.9342,0.7158,0.0044,21.64 seg
32,0.7089,244,1.0000,0.9345,0.7154,0.0042,21.70 seg
33,0.7092,244,0.9999,0.9345,0.7154,0.0039,21.10 seg
34,0.7098,244,0.9999,0.9345,0.7151,0.0038,22.93 seg
35,0.7101,245,0.9999,0.9355,0.7156,0.0035,21.90 seg
36,0.7101,244,0.9999,0.9366,0.7159,0.0035,21.35 seg
37,0.7107,244,0.9999,0.9376,0.7150,0.0033,20.99 seg
38,0.7110,246,0.9999,0.9384,0.7153,0.0032,21.49 seg
39,0.7118,245,0.9998,0.9389,0.7176,0.0032,20.71 seg
40,0.7119,246,0.9999,0.9398,0.7184,0.0031,21.27 seg
41,0.7122,246,0.9999,0.9398,0.7171,0.0030,21.37 seg
42,0.7125,244,0.9997,0.9399,0.7165,0.0030,22.00 seg
43,0.7127,244,0.9997,0.9399,0.7177,0.0028,22.44 seg
44,0.7128,243,0.9997,0.9396,0.7166,0.0028,21.37 seg
45,0.7137,242,0.9997,0.9411,0.7161,0.0027,21.35 seg
46,0.7141,242,0.9997,0.9409,0.7169,0.0024,20.93 seg
47,0.7145,242,0.9997,0.9417,0.7186,0.0022,21.52 seg
48,0.7147,242,0.9996,0.9424,0.7193,0.0021,20.66 seg
49,0.7151,240,0.9996,0.9418,0.7195,0.0019,21.45 seg
50,0.7155,240,0.9996,0.9428,0.7185,0.0019,21.03 seg
