Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6851,275,1.0000,0.9134,0.7085,0.0112,10.85 seg
2,0.6861,271,1.0000,0.9123,0.7072,0.0092,10.95 seg
3,0.6869,274,1.0000,0.9152,0.7117,0.0082,11.10 seg
4,0.6875,272,1.0000,0.9141,0.7125,0.0078,11.86 seg
5,0.6887,274,1.0000,0.9170,0.7064,0.0073,10.73 seg
6,0.6901,268,1.0000,0.9195,0.7103,0.0074,10.73 seg
7,0.6901,267,1.0000,0.9150,0.7097,0.0070,10.66 seg
8,0.6905,262,1.0000,0.9152,0.7094,0.0068,10.81 seg
9,0.6913,266,1.0000,0.9168,0.7087,0.0067,10.66 seg
10,0.6934,261,1.0000,0.9187,0.7111,0.0067,10.99 seg
11,0.6933,264,1.0000,0.9188,0.7115,0.0066,10.95 seg
12,0.6950,262,1.0000,0.9203,0.7141,0.0065,11.31 seg
13,0.6952,257,1.0000,0.9193,0.7133,0.0063,11.29 seg
14,0.6957,261,1.0000,0.9216,0.7125,0.0063,11.61 seg
15,0.6962,261,1.0000,0.9227,0.7123,0.0062,10.72 seg
16,0.6969,258,1.0000,0.9218,0.7121,0.0061,10.58 seg
17,0.6982,256,1.0000,0.9230,0.7109,0.0061,10.66 seg
18,0.6993,256,1.0000,0.9249,0.7131,0.0058,11.03 seg
19,0.6985,252,1.0000,0.9232,0.7121,0.0059,10.70 seg
20,0.6997,251,1.0000,0.9238,0.7133,0.0058,11.07 seg
21,0.7000,247,1.0000,0.9221,0.7133,0.0058,11.01 seg
22,0.7013,247,1.0000,0.9256,0.7121,0.0057,10.63 seg
23,0.7010,251,1.0000,0.9257,0.7125,0.0055,11.36 seg
24,0.7023,248,1.0000,0.9256,0.7102,0.0054,11.04 seg
25,0.7023,243,1.0000,0.9249,0.7131,0.0053,11.21 seg
26,0.7026,247,1.0000,0.9248,0.7101,0.0052,11.38 seg
27,0.7034,242,1.0000,0.9261,0.7101,0.0052,10.68 seg
28,0.7048,241,0.9999,0.9281,0.7112,0.0052,10.72 seg
29,0.7056,246,0.9999,0.9310,0.7120,0.0051,10.79 seg
30,0.7060,240,0.9999,0.9288,0.7139,0.0050,11.10 seg
31,0.7073,239,0.9999,0.9297,0.7119,0.0048,10.69 seg
32,0.7074,238,0.9998,0.9301,0.7148,0.0047,10.76 seg
33,0.7084,238,0.9998,0.9318,0.7135,0.0047,10.72 seg
34,0.7079,237,0.9998,0.9296,0.7136,0.0045,11.41 seg
35,0.7095,239,0.9998,0.9324,0.7139,0.0044,10.54 seg
36,0.7099,235,0.9998,0.9326,0.7145,0.0044,11.11 seg
37,0.7102,236,0.9998,0.9333,0.7122,0.0041,10.98 seg
38,0.7115,233,0.9998,0.9345,0.7109,0.0042,11.59 seg
39,0.7107,234,0.9999,0.9344,0.7146,0.0039,10.95 seg
40,0.7113,235,0.9998,0.9350,0.7127,0.0038,10.99 seg
41,0.7119,234,0.9998,0.9367,0.7142,0.0036,11.09 seg
42,0.7127,233,0.9998,0.9370,0.7148,0.0035,10.70 seg
43,0.7128,234,0.9997,0.9387,0.7124,0.0034,10.76 seg
44,0.7131,236,0.9997,0.9385,0.7143,0.0032,10.68 seg
45,0.7141,234,0.9997,0.9402,0.7130,0.0031,11.15 seg
46,0.7144,235,0.9997,0.9400,0.7142,0.0030,10.61 seg
47,0.7151,232,0.9998,0.9405,0.7135,0.0029,10.69 seg
48,0.7152,232,0.9998,0.9400,0.7145,0.0028,10.69 seg
49,0.7158,233,0.9998,0.9419,0.7142,0.0027,11.20 seg
50,0.7164,230,0.9997,0.9417,0.7136,0.0026,10.67 seg
