Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6852,280,1.0000,0.9121,0.7136,0.0111,21.79 seg
2,0.6884,276,0.9999,0.9161,0.7129,0.0072,21.84 seg
3,0.6887,276,0.9999,0.9162,0.7130,0.0055,21.42 seg
4,0.6903,275,0.9999,0.9195,0.7138,0.0048,21.73 seg
5,0.6931,271,0.9999,0.9219,0.7156,0.0044,22.14 seg
6,0.6942,268,0.9999,0.9231,0.7142,0.0040,21.73 seg
7,0.6950,267,0.9999,0.9243,0.7120,0.0038,21.82 seg
8,0.6957,266,0.9999,0.9244,0.7129,0.0037,21.48 seg
9,0.6962,269,0.9999,0.9259,0.7143,0.0036,21.60 seg
10,0.6968,266,0.9999,0.9259,0.7132,0.0035,22.37 seg
11,0.6979,260,0.9999,0.9236,0.7149,0.0033,21.84 seg
12,0.6996,259,0.9999,0.9253,0.7152,0.0032,21.62 seg
13,0.7007,259,1.0000,0.9277,0.7148,0.0029,21.56 seg
14,0.7010,259,1.0000,0.9286,0.7142,0.0026,21.28 seg
15,0.7019,260,1.0000,0.9309,0.7134,0.0024,21.82 seg
16,0.7023,266,1.0000,0.9330,0.7139,0.0022,21.73 seg
17,0.7027,264,0.9999,0.9320,0.7151,0.0020,21.36 seg
18,0.7036,265,0.9998,0.9335,0.7146,0.0019,21.26 seg
19,0.7048,258,0.9998,0.9336,0.7161,0.0018,21.21 seg
20,0.7055,264,0.9998,0.9370,0.7150,0.0017,21.38 seg
21,0.7061,261,0.9999,0.9365,0.7151,0.0016,22.08 seg
22,0.7066,261,0.9999,0.9373,0.7154,0.0015,21.69 seg
23,0.7071,261,0.9999,0.9380,0.7153,0.0014,21.26 seg
24,0.7079,261,0.9999,0.9386,0.7152,0.0013,21.29 seg
25,0.7083,262,0.9998,0.9409,0.7164,0.0011,21.22 seg
26,0.7090,262,0.9998,0.9427,0.7142,0.0011,21.74 seg
27,0.7093,263,0.9998,0.9431,0.7142,0.0011,22.06 seg
28,0.7096,261,0.9998,0.9429,0.7156,0.0011,21.64 seg
29,0.7099,261,0.9998,0.9432,0.7157,0.0009,21.25 seg
30,0.7104,260,0.9997,0.9440,0.7160,0.0008,21.37 seg
31,0.7105,260,0.9997,0.9445,0.7153,0.0007,21.11 seg
32,0.7111,261,0.9997,0.9456,0.7142,0.0006,21.02 seg
33,0.7113,259,0.9997,0.9453,0.7149,0.0006,21.71 seg
34,0.7116,260,0.9997,0.9456,0.7149,0.0006,21.69 seg
35,0.7118,260,0.9997,0.9461,0.7155,0.0006,20.93 seg
36,0.7122,260,0.9997,0.9466,0.7155,0.0005,21.26 seg
37,0.7124,259,0.9997,0.9467,0.7155,0.0005,21.15 seg
38,0.7126,260,0.9996,0.9472,0.7145,0.0005,21.08 seg
39,0.7127,260,0.9997,0.9476,0.7144,0.0004,21.51 seg
40,0.7129,258,0.9997,0.9471,0.7157,0.0004,21.58 seg
41,0.7133,259,0.9997,0.9481,0.7151,0.0003,21.75 seg
42,0.7133,257,0.9997,0.9476,0.7157,0.0003,20.57 seg
43,0.7133,258,0.9995,0.9478,0.7159,0.0003,21.14 seg
44,0.7134,258,0.9995,0.9483,0.7160,0.0003,21.16 seg
45,0.7134,258,0.9995,0.9484,0.7160,0.0003,21.33 seg
46,0.7133,259,0.9994,0.9484,0.7159,0.0002,21.51 seg
47,0.7133,259,0.9994,0.9484,0.7161,0.0001,24.70 seg
48,0.7134,259,0.9994,0.9485,0.7162,0.0001,33.79 seg
49,0.7134,259,0.9994,0.9486,0.7160,0.0001,1.09 min
50,0.7134,259,0.9994,0.9486,0.7160,0.0001,1.31 min
