Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6851,275,1.0000,0.9118,0.7081,0.0109,21.94 seg
2,0.6876,274,1.0000,0.9143,0.7079,0.0099,22.22 seg
3,0.6880,275,1.0000,0.9158,0.7070,0.0093,22.39 seg
4,0.6886,270,1.0000,0.9139,0.7079,0.0092,22.35 seg
5,0.6893,271,1.0000,0.9142,0.7097,0.0091,22.58 seg
6,0.6897,269,1.0000,0.9157,0.7098,0.0090,23.20 seg
7,0.6914,266,1.0000,0.9188,0.7086,0.0092,22.93 seg
8,0.6915,266,1.0000,0.9187,0.7103,0.0091,22.94 seg
9,0.6920,265,1.0000,0.9176,0.7097,0.0091,22.52 seg
10,0.6923,262,1.0000,0.9158,0.7109,0.0091,22.65 seg
11,0.6935,259,1.0000,0.9174,0.7115,0.0093,23.12 seg
12,0.6947,260,1.0000,0.9202,0.7106,0.0091,23.35 seg
13,0.6947,258,1.0000,0.9193,0.7118,0.0090,22.34 seg
14,0.6953,255,1.0000,0.9179,0.7121,0.0089,22.89 seg
15,0.6956,253,1.0000,0.9176,0.7121,0.0090,22.50 seg
16,0.6959,251,1.0000,0.9170,0.7127,0.0089,22.36 seg
17,0.6964,252,1.0000,0.9173,0.7129,0.0091,23.30 seg
18,0.6967,245,1.0000,0.9151,0.7149,0.0089,23.30 seg
19,0.6973,249,1.0000,0.9175,0.7164,0.0088,22.37 seg
20,0.6979,249,1.0000,0.9184,0.7164,0.0087,23.09 seg
21,0.6990,244,1.0000,0.9188,0.7158,0.0086,22.33 seg
22,0.6992,243,1.0000,0.9181,0.7162,0.0087,22.66 seg
23,0.6995,240,1.0000,0.9167,0.7145,0.0086,22.84 seg
24,0.6998,239,1.0000,0.9175,0.7126,0.0086,23.56 seg
25,0.7002,240,1.0000,0.9174,0.7120,0.0088,23.64 seg
26,0.7006,239,1.0000,0.9183,0.7118,0.0086,22.49 seg
27,0.7017,237,1.0000,0.9192,0.7113,0.0087,23.09 seg
28,0.7024,237,0.9999,0.9191,0.7133,0.0086,22.47 seg
29,0.7036,234,0.9999,0.9202,0.7136,0.0088,22.85 seg
30,0.7047,235,0.9999,0.9218,0.7136,0.0089,22.67 seg
31,0.7053,233,0.9999,0.9216,0.7132,0.0087,23.02 seg
32,0.7056,233,1.0000,0.9220,0.7132,0.0084,22.57 seg
33,0.7060,232,0.9999,0.9227,0.7140,0.0086,23.45 seg
34,0.7063,228,1.0000,0.9210,0.7159,0.0084,21.70 seg
35,0.7065,229,1.0000,0.9211,0.7160,0.0085,22.53 seg
36,0.7071,230,1.0000,0.9211,0.7145,0.0086,22.64 seg
37,0.7080,225,0.9999,0.9211,0.7157,0.0084,22.27 seg
38,0.7080,226,0.9999,0.9206,0.7167,0.0085,21.55 seg
39,0.7083,225,1.0000,0.9215,0.7163,0.0083,22.62 seg
40,0.7095,220,1.0000,0.9207,0.7171,0.0084,23.46 seg
41,0.7099,222,1.0000,0.9212,0.7183,0.0085,22.09 seg
42,0.7100,220,1.0000,0.9205,0.7184,0.0085,23.65 seg
43,0.7102,224,1.0000,0.9228,0.7182,0.0083,22.08 seg
44,0.7107,221,1.0000,0.9231,0.7181,0.0084,22.09 seg
45,0.7110,219,1.0000,0.9221,0.7186,0.0081,22.69 seg
46,0.7112,214,0.9999,0.9208,0.7207,0.0083,21.52 seg
47,0.7119,214,1.0000,0.9221,0.7173,0.0083,22.59 seg
48,0.7125,217,0.9999,0.9242,0.7179,0.0083,22.58 seg
49,0.7134,210,0.9999,0.9236,0.7174,0.0079,22.65 seg
50,0.7134,210,0.9999,0.9236,0.7174,0.0081,23.42 seg
