Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6851,278,1.0000,0.9114,0.7097,0.0110,10.83 seg
2,0.6856,274,1.0000,0.9100,0.7086,0.0096,11.24 seg
3,0.6855,268,1.0000,0.9107,0.7080,0.0094,11.76 seg
4,0.6867,273,1.0000,0.9117,0.7101,0.0093,11.31 seg
5,0.6864,271,1.0000,0.9126,0.7079,0.0092,11.35 seg
6,0.6883,268,1.0000,0.9133,0.7076,0.0090,11.58 seg
7,0.6877,272,1.0000,0.9136,0.7113,0.0091,11.32 seg
8,0.6900,259,1.0000,0.9135,0.7121,0.0092,11.55 seg
9,0.6898,266,1.0000,0.9142,0.7094,0.0093,11.27 seg
10,0.6905,259,1.0000,0.9149,0.7080,0.0090,11.55 seg
11,0.6913,262,1.0000,0.9147,0.7127,0.0089,11.44 seg
12,0.6921,255,1.0000,0.9142,0.7105,0.0091,12.51 seg
13,0.6911,256,1.0000,0.9106,0.7127,0.0089,11.54 seg
14,0.6926,255,1.0000,0.9129,0.7119,0.0091,11.20 seg
15,0.6931,258,1.0000,0.9147,0.7116,0.0090,11.57 seg
16,0.6921,254,1.0000,0.9123,0.7118,0.0090,11.90 seg
17,0.6943,249,1.0000,0.9131,0.7142,0.0090,11.32 seg
18,0.6940,250,1.0000,0.9145,0.7133,0.0089,11.13 seg
19,0.6938,244,1.0000,0.9110,0.7123,0.0089,11.53 seg
20,0.6951,251,1.0000,0.9141,0.7147,0.0089,11.37 seg
21,0.6960,247,1.0000,0.9145,0.7117,0.0089,11.60 seg
22,0.6966,243,1.0000,0.9147,0.7134,0.0088,11.58 seg
23,0.6965,249,0.9999,0.9151,0.7112,0.0089,11.16 seg
24,0.6972,248,1.0000,0.9145,0.7120,0.0087,12.24 seg
25,0.6987,238,1.0000,0.9142,0.7131,0.0089,11.69 seg
26,0.6981,241,0.9999,0.9133,0.7149,0.0086,11.14 seg
27,0.6988,244,1.0000,0.9151,0.7146,0.0089,11.24 seg
28,0.6993,238,1.0000,0.9131,0.7154,0.0089,12.34 seg
29,0.7002,234,1.0000,0.9136,0.7116,0.0088,11.21 seg
30,0.7008,244,1.0000,0.9176,0.7163,0.0088,11.31 seg
31,0.7031,239,1.0000,0.9183,0.7163,0.0087,11.35 seg
32,0.7011,235,1.0000,0.9150,0.7181,0.0089,11.67 seg
33,0.7019,235,0.9999,0.9164,0.7167,0.0087,11.19 seg
34,0.7023,237,1.0000,0.9160,0.7129,0.0085,11.23 seg
35,0.7034,228,1.0000,0.9145,0.7114,0.0086,11.63 seg
36,0.7026,232,1.0000,0.9164,0.7155,0.0087,11.82 seg
37,0.7043,229,1.0000,0.9168,0.7161,0.0086,11.70 seg
38,0.7043,226,1.0000,0.9159,0.7188,0.0087,12.08 seg
39,0.7063,220,1.0000,0.9162,0.7153,0.0085,11.34 seg
40,0.7059,219,0.9999,0.9147,0.7148,0.0085,11.70 seg
41,0.7065,222,1.0000,0.9164,0.7154,0.0085,11.32 seg
42,0.7076,219,1.0000,0.9160,0.7206,0.0085,11.64 seg
43,0.7072,222,1.0000,0.9179,0.7165,0.0085,11.60 seg
44,0.7082,219,1.0000,0.9183,0.7175,0.0084,11.76 seg
45,0.7081,213,1.0000,0.9146,0.7167,0.0083,11.26 seg
46,0.7098,216,1.0000,0.9183,0.7205,0.0083,11.16 seg
47,0.7102,217,0.9999,0.9181,0.7196,0.0082,11.26 seg
48,0.7100,216,1.0000,0.9173,0.7179,0.0083,11.91 seg
49,0.7101,214,0.9999,0.9201,0.7196,0.0083,11.36 seg
50,0.7107,212,1.0000,0.9182,0.7173,0.0081,11.31 seg
