Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6835,274,1.0000,0.9081,0.7105,0.0109,22.06 seg
2,0.6870,266,1.0000,0.9107,0.7118,0.0075,22.66 seg
3,0.6882,267,1.0000,0.9130,0.7107,0.0061,21.86 seg
4,0.6890,265,1.0000,0.9130,0.7107,0.0054,21.99 seg
5,0.6904,267,1.0000,0.9160,0.7091,0.0050,22.29 seg
6,0.6918,262,1.0000,0.9158,0.7120,0.0047,22.08 seg
7,0.6922,262,1.0000,0.9168,0.7124,0.0045,23.01 seg
8,0.6930,266,1.0000,0.9188,0.7147,0.0044,22.38 seg
9,0.6940,259,1.0000,0.9185,0.7133,0.0041,22.38 seg
10,0.6945,254,1.0000,0.9171,0.7128,0.0040,22.66 seg
11,0.6949,257,1.0000,0.9180,0.7125,0.0039,22.34 seg
12,0.6965,255,1.0000,0.9193,0.7107,0.0038,23.17 seg
13,0.6970,254,1.0000,0.9201,0.7100,0.0037,22.46 seg
14,0.6979,247,1.0000,0.9202,0.7084,0.0037,22.52 seg
15,0.6986,252,0.9999,0.9219,0.7110,0.0036,23.05 seg
16,0.6995,250,0.9999,0.9216,0.7104,0.0036,22.66 seg
17,0.6998,248,0.9999,0.9213,0.7106,0.0036,23.02 seg
18,0.7001,245,0.9999,0.9197,0.7138,0.0036,22.73 seg
19,0.7002,245,0.9998,0.9192,0.7140,0.0036,22.35 seg
20,0.7009,249,1.0000,0.9215,0.7148,0.0035,23.37 seg
21,0.7012,248,0.9999,0.9226,0.7142,0.0035,22.40 seg
22,0.7017,242,0.9999,0.9220,0.7151,0.0035,23.19 seg
23,0.7023,240,1.0000,0.9204,0.7152,0.0035,23.20 seg
24,0.7024,241,1.0000,0.9224,0.7164,0.0034,22.60 seg
25,0.7042,245,0.9998,0.9252,0.7168,0.0035,23.16 seg
26,0.7045,241,0.9999,0.9234,0.7174,0.0034,23.09 seg
27,0.7048,240,0.9999,0.9237,0.7171,0.0034,22.72 seg
28,0.7054,240,0.9999,0.9249,0.7153,0.0034,23.22 seg
29,0.7061,239,1.0000,0.9263,0.7158,0.0033,22.77 seg
30,0.7062,238,1.0000,0.9260,0.7154,0.0033,22.41 seg
31,0.7068,236,1.0000,0.9254,0.7152,0.0033,23.38 seg
32,0.7068,236,1.0000,0.9254,0.7152,0.0033,22.33 seg
33,0.7076,230,1.0000,0.9246,0.7149,0.0033,22.90 seg
34,0.7081,228,1.0000,0.9232,0.7151,0.0033,22.73 seg
35,0.7086,231,1.0000,0.9250,0.7150,0.0033,22.57 seg
36,0.7087,231,1.0000,0.9246,0.7157,0.0032,22.24 seg
37,0.7089,230,1.0000,0.9237,0.7179,0.0032,23.40 seg
38,0.7099,228,1.0000,0.9243,0.7182,0.0032,22.31 seg
39,0.7105,226,1.0000,0.9240,0.7190,0.0032,23.04 seg
40,0.7109,223,0.9999,0.9231,0.7178,0.0032,22.61 seg
41,0.7114,220,0.9999,0.9241,0.7169,0.0033,22.04 seg
42,0.7117,217,1.0000,0.9239,0.7171,0.0032,22.41 seg
43,0.7119,218,1.0000,0.9234,0.7182,0.0032,22.86 seg
44,0.7125,216,1.0000,0.9225,0.7180,0.0032,22.16 seg
45,0.7134,214,1.0000,0.9240,0.7204,0.0032,23.07 seg
46,0.7143,214,1.0000,0.9257,0.7189,0.0032,22.00 seg
47,0.7145,211,1.0000,0.9245,0.7203,0.0032,21.75 seg
48,0.7146,211,1.0000,0.9244,0.7183,0.0032,22.00 seg
49,0.7147,210,1.0000,0.9234,0.7192,0.0032,22.09 seg
50,0.7150,213,1.0000,0.9247,0.7164,0.0032,21.62 seg
