Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6844,278,1.0000,0.9124,0.7121,0.0112,21.34 seg
2,0.6872,274,1.0000,0.9140,0.7101,0.0087,21.79 seg
3,0.6896,273,1.0000,0.9158,0.7146,0.0082,22.09 seg
4,0.6901,274,1.0000,0.9164,0.7128,0.0079,22.15 seg
5,0.6909,269,1.0000,0.9178,0.7128,0.0077,21.65 seg
6,0.6917,267,1.0000,0.9191,0.7124,0.0075,21.55 seg
7,0.6927,266,1.0000,0.9185,0.7127,0.0074,21.85 seg
8,0.6928,266,1.0000,0.9189,0.7128,0.0073,22.07 seg
9,0.6940,266,1.0000,0.9208,0.7120,0.0072,22.08 seg
10,0.6943,268,1.0000,0.9224,0.7120,0.0069,22.18 seg
11,0.6945,269,1.0000,0.9228,0.7118,0.0069,21.55 seg
12,0.6954,264,1.0000,0.9237,0.7111,0.0069,21.80 seg
13,0.6960,262,1.0000,0.9240,0.7106,0.0068,21.43 seg
14,0.6973,259,1.0000,0.9234,0.7125,0.0067,22.07 seg
15,0.6976,264,1.0000,0.9245,0.7116,0.0066,21.49 seg
16,0.6983,258,1.0000,0.9236,0.7146,0.0065,21.88 seg
17,0.6987,251,1.0000,0.9218,0.7144,0.0063,21.68 seg
18,0.6990,254,1.0000,0.9238,0.7160,0.0062,21.36 seg
19,0.6998,252,1.0000,0.9226,0.7158,0.0062,21.97 seg
20,0.7009,251,1.0000,0.9251,0.7150,0.0061,22.51 seg
21,0.7016,252,1.0000,0.9264,0.7150,0.0059,22.12 seg
22,0.7025,250,1.0000,0.9269,0.7125,0.0059,21.33 seg
23,0.7026,250,1.0000,0.9268,0.7122,0.0060,21.95 seg
24,0.7038,246,0.9999,0.9276,0.7143,0.0057,21.66 seg
25,0.7042,246,0.9999,0.9279,0.7134,0.0057,21.38 seg
26,0.7046,244,0.9999,0.9275,0.7160,0.0055,22.24 seg
27,0.7048,244,0.9998,0.9279,0.7151,0.0056,22.45 seg
28,0.7056,245,0.9998,0.9298,0.7144,0.0055,21.60 seg
29,0.7065,241,0.9998,0.9300,0.7146,0.0054,21.72 seg
30,0.7066,240,0.9998,0.9297,0.7149,0.0054,21.97 seg
31,0.7071,240,0.9997,0.9299,0.7174,0.0052,21.06 seg
32,0.7073,242,0.9997,0.9305,0.7174,0.0052,21.74 seg
33,0.7076,239,0.9997,0.9297,0.7164,0.0050,21.27 seg
34,0.7084,239,0.9998,0.9320,0.7165,0.0049,22.54 seg
35,0.7095,238,0.9998,0.9324,0.7184,0.0049,22.23 seg
36,0.7098,236,0.9997,0.9319,0.7178,0.0048,21.47 seg
37,0.7103,238,0.9997,0.9333,0.7183,0.0047,21.67 seg
38,0.7116,236,0.9997,0.9346,0.7179,0.0047,21.80 seg
39,0.7118,234,0.9997,0.9350,0.7177,0.0046,21.60 seg
40,0.7128,236,0.9997,0.9364,0.7184,0.0045,21.49 seg
41,0.7129,235,0.9997,0.9364,0.7181,0.0043,20.94 seg
42,0.7133,236,0.9998,0.9372,0.7191,0.0041,20.88 seg
43,0.7136,236,0.9997,0.9370,0.7182,0.0041,22.51 seg
44,0.7143,235,0.9996,0.9381,0.7187,0.0040,21.87 seg
45,0.7148,234,0.9997,0.9389,0.7200,0.0039,21.45 seg
46,0.7154,233,0.9997,0.9397,0.7204,0.0039,21.66 seg
47,0.7156,231,0.9997,0.9394,0.7203,0.0038,21.56 seg
48,0.7161,232,0.9997,0.9403,0.7191,0.0037,21.74 seg
49,0.7169,232,0.9997,0.9394,0.7211,0.0037,21.27 seg
50,0.7176,230,0.9997,0.9407,0.7190,0.0035,21.91 seg
