Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6829,280,1.0000,0.9097,0.7129,0.0112,11.24 seg
2,0.6857,278,1.0000,0.9135,0.7105,0.0090,11.04 seg
3,0.6861,276,1.0000,0.9122,0.7116,0.0081,11.39 seg
4,0.6878,278,1.0000,0.9175,0.7084,0.0077,10.75 seg
5,0.6873,273,1.0000,0.9134,0.7126,0.0074,10.98 seg
6,0.6886,269,1.0000,0.9146,0.7084,0.0071,10.83 seg
7,0.6904,268,1.0000,0.9168,0.7122,0.0072,11.10 seg
8,0.6907,270,1.0000,0.9193,0.7124,0.0071,10.79 seg
9,0.6916,266,1.0000,0.9173,0.7099,0.0071,11.23 seg
10,0.6924,262,1.0000,0.9172,0.7116,0.0070,11.53 seg
11,0.6929,265,1.0000,0.9202,0.7095,0.0070,10.94 seg
12,0.6936,264,1.0000,0.9201,0.7135,0.0068,11.30 seg
13,0.6931,263,1.0000,0.9187,0.7131,0.0066,10.74 seg
14,0.6939,264,1.0000,0.9192,0.7141,0.0065,10.70 seg
15,0.6952,261,1.0000,0.9220,0.7107,0.0066,11.14 seg
16,0.6965,264,1.0000,0.9225,0.7142,0.0064,10.76 seg
17,0.6970,254,1.0000,0.9195,0.7122,0.0065,10.99 seg
18,0.6974,254,1.0000,0.9205,0.7129,0.0063,10.73 seg
19,0.6974,255,1.0000,0.9207,0.7120,0.0063,10.75 seg
20,0.6984,252,1.0000,0.9231,0.7138,0.0062,11.99 seg
21,0.6983,249,1.0000,0.9202,0.7140,0.0061,10.97 seg
22,0.6982,253,1.0000,0.9208,0.7134,0.0059,11.02 seg
23,0.7007,248,1.0000,0.9235,0.7130,0.0061,11.45 seg
24,0.7007,251,1.0000,0.9242,0.7146,0.0058,10.66 seg
25,0.7015,251,1.0000,0.9259,0.7133,0.0059,10.64 seg
26,0.7019,245,1.0000,0.9230,0.7120,0.0059,10.73 seg
27,0.7029,236,1.0000,0.9233,0.7136,0.0057,11.12 seg
28,0.7033,244,1.0000,0.9249,0.7140,0.0057,10.62 seg
29,0.7035,238,0.9999,0.9246,0.7162,0.0056,10.81 seg
30,0.7047,245,1.0000,0.9279,0.7152,0.0056,11.17 seg
31,0.7052,242,0.9999,0.9277,0.7152,0.0056,10.69 seg
32,0.7056,242,1.0000,0.9268,0.7162,0.0057,10.75 seg
33,0.7061,240,0.9999,0.9287,0.7165,0.0056,12.21 seg
34,0.7064,238,1.0000,0.9280,0.7125,0.0054,11.04 seg
35,0.7065,248,0.9999,0.9304,0.7149,0.0053,11.03 seg
36,0.7074,242,0.9999,0.9303,0.7145,0.0051,10.67 seg
37,0.7080,234,0.9999,0.9274,0.7156,0.0052,11.55 seg
38,0.7079,234,0.9999,0.9277,0.7168,0.0052,10.72 seg
39,0.7096,236,0.9999,0.9312,0.7141,0.0052,10.75 seg
40,0.7093,238,0.9999,0.9312,0.7148,0.0050,10.66 seg
41,0.7097,236,0.9999,0.9319,0.7144,0.0050,11.26 seg
42,0.7109,240,0.9999,0.9359,0.7160,0.0049,10.73 seg
43,0.7112,237,0.9999,0.9354,0.7154,0.0049,10.81 seg
44,0.7114,235,0.9999,0.9327,0.7159,0.0048,10.72 seg
45,0.7121,233,0.9998,0.9336,0.7155,0.0047,11.17 seg
46,0.7124,231,0.9998,0.9339,0.7169,0.0046,10.74 seg
47,0.7126,234,0.9999,0.9344,0.7161,0.0046,10.73 seg
48,0.7135,230,0.9998,0.9331,0.7194,0.0046,10.71 seg
49,0.7141,228,0.9998,0.9328,0.7188,0.0044,12.69 seg
50,0.7148,229,0.9998,0.9355,0.7173,0.0044,11.24 seg
