Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6838,274,1.0000,0.9099,0.7102,0.0110,21.51 seg
2,0.6851,274,1.0000,0.9124,0.7080,0.0070,21.77 seg
3,0.6868,274,1.0000,0.9157,0.7099,0.0056,22.01 seg
4,0.6885,265,1.0000,0.9142,0.7101,0.0048,21.75 seg
5,0.6898,265,1.0000,0.9147,0.7112,0.0042,21.75 seg
6,0.6915,266,1.0000,0.9180,0.7098,0.0039,21.64 seg
7,0.6929,264,0.9999,0.9195,0.7096,0.0037,21.85 seg
8,0.6941,266,1.0000,0.9216,0.7111,0.0034,21.96 seg
9,0.6951,261,1.0000,0.9233,0.7105,0.0033,21.72 seg
10,0.6965,267,0.9998,0.9260,0.7122,0.0032,21.72 seg
11,0.6970,264,0.9998,0.9261,0.7126,0.0031,21.40 seg
12,0.6974,262,0.9998,0.9268,0.7114,0.0030,21.74 seg
13,0.6981,259,0.9998,0.9254,0.7125,0.0028,21.94 seg
14,0.6997,253,0.9999,0.9265,0.7138,0.0028,21.71 seg
15,0.7007,254,0.9999,0.9280,0.7149,0.0028,21.49 seg
16,0.7015,254,0.9998,0.9279,0.7164,0.0027,22.01 seg
17,0.7024,255,0.9998,0.9302,0.7151,0.0027,21.91 seg
18,0.7031,253,0.9997,0.9316,0.7134,0.0026,22.02 seg
19,0.7036,252,0.9998,0.9316,0.7115,0.0025,21.69 seg
20,0.7047,250,0.9998,0.9328,0.7150,0.0024,21.58 seg
21,0.7052,251,0.9998,0.9335,0.7147,0.0022,21.77 seg
22,0.7061,250,0.9997,0.9347,0.7151,0.0021,21.48 seg
23,0.7068,250,0.9996,0.9359,0.7143,0.0020,21.51 seg
24,0.7073,246,0.9997,0.9353,0.7139,0.0019,22.16 seg
25,0.7081,243,0.9997,0.9356,0.7148,0.0018,21.69 seg
26,0.7085,245,0.9997,0.9359,0.7153,0.0017,21.62 seg
27,0.7090,246,0.9997,0.9377,0.7154,0.0016,21.99 seg
28,0.7098,248,0.9997,0.9406,0.7150,0.0016,21.57 seg
29,0.7104,243,0.9997,0.9382,0.7159,0.0016,21.37 seg
30,0.7109,242,0.9997,0.9396,0.7159,0.0015,21.90 seg
31,0.7112,241,0.9997,0.9398,0.7154,0.0014,21.62 seg
32,0.7118,242,0.9997,0.9404,0.7159,0.0013,21.33 seg
33,0.7126,245,0.9995,0.9430,0.7140,0.0012,21.59 seg
34,0.7130,247,0.9996,0.9438,0.7150,0.0011,21.12 seg
35,0.7132,248,0.9996,0.9446,0.7142,0.0011,21.07 seg
36,0.7136,246,0.9996,0.9444,0.7152,0.0010,21.87 seg
37,0.7140,244,0.9996,0.9451,0.7158,0.0010,21.63 seg
38,0.7143,242,0.9996,0.9446,0.7176,0.0009,21.23 seg
39,0.7147,245,0.9995,0.9452,0.7162,0.0009,21.53 seg
40,0.7151,241,0.9996,0.9456,0.7165,0.0009,21.16 seg
41,0.7154,241,0.9996,0.9460,0.7159,0.0008,21.14 seg
42,0.7157,242,0.9995,0.9464,0.7162,0.0008,21.70 seg
43,0.7162,242,0.9995,0.9468,0.7166,0.0008,21.45 seg
44,0.7167,241,0.9995,0.9475,0.7168,0.0008,21.34 seg
45,0.7169,243,0.9995,0.9489,0.7169,0.0008,21.39 seg
46,0.7173,242,0.9995,0.9494,0.7162,0.0007,22.11 seg
47,0.7177,242,0.9995,0.9490,0.7168,0.0006,21.22 seg
48,0.7179,242,0.9995,0.9500,0.7163,0.0006,20.29 seg
49,0.7183,242,0.9995,0.9505,0.7164,0.0006,22.35 seg
50,0.7186,241,0.9995,0.9504,0.7169,0.0005,21.00 seg
