(Seleccion Cruce Sustitucion),Generacion(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Fitness(μ),Fitness(σ),Tiempo(μ)
(torneo punto reemplazo),18,254,0.9998,0.9407,0.7130,0.4882,0.7087,0.0025,8.92 min
(torneo punto elitismo),25,254,0.9998,0.9440,0.7129,0.4917,0.7103,0.0053,17.81 min
(torneo punto truncamiento),24,250,1.0000,0.9397,0.7133,0.4840,0.7089,0.0032,17.87 min
(torneo varios_puntos reemplazo),26,254,0.9996,0.9479,0.7166,0.4914,0.7132,0.0030,8.90 min
(torneo varios_puntos elitismo),27,250,0.9998,0.9468,0.7201,0.4925,0.7140,0.0057,17.82 min
(torneo varios_puntos truncamiento),22,254,0.9997,0.9461,0.7136,0.4855,0.7109,0.0048,17.76 min
(torneo uniforme reemplazo),50,148,0.9997,0.9590,0.7310,0.5888,0.7577,0.0022,9.42 min
(torneo uniforme elitismo),50,165,0.9997,0.9675,0.7353,0.5796,0.7577,0.0018,18.74 min
(torneo uniforme truncamiento),50,199,0.9998,0.9711,0.7220,0.5557,0.7485,0.0041,18.74 min
(fitness punto reemplazo),22,275,1.0000,0.9184,0.7124,0.4783,0.6910,0.0018,9.03 min
(fitness punto elitismo),34,267,1.0000,0.9229,0.7111,0.4701,0.6935,0.0015,18.19 min
(fitness punto truncamiento),49,242,0.9997,0.9408,0.7151,0.4970,0.7127,0.0020,18.06 min
(fitness varios_puntos reemplazo),34,272,0.9999,0.9209,0.7128,0.4748,0.6917,0.0027,9.15 min
(fitness varios_puntos elitismo),40,273,1.0000,0.9233,0.7086,0.4813,0.6933,0.0023,18.41 min
(fitness varios_puntos truncamiento),50,246,0.9999,0.9397,0.7146,0.5047,0.7127,0.0020,18.17 min
(fitness uniforme reemplazo),22,277,1.0000,0.9217,0.7105,0.4713,0.6903,0.0014,9.55 min
(fitness uniforme elitismo),23,270,0.9999,0.9191,0.7115,0.4746,0.6914,0.0024,19.02 min
(fitness uniforme truncamiento),48,229,1.0000,0.9232,0.7164,0.5055,0.7065,0.0029,19.06 min
(rango punto reemplazo),48,231,0.9997,0.9421,0.7148,0.5035,0.7165,0.0026,9.12 min
(rango punto elitismo),49,240,0.9997,0.9429,0.7186,0.5032,0.7156,0.0029,18.01 min
(rango punto truncamiento),44,258,0.9997,0.9484,0.7158,0.4984,0.7137,0.0033,19.86 min
(rango varios_puntos reemplazo),49,228,0.9998,0.9353,0.7189,0.5131,0.7153,0.0032,9.18 min
(rango varios_puntos elitismo),50,230,0.9997,0.9407,0.7190,0.5142,0.7176,0.0036,18.13 min
(rango varios_puntos truncamiento),50,241,0.9995,0.9504,0.7169,0.5014,0.7186,0.0021,18.01 min
(rango uniforme reemplazo),48,216,0.9999,0.9225,0.7202,0.5230,0.7124,0.0018,9.58 min
(rango uniforme elitismo),46,210,0.9999,0.9236,0.7174,0.5181,0.7134,0.0021,18.90 min
(rango uniforme truncamiento),48,213,1.0000,0.9247,0.7165,0.5308,0.7150,0.0023,18.82 min
Tiempo Total,,,,,,,,,3.16 hr
