Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6836,274,1.0000,0.9096,0.7093,0.0109,21.47 seg
2,0.6872,276,1.0000,0.9147,0.7108,0.0072,21.80 seg
3,0.6905,268,1.0000,0.9164,0.7118,0.0064,21.65 seg
4,0.6929,262,1.0000,0.9195,0.7112,0.0062,21.58 seg
5,0.6955,262,1.0000,0.9223,0.7125,0.0056,22.21 seg
6,0.6974,261,1.0000,0.9245,0.7152,0.0049,21.19 seg
7,0.6989,260,1.0000,0.9274,0.7132,0.0046,21.56 seg
8,0.7009,259,1.0000,0.9304,0.7118,0.0037,21.61 seg
9,0.7022,254,1.0000,0.9306,0.7123,0.0032,21.47 seg
10,0.7036,255,1.0000,0.9331,0.7139,0.0027,21.98 seg
11,0.7049,255,1.0000,0.9353,0.7117,0.0025,20.93 seg
12,0.7059,255,1.0000,0.9370,0.7113,0.0023,21.54 seg
13,0.7065,253,0.9999,0.9377,0.7113,0.0022,21.36 seg
14,0.7073,254,1.0000,0.9388,0.7118,0.0016,21.34 seg
15,0.7078,255,0.9999,0.9395,0.7125,0.0009,21.13 seg
16,0.7084,255,0.9998,0.9409,0.7129,0.0009,21.74 seg
17,0.7088,255,0.9998,0.9419,0.7127,0.0006,20.75 seg
18,0.7092,254,0.9998,0.9422,0.7125,0.0006,21.56 seg
19,0.7094,254,0.9997,0.9428,0.7128,0.0005,21.48 seg
20,0.7096,254,0.9997,0.9430,0.7129,0.0003,21.07 seg
21,0.7097,254,0.9997,0.9432,0.7128,0.0002,21.20 seg
22,0.7099,254,0.9997,0.9434,0.7127,0.0001,21.94 seg
23,0.7100,254,0.9997,0.9435,0.7130,0.0001,21.30 seg
24,0.7100,254,0.9997,0.9436,0.7128,0.0001,20.93 seg
25,0.7100,255,0.9996,0.9438,0.7129,0.0001,21.73 seg
26,0.7100,255,0.9996,0.9438,0.7129,0.0000,21.92 seg
27,0.7100,254,0.9996,0.9438,0.7129,0.0000,21.17 seg
28,0.7101,254,0.9996,0.9438,0.7129,0.0000,21.77 seg
29,0.7101,254,0.9996,0.9438,0.7129,0.0000,21.26 seg
30,0.7101,254,0.9996,0.9438,0.7129,0.0000,21.64 seg
31,0.7100,254,0.9996,0.9437,0.7129,0.0000,21.16 seg
32,0.7100,254,0.9996,0.9437,0.7129,0.0000,20.89 seg
33,0.7100,254,0.9996,0.9436,0.7130,0.0000,21.70 seg
34,0.7100,254,0.9996,0.9436,0.7130,0.0000,21.68 seg
35,0.7100,254,0.9996,0.9436,0.7130,0.0000,20.66 seg
36,0.7100,254,0.9996,0.9437,0.7130,0.0000,21.13 seg
37,0.7101,254,0.9996,0.9437,0.7130,0.0000,21.62 seg
38,0.7101,254,0.9996,0.9437,0.7130,0.0000,20.67 seg
39,0.7101,254,0.9996,0.9437,0.7130,0.0000,22.12 seg
40,0.7100,254,0.9996,0.9437,0.7130,0.0000,20.58 seg
41,0.7100,254,0.9996,0.9437,0.7130,0.0000,20.76 seg
42,0.7100,254,0.9996,0.9437,0.7130,0.0000,21.61 seg
43,0.7100,254,0.9996,0.9437,0.7130,0.0000,21.77 seg
44,0.7101,254,0.9996,0.9438,0.7131,0.0000,20.82 seg
45,0.7101,254,0.9995,0.9438,0.7131,0.0000,20.73 seg
46,0.7101,254,0.9995,0.9438,0.7131,0.0000,21.73 seg
47,0.7099,255,0.9995,0.9437,0.7131,0.0000,21.10 seg
48,0.7098,255,0.9994,0.9437,0.7131,0.0000,20.76 seg
49,0.7098,255,0.9994,0.9437,0.7131,0.0000,22.27 seg
50,0.7098,255,0.9994,0.9437,0.7131,0.0000,20.79 seg
