Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6852,280,1.0000,0.9128,0.7104,0.0111,11.22 seg
2,0.6896,274,1.0000,0.9194,0.7087,0.0074,10.78 seg
3,0.6930,271,1.0000,0.9205,0.7098,0.0069,11.18 seg
4,0.6944,271,1.0000,0.9230,0.7125,0.0065,10.86 seg
5,0.6979,259,1.0000,0.9250,0.7114,0.0061,10.74 seg
6,0.7004,256,1.0000,0.9269,0.7130,0.0055,10.93 seg
7,0.7013,258,1.0000,0.9275,0.7147,0.0052,10.58 seg
8,0.7030,253,1.0000,0.9304,0.7135,0.0045,11.08 seg
9,0.7038,254,1.0000,0.9325,0.7139,0.0036,11.47 seg
10,0.7048,252,1.0000,0.9336,0.7143,0.0028,10.50 seg
11,0.7056,254,0.9999,0.9358,0.7129,0.0022,10.93 seg
12,0.7065,253,0.9999,0.9368,0.7130,0.0016,10.45 seg
13,0.7072,253,0.9999,0.9379,0.7129,0.0012,10.76 seg
14,0.7077,253,0.9999,0.9390,0.7134,0.0008,10.43 seg
15,0.7080,253,0.9998,0.9393,0.7135,0.0005,10.67 seg
16,0.7083,254,0.9998,0.9400,0.7132,0.0004,10.43 seg
17,0.7084,254,0.9998,0.9402,0.7130,0.0004,10.51 seg
18,0.7084,255,0.9997,0.9404,0.7131,0.0002,11.25 seg
19,0.7084,255,0.9997,0.9404,0.7132,0.0002,10.42 seg
20,0.7086,254,0.9997,0.9406,0.7131,0.0002,11.32 seg
21,0.7085,255,0.9997,0.9406,0.7131,0.0000,10.39 seg
22,0.7086,255,0.9997,0.9406,0.7130,0.0001,10.96 seg
23,0.7085,255,0.9997,0.9406,0.7130,0.0001,10.25 seg
24,0.7085,255,0.9997,0.9406,0.7130,0.0000,10.67 seg
25,0.7085,255,0.9997,0.9406,0.7130,0.0000,10.30 seg
26,0.7085,255,0.9997,0.9406,0.7130,0.0000,10.40 seg
27,0.7084,255,0.9996,0.9405,0.7130,0.0000,10.75 seg
28,0.7083,255,0.9996,0.9404,0.7129,0.0000,10.46 seg
29,0.7083,255,0.9996,0.9404,0.7129,0.0000,10.41 seg
30,0.7083,255,0.9996,0.9404,0.7129,0.0000,10.39 seg
31,0.7083,255,0.9996,0.9404,0.7129,0.0000,11.03 seg
32,0.7083,255,0.9996,0.9404,0.7129,0.0000,10.75 seg
33,0.7083,255,0.9996,0.9404,0.7129,0.0000,10.41 seg
34,0.7083,255,0.9996,0.9404,0.7129,0.0000,11.47 seg
35,0.7082,255,0.9996,0.9402,0.7129,0.0000,10.33 seg
36,0.7081,256,0.9996,0.9402,0.7129,0.0000,10.42 seg
37,0.7081,256,0.9996,0.9402,0.7129,0.0000,11.08 seg
38,0.7081,256,0.9996,0.9403,0.7129,0.0000,10.48 seg
39,0.7080,256,0.9995,0.9402,0.7129,0.0000,10.76 seg
40,0.7079,256,0.9995,0.9401,0.7129,0.0000,10.37 seg
41,0.7077,256,0.9995,0.9399,0.7130,0.0000,10.37 seg
42,0.7077,256,0.9995,0.9399,0.7129,0.0000,10.46 seg
43,0.7077,256,0.9995,0.9397,0.7129,0.0000,10.71 seg
44,0.7077,256,0.9995,0.9397,0.7129,0.0000,10.46 seg
45,0.7077,256,0.9995,0.9397,0.7129,0.0000,10.48 seg
46,0.7077,256,0.9995,0.9398,0.7129,0.0000,10.43 seg
47,0.7077,256,0.9994,0.9398,0.7129,0.0000,10.54 seg
48,0.7076,256,0.9994,0.9397,0.7129,0.0000,10.90 seg
49,0.7076,256,0.9994,0.9397,0.7129,0.0000,11.46 seg
50,0.7077,256,0.9994,0.9398,0.7128,0.0000,10.61 seg
