Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6852,273,1.0000,0.9117,0.7100,0.0109,21.27 seg
2,0.6888,270,1.0000,0.9134,0.7149,0.0062,21.67 seg
3,0.6924,266,1.0000,0.9185,0.7136,0.0052,22.24 seg
4,0.6949,266,1.0000,0.9220,0.7119,0.0045,21.63 seg
5,0.6964,258,1.0000,0.9231,0.7111,0.0040,21.48 seg
6,0.6989,257,0.9999,0.9254,0.7121,0.0034,21.75 seg
7,0.7002,260,1.0000,0.9288,0.7125,0.0029,21.20 seg
8,0.7019,260,1.0000,0.9309,0.7114,0.0023,22.08 seg
9,0.7031,255,1.0000,0.9312,0.7112,0.0020,21.63 seg
10,0.7040,255,1.0000,0.9332,0.7127,0.0017,21.62 seg
11,0.7047,254,1.0000,0.9341,0.7127,0.0011,21.20 seg
12,0.7059,253,0.9999,0.9356,0.7138,0.0009,21.26 seg
13,0.7065,252,0.9999,0.9363,0.7137,0.0009,21.89 seg
14,0.7072,250,0.9999,0.9371,0.7140,0.0006,21.39 seg
15,0.7076,250,1.0000,0.9378,0.7130,0.0004,21.36 seg
16,0.7079,251,0.9999,0.9386,0.7130,0.0005,20.89 seg
17,0.7081,251,0.9999,0.9388,0.7132,0.0003,21.70 seg
18,0.7082,251,0.9999,0.9393,0.7129,0.0002,21.37 seg
19,0.7085,250,0.9999,0.9395,0.7133,0.0002,21.54 seg
20,0.7084,250,0.9998,0.9392,0.7133,0.0001,21.26 seg
21,0.7085,250,0.9998,0.9393,0.7134,0.0001,21.48 seg
22,0.7084,251,0.9998,0.9394,0.7129,0.0001,20.94 seg
23,0.7085,251,0.9998,0.9395,0.7130,0.0000,21.30 seg
24,0.7085,251,0.9998,0.9394,0.7133,0.0000,21.58 seg
25,0.7085,251,0.9998,0.9394,0.7133,0.0000,22.30 seg
26,0.7085,251,0.9998,0.9393,0.7133,0.0000,21.50 seg
27,0.7085,250,0.9998,0.9394,0.7132,0.0000,21.99 seg
28,0.7085,251,0.9998,0.9395,0.7132,0.0000,21.77 seg
29,0.7084,251,0.9998,0.9393,0.7133,0.0000,20.92 seg
30,0.7084,251,0.9998,0.9393,0.7133,0.0000,21.48 seg
31,0.7083,251,0.9997,0.9393,0.7133,0.0000,21.48 seg
32,0.7083,251,0.9997,0.9391,0.7133,0.0000,21.94 seg
33,0.7082,251,0.9996,0.9392,0.7133,0.0000,21.16 seg
34,0.7082,251,0.9996,0.9392,0.7133,0.0000,21.19 seg
35,0.7082,251,0.9996,0.9392,0.7133,0.0000,21.59 seg
36,0.7082,251,0.9996,0.9392,0.7133,0.0000,21.12 seg
37,0.7079,252,0.9995,0.9391,0.7133,0.0000,20.86 seg
38,0.7079,252,0.9995,0.9391,0.7133,0.0000,21.26 seg
39,0.7080,253,0.9995,0.9392,0.7133,0.0000,21.28 seg
40,0.7079,253,0.9994,0.9392,0.7133,0.0000,22.18 seg
41,0.7079,253,0.9994,0.9392,0.7133,0.0000,20.65 seg
42,0.7079,253,0.9994,0.9391,0.7133,0.0000,21.31 seg
43,0.7079,253,0.9993,0.9391,0.7134,0.0000,21.33 seg
44,0.7079,253,0.9993,0.9391,0.7134,0.0000,21.80 seg
45,0.7079,253,0.9993,0.9391,0.7134,0.0000,21.25 seg
46,0.7079,253,0.9993,0.9392,0.7133,0.0000,20.55 seg
47,0.7080,253,0.9993,0.9392,0.7133,0.0000,21.22 seg
48,0.7080,253,0.9993,0.9392,0.7133,0.0000,20.55 seg
49,0.7078,253,0.9992,0.9392,0.7133,0.0000,22.86 seg
50,0.7079,253,0.9992,0.9393,0.7132,0.0000,20.84 seg
