Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6840,277,1.0000,0.9115,0.7113,0.0110,21.80 seg
2,0.6884,273,1.0000,0.9164,0.7104,0.0084,22.09 seg
3,0.6911,269,1.0000,0.9166,0.7109,0.0082,22.60 seg
4,0.6929,259,1.0000,0.9159,0.7133,0.0080,22.55 seg
5,0.6941,260,1.0000,0.9177,0.7128,0.0081,22.85 seg
6,0.6972,257,1.0000,0.9203,0.7122,0.0078,22.61 seg
7,0.6986,252,1.0000,0.9214,0.7129,0.0078,22.72 seg
8,0.7008,249,1.0000,0.9235,0.7124,0.0078,23.14 seg
9,0.7023,243,1.0000,0.9214,0.7147,0.0077,22.71 seg
10,0.7041,238,1.0000,0.9210,0.7172,0.0074,22.98 seg
11,0.7058,236,1.0000,0.9236,0.7164,0.0074,22.46 seg
12,0.7082,231,1.0000,0.9240,0.7168,0.0072,22.25 seg
13,0.7101,223,1.0000,0.9246,0.7178,0.0072,22.78 seg
14,0.7111,216,1.0000,0.9227,0.7195,0.0070,22.96 seg
15,0.7130,218,1.0000,0.9262,0.7206,0.0069,22.50 seg
16,0.7144,215,1.0000,0.9263,0.7216,0.0069,22.73 seg
17,0.7160,219,1.0000,0.9280,0.7215,0.0065,22.49 seg
18,0.7183,210,0.9999,0.9287,0.7217,0.0062,22.40 seg
19,0.7206,206,0.9999,0.9311,0.7239,0.0061,22.78 seg
20,0.7218,205,0.9999,0.9319,0.7248,0.0060,22.85 seg
21,0.7233,202,0.9999,0.9344,0.7231,0.0057,22.52 seg
22,0.7247,200,1.0000,0.9339,0.7258,0.0056,23.37 seg
23,0.7266,199,0.9999,0.9360,0.7258,0.0056,22.55 seg
24,0.7280,198,0.9999,0.9383,0.7247,0.0054,22.23 seg
25,0.7298,197,0.9998,0.9403,0.7276,0.0053,22.56 seg
26,0.7315,193,0.9998,0.9406,0.7274,0.0052,22.90 seg
27,0.7332,187,0.9998,0.9418,0.7258,0.0049,22.97 seg
28,0.7348,187,0.9998,0.9436,0.7271,0.0049,22.54 seg
29,0.7358,185,0.9999,0.9431,0.7281,0.0048,23.23 seg
30,0.7373,182,0.9998,0.9445,0.7291,0.0046,21.91 seg
31,0.7383,182,0.9999,0.9455,0.7287,0.0044,22.22 seg
32,0.7390,180,0.9998,0.9469,0.7283,0.0046,22.47 seg
33,0.7406,180,0.9998,0.9480,0.7285,0.0043,22.86 seg
34,0.7420,177,0.9998,0.9489,0.7301,0.0040,22.30 seg
35,0.7434,176,0.9998,0.9511,0.7310,0.0041,22.35 seg
36,0.7446,176,0.9997,0.9529,0.7318,0.0040,22.43 seg
37,0.7457,174,0.9998,0.9534,0.7298,0.0038,23.33 seg
38,0.7463,176,0.9998,0.9549,0.7314,0.0037,21.79 seg
39,0.7482,172,0.9998,0.9567,0.7318,0.0036,22.09 seg
40,0.7489,171,0.9997,0.9575,0.7318,0.0035,21.50 seg
41,0.7497,171,0.9998,0.9590,0.7311,0.0034,22.08 seg
42,0.7504,170,0.9997,0.9589,0.7323,0.0031,22.62 seg
43,0.7516,170,0.9996,0.9597,0.7338,0.0030,22.05 seg
44,0.7525,168,0.9997,0.9606,0.7328,0.0029,21.96 seg
45,0.7533,166,0.9997,0.9610,0.7338,0.0027,22.78 seg
46,0.7544,166,0.9996,0.9632,0.7341,0.0026,22.89 seg
47,0.7557,167,0.9996,0.9657,0.7343,0.0025,21.83 seg
48,0.7559,166,0.9996,0.9658,0.7343,0.0024,22.14 seg
49,0.7564,166,0.9997,0.9660,0.7345,0.0023,21.56 seg
50,0.7577,165,0.9997,0.9675,0.7353,0.0022,22.25 seg
