Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6846,274,1.0000,0.9123,0.7108,0.0111,10.71 seg
2,0.6892,268,1.0000,0.9156,0.7094,0.0085,11.16 seg
3,0.6910,271,1.0000,0.9199,0.7097,0.0083,11.20 seg
4,0.6923,264,1.0000,0.9179,0.7099,0.0081,11.15 seg
5,0.6945,256,1.0000,0.9196,0.7112,0.0080,11.53 seg
6,0.6966,251,1.0000,0.9183,0.7114,0.0080,11.31 seg
7,0.6980,251,1.0000,0.9197,0.7132,0.0077,11.51 seg
8,0.7005,238,1.0000,0.9188,0.7099,0.0080,11.37 seg
9,0.7014,238,1.0000,0.9193,0.7109,0.0077,11.37 seg
10,0.7036,236,1.0000,0.9215,0.7162,0.0077,11.18 seg
11,0.7048,227,1.0000,0.9197,0.7148,0.0074,11.31 seg
12,0.7065,231,0.9999,0.9221,0.7156,0.0075,11.41 seg
13,0.7089,223,1.0000,0.9229,0.7165,0.0072,11.24 seg
14,0.7114,219,1.0000,0.9266,0.7153,0.0071,11.58 seg
15,0.7129,217,1.0000,0.9254,0.7179,0.0071,11.32 seg
16,0.7140,216,1.0000,0.9270,0.7172,0.0071,11.36 seg
17,0.7151,207,0.9999,0.9257,0.7188,0.0068,11.46 seg
18,0.7166,209,0.9999,0.9262,0.7212,0.0067,11.48 seg
19,0.7192,204,0.9999,0.9300,0.7207,0.0067,11.32 seg
20,0.7197,201,0.9999,0.9280,0.7215,0.0065,11.13 seg
21,0.7218,198,0.9999,0.9312,0.7200,0.0065,11.32 seg
22,0.7233,195,0.9999,0.9305,0.7225,0.0066,11.51 seg
23,0.7245,190,0.9999,0.9312,0.7224,0.0063,11.04 seg
24,0.7284,186,0.9999,0.9346,0.7227,0.0062,11.33 seg
25,0.7279,188,0.9998,0.9330,0.7233,0.0060,11.41 seg
26,0.7301,186,0.9998,0.9361,0.7244,0.0059,11.64 seg
27,0.7303,180,1.0000,0.9343,0.7232,0.0057,11.09 seg
28,0.7317,179,0.9999,0.9342,0.7262,0.0055,11.94 seg
29,0.7344,177,0.9999,0.9379,0.7247,0.0055,11.14 seg
30,0.7353,175,1.0000,0.9381,0.7270,0.0054,11.37 seg
31,0.7367,178,0.9999,0.9393,0.7284,0.0054,11.35 seg
32,0.7375,168,0.9999,0.9390,0.7272,0.0051,10.94 seg
33,0.7386,171,0.9999,0.9402,0.7266,0.0050,10.95 seg
34,0.7414,168,0.9999,0.9435,0.7294,0.0051,11.41 seg
35,0.7410,166,0.9999,0.9415,0.7287,0.0048,11.47 seg
36,0.7426,165,0.9999,0.9432,0.7295,0.0047,11.05 seg
37,0.7438,163,0.9998,0.9447,0.7286,0.0047,11.37 seg
38,0.7447,160,0.9999,0.9447,0.7290,0.0045,10.98 seg
39,0.7461,162,0.9999,0.9460,0.7295,0.0043,12.21 seg
40,0.7467,160,0.9998,0.9476,0.7283,0.0044,11.03 seg
41,0.7485,159,0.9999,0.9491,0.7278,0.0042,11.48 seg
42,0.7496,156,0.9998,0.9495,0.7303,0.0040,11.03 seg
43,0.7499,156,0.9998,0.9504,0.7303,0.0040,11.37 seg
44,0.7516,155,0.9998,0.9526,0.7303,0.0040,11.03 seg
45,0.7528,151,0.9998,0.9538,0.7313,0.0038,11.93 seg
46,0.7539,152,0.9998,0.9545,0.7332,0.0036,10.98 seg
47,0.7545,149,0.9998,0.9549,0.7316,0.0035,10.97 seg
48,0.7556,151,0.9997,0.9564,0.7305,0.0035,11.05 seg
49,0.7570,149,0.9997,0.9572,0.7322,0.0034,11.51 seg
50,0.7572,148,0.9998,0.9575,0.7306,0.0032,11.05 seg
