Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6844,277,1.0000,0.9103,0.7099,0.0110,21.98 seg
2,0.6885,269,1.0000,0.9140,0.7065,0.0070,22.54 seg
3,0.6919,264,1.0000,0.9168,0.7098,0.0058,22.25 seg
4,0.6937,265,1.0000,0.9183,0.7124,0.0052,22.19 seg
5,0.6962,258,1.0000,0.9186,0.7131,0.0049,22.96 seg
6,0.6966,257,1.0000,0.9187,0.7136,0.0046,22.27 seg
7,0.6986,253,1.0000,0.9209,0.7127,0.0044,22.92 seg
8,0.7000,255,1.0000,0.9240,0.7118,0.0043,22.62 seg
9,0.7018,251,1.0000,0.9246,0.7128,0.0042,22.69 seg
10,0.7030,252,1.0000,0.9260,0.7142,0.0041,23.39 seg
11,0.7039,247,1.0000,0.9236,0.7132,0.0039,22.57 seg
12,0.7064,240,1.0000,0.9267,0.7156,0.0039,22.75 seg
13,0.7085,237,1.0000,0.9289,0.7158,0.0039,22.39 seg
14,0.7102,237,1.0000,0.9310,0.7138,0.0038,22.43 seg
15,0.7118,235,0.9999,0.9318,0.7182,0.0038,23.04 seg
16,0.7135,230,1.0000,0.9325,0.7196,0.0036,22.36 seg
17,0.7151,231,1.0000,0.9353,0.7159,0.0036,23.04 seg
18,0.7160,228,1.0000,0.9358,0.7196,0.0035,22.46 seg
19,0.7178,224,1.0000,0.9368,0.7169,0.0034,22.61 seg
20,0.7196,226,0.9999,0.9387,0.7200,0.0033,23.34 seg
21,0.7207,221,0.9999,0.9388,0.7178,0.0032,22.71 seg
22,0.7224,220,0.9999,0.9412,0.7197,0.0030,23.30 seg
23,0.7233,217,0.9998,0.9403,0.7202,0.0029,22.51 seg
24,0.7251,215,0.9999,0.9413,0.7207,0.0029,22.23 seg
25,0.7267,215,0.9999,0.9445,0.7207,0.0028,22.37 seg
26,0.7276,213,0.9999,0.9448,0.7203,0.0027,23.36 seg
27,0.7289,211,0.9999,0.9471,0.7197,0.0027,22.57 seg
28,0.7298,212,0.9999,0.9483,0.7191,0.0025,23.03 seg
29,0.7315,210,0.9999,0.9497,0.7199,0.0024,22.32 seg
30,0.7324,208,0.9999,0.9503,0.7217,0.0024,22.35 seg
31,0.7336,207,0.9999,0.9517,0.7200,0.0023,21.93 seg
32,0.7349,207,0.9998,0.9536,0.7210,0.0022,23.21 seg
33,0.7354,206,0.9998,0.9540,0.7202,0.0022,22.08 seg
34,0.7371,205,0.9998,0.9571,0.7199,0.0021,22.74 seg
35,0.7378,203,0.9998,0.9567,0.7210,0.0020,22.05 seg
36,0.7391,203,0.9998,0.9580,0.7216,0.0019,21.56 seg
37,0.7397,202,0.9998,0.9580,0.7212,0.0018,21.95 seg
38,0.7409,201,0.9997,0.9597,0.7222,0.0017,23.23 seg
39,0.7420,201,0.9998,0.9620,0.7209,0.0016,21.93 seg
40,0.7423,201,0.9997,0.9625,0.7212,0.0015,22.69 seg
41,0.7429,200,0.9998,0.9624,0.7210,0.0015,22.01 seg
42,0.7438,202,0.9997,0.9643,0.7216,0.0014,21.75 seg
43,0.7446,200,0.9998,0.9654,0.7216,0.0013,22.06 seg
44,0.7453,200,0.9997,0.9666,0.7219,0.0012,22.82 seg
45,0.7459,198,0.9998,0.9669,0.7217,0.0011,22.38 seg
46,0.7464,198,0.9998,0.9676,0.7225,0.0011,21.78 seg
47,0.7468,199,0.9998,0.9684,0.7223,0.0010,23.20 seg
48,0.7474,199,0.9997,0.9694,0.7225,0.0009,21.72 seg
49,0.7482,199,0.9997,0.9708,0.7222,0.0008,21.76 seg
50,0.7485,199,0.9998,0.9711,0.7221,0.0007,22.05 seg
