Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6845,272,1.0000,0.9095,0.7123,0.0108,10.88 seg
2,0.6884,270,1.0000,0.9136,0.7120,0.0073,10.78 seg
3,0.6903,272,1.0000,0.9174,0.7137,0.0069,11.21 seg
4,0.6936,265,1.0000,0.9204,0.7118,0.0067,11.05 seg
5,0.6955,263,1.0000,0.9222,0.7122,0.0065,10.53 seg
6,0.6973,269,1.0000,0.9279,0.7135,0.0065,10.56 seg
7,0.6986,266,1.0000,0.9290,0.7132,0.0059,10.56 seg
8,0.7003,260,1.0000,0.9300,0.7134,0.0052,11.21 seg
9,0.7021,256,0.9998,0.9311,0.7139,0.0045,10.96 seg
10,0.7040,258,0.9998,0.9337,0.7140,0.0040,10.71 seg
11,0.7051,256,0.9998,0.9352,0.7144,0.0036,10.73 seg
12,0.7066,258,0.9998,0.9382,0.7145,0.0032,10.89 seg
13,0.7075,257,0.9998,0.9400,0.7133,0.0029,10.66 seg
14,0.7082,256,0.9998,0.9400,0.7144,0.0023,10.53 seg
15,0.7091,255,0.9998,0.9412,0.7154,0.0021,10.42 seg
16,0.7102,255,0.9998,0.9435,0.7151,0.0020,10.48 seg
17,0.7104,255,0.9998,0.9435,0.7159,0.0020,11.01 seg
18,0.7110,256,0.9997,0.9441,0.7168,0.0021,10.72 seg
19,0.7115,255,0.9997,0.9453,0.7165,0.0013,10.98 seg
20,0.7120,254,0.9997,0.9457,0.7163,0.0011,10.75 seg
21,0.7124,254,0.9997,0.9465,0.7164,0.0008,10.38 seg
22,0.7127,254,0.9997,0.9468,0.7168,0.0006,11.06 seg
23,0.7127,254,0.9997,0.9468,0.7163,0.0004,10.90 seg
24,0.7129,255,0.9997,0.9473,0.7165,0.0003,10.46 seg
25,0.7130,255,0.9997,0.9473,0.7167,0.0002,10.26 seg
26,0.7130,255,0.9997,0.9474,0.7164,0.0001,10.34 seg
27,0.7130,254,0.9997,0.9474,0.7166,0.0001,10.34 seg
28,0.7130,255,0.9997,0.9474,0.7165,0.0000,10.40 seg
29,0.7130,255,0.9996,0.9474,0.7166,0.0000,10.70 seg
30,0.7129,255,0.9996,0.9476,0.7166,0.0000,10.42 seg
31,0.7129,255,0.9996,0.9476,0.7166,0.0001,11.39 seg
32,0.7129,256,0.9996,0.9475,0.7166,0.0000,10.71 seg
33,0.7128,256,0.9995,0.9475,0.7166,0.0000,10.35 seg
34,0.7128,256,0.9995,0.9476,0.7166,0.0000,10.76 seg
35,0.7129,256,0.9995,0.9477,0.7166,0.0000,10.36 seg
36,0.7128,256,0.9994,0.9477,0.7166,0.0000,11.15 seg
37,0.7128,256,0.9994,0.9477,0.7166,0.0000,11.13 seg
38,0.7128,256,0.9994,0.9477,0.7166,0.0000,10.27 seg
39,0.7127,256,0.9994,0.9475,0.7166,0.0000,10.21 seg
40,0.7126,256,0.9994,0.9473,0.7166,0.0000,10.38 seg
41,0.7126,256,0.9994,0.9473,0.7166,0.0000,10.29 seg
42,0.7125,256,0.9994,0.9472,0.7167,0.0000,10.35 seg
43,0.7125,256,0.9994,0.9472,0.7166,0.0000,10.42 seg
44,0.7125,256,0.9994,0.9472,0.7166,0.0000,10.43 seg
45,0.7125,257,0.9994,0.9473,0.7166,0.0000,10.87 seg
46,0.7125,257,0.9994,0.9473,0.7167,0.0000,10.39 seg
47,0.7124,257,0.9994,0.9472,0.7166,0.0000,10.90 seg
48,0.7124,257,0.9993,0.9472,0.7166,0.0000,11.48 seg
49,0.7124,257,0.9993,0.9472,0.7166,0.0000,10.98 seg
50,0.7124,257,0.9993,0.9473,0.7166,0.0000,10.37 seg
