Generacion,Fitness(μ),Solapes(μ),Cohesion Teoria(μ),Equilibrio(μ),Cohesion Practicas(μ),Preferencias(μ),Tiempo(μ)
1,0.6838,279,1.0000,0.9111,0.7083,0.0113,21.60 seg
2,0.6876,266,1.0000,0.9140,0.7095,0.0063,21.85 seg
3,0.6912,268,1.0000,0.9206,0.7122,0.0049,21.35 seg
4,0.6931,266,1.0000,0.9219,0.7110,0.0042,21.50 seg
5,0.6957,260,0.9999,0.9242,0.7135,0.0038,22.04 seg
6,0.6975,263,0.9999,0.9268,0.7135,0.0034,21.10 seg
7,0.6997,261,1.0000,0.9297,0.7144,0.0030,21.90 seg
8,0.7012,261,0.9999,0.9329,0.7120,0.0026,21.21 seg
9,0.7028,259,0.9999,0.9339,0.7140,0.0022,21.40 seg
10,0.7043,256,0.9999,0.9366,0.7136,0.0020,21.85 seg
11,0.7050,256,0.9999,0.9375,0.7123,0.0016,21.06 seg
12,0.7057,257,0.9999,0.9394,0.7132,0.0012,21.56 seg
13,0.7068,255,0.9999,0.9399,0.7127,0.0009,21.05 seg
14,0.7074,254,0.9999,0.9406,0.7139,0.0007,21.47 seg
15,0.7079,256,0.9998,0.9416,0.7140,0.0007,22.07 seg
16,0.7085,254,0.9998,0.9424,0.7135,0.0006,20.70 seg
17,0.7089,254,0.9998,0.9430,0.7136,0.0005,21.38 seg
18,0.7093,254,0.9997,0.9437,0.7135,0.0004,21.24 seg
19,0.7097,254,0.9998,0.9444,0.7132,0.0004,21.01 seg
20,0.7098,254,0.9998,0.9447,0.7134,0.0003,21.45 seg
21,0.7100,255,0.9996,0.9450,0.7136,0.0002,22.18 seg
22,0.7102,255,0.9996,0.9452,0.7137,0.0002,20.87 seg
23,0.7103,254,0.9996,0.9454,0.7134,0.0001,21.72 seg
24,0.7104,255,0.9996,0.9457,0.7134,0.0002,21.08 seg
25,0.7105,254,0.9996,0.9457,0.7135,0.0001,21.82 seg
26,0.7105,255,0.9996,0.9458,0.7134,0.0000,21.22 seg
27,0.7105,254,0.9996,0.9457,0.7135,0.0000,22.39 seg
28,0.7105,254,0.9995,0.9458,0.7135,0.0000,21.30 seg
29,0.7105,254,0.9995,0.9458,0.7135,0.0000,21.38 seg
30,0.7105,255,0.9995,0.9459,0.7135,0.0000,21.31 seg
31,0.7105,255,0.9995,0.9459,0.7135,0.0000,20.71 seg
32,0.7105,255,0.9995,0.9459,0.7135,0.0000,21.24 seg
33,0.7105,255,0.9995,0.9458,0.7135,0.0000,20.51 seg
34,0.7104,255,0.9995,0.9458,0.7135,0.0000,21.62 seg
35,0.7104,255,0.9995,0.9457,0.7135,0.0000,21.89 seg
36,0.7104,255,0.9995,0.9457,0.7135,0.0000,20.96 seg
37,0.7103,255,0.9994,0.9457,0.7135,0.0000,21.02 seg
38,0.7103,255,0.9994,0.9457,0.7135,0.0000,20.85 seg
39,0.7103,255,0.9994,0.9457,0.7135,0.0000,20.48 seg
40,0.7103,255,0.9994,0.9457,0.7135,0.0000,21.45 seg
41,0.7102,256,0.9994,0.9457,0.7135,0.0000,20.67 seg
42,0.7102,256,0.9994,0.9457,0.7135,0.0000,21.01 seg
43,0.7101,256,0.9993,0.9457,0.7135,0.0000,22.04 seg
44,0.7101,256,0.9993,0.9456,0.7135,0.0000,21.11 seg
45,0.7100,256,0.9993,0.9456,0.7135,0.0000,21.45 seg
46,0.7100,256,0.9993,0.9456,0.7135,0.0000,20.39 seg
47,0.7100,256,0.9993,0.9456,0.7133,0.0000,20.93 seg
48,0.7100,256,0.9992,0.9457,0.7133,0.0000,20.58 seg
49,0.7100,256,0.9992,0.9457,0.7133,0.0000,20.63 seg
50,0.7100,256,0.9992,0.9457,0.7133,0.0000,21.74 seg
