Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6811,282,1.0000,0.9044,0.7125,0.4737,0.6583,0.0121,4.54 seg
2,0.6855,266,1.0000,0.9084,0.7116,0.4670,0.6718,0.0051,4.38 seg
3,0.6945,271,1.0000,0.9244,0.7184,0.4709,0.6797,0.0042,4.86 seg
4,0.6967,276,0.9997,0.9276,0.7123,0.4850,0.6900,0.0032,4.42 seg
5,0.6991,270,0.9997,0.9281,0.7180,0.4865,0.6952,0.0014,4.48 seg
6,0.7008,270,0.9997,0.9319,0.7162,0.4853,0.6975,0.0011,4.45 seg
7,0.7044,269,0.9998,0.9370,0.7181,0.4881,0.6998,0.0014,5.01 seg
8,0.7056,268,0.9998,0.9391,0.7197,0.4854,0.7032,0.0010,4.39 seg
9,0.7072,268,0.9998,0.9414,0.7182,0.4892,0.7052,0.0008,4.28 seg
10,0.7075,269,0.9998,0.9419,0.7184,0.4904,0.7069,0.0003,4.43 seg
11,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.78 seg
12,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.37 seg
13,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.33 seg
14,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.41 seg
15,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.33 seg
16,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.41 seg
17,0.7070,269,0.9989,0.9419,0.7184,0.4879,0.7070,0.0000,4.44 seg
18,0.7071,269,0.9989,0.9422,0.7181,0.4875,0.7071,0.0000,5.02 seg
19,0.7071,269,0.9989,0.9422,0.7181,0.4875,0.7071,0.0000,4.46 seg
20,0.7071,269,0.9989,0.9422,0.7181,0.4875,0.7071,0.0000,4.40 seg
21,0.7059,273,0.9984,0.9417,0.7167,0.4882,0.7059,0.0000,4.14 seg
22,0.7059,273,0.9984,0.9417,0.7167,0.4882,0.7059,0.0000,4.35 seg
23,0.7059,273,0.9984,0.9417,0.7167,0.4882,0.7059,0.0000,4.50 seg
24,0.7059,273,0.9984,0.9417,0.7167,0.4882,0.7059,0.0000,4.42 seg
