Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6813,266,1.0000,0.9077,0.7031,0.4542,0.6589,0.0106,2.50 seg
2,0.6859,244,1.0000,0.9086,0.7089,0.4468,0.6680,0.0086,2.22 seg
3,0.6891,264,1.0000,0.9170,0.7059,0.4674,0.6746,0.0079,2.37 seg
4,0.6948,261,0.9996,0.9243,0.7115,0.4708,0.6815,0.0067,2.35 seg
5,0.6976,263,0.9993,0.9277,0.7122,0.4795,0.6870,0.0048,2.36 seg
6,0.7001,262,0.9993,0.9317,0.7170,0.4770,0.6898,0.0048,2.85 seg
7,0.7024,242,0.9993,0.9266,0.7122,0.4858,0.6934,0.0039,2.38 seg
8,0.7045,247,0.9985,0.9329,0.7055,0.4893,0.6965,0.0041,2.31 seg
9,0.7076,250,0.9979,0.9377,0.7082,0.4948,0.7003,0.0038,2.36 seg
10,0.7082,253,0.9972,0.9394,0.7100,0.4966,0.7029,0.0025,2.23 seg
11,0.7100,252,0.9969,0.9436,0.7094,0.4921,0.7054,0.0025,2.38 seg
12,0.7122,248,0.9972,0.9454,0.7141,0.4907,0.7083,0.0020,2.89 seg
13,0.7111,256,0.9960,0.9476,0.7087,0.4911,0.7078,0.0014,2.15 seg
14,0.7127,255,0.9960,0.9475,0.7132,0.4976,0.7097,0.0013,2.36 seg
15,0.7123,260,0.9952,0.9499,0.7117,0.4951,0.7103,0.0009,2.19 seg
16,0.7123,261,0.9950,0.9500,0.7124,0.4958,0.7100,0.0010,2.22 seg
17,0.7125,262,0.9944,0.9508,0.7120,0.4960,0.7109,0.0008,2.22 seg
18,0.7122,264,0.9939,0.9510,0.7115,0.4970,0.7110,0.0007,2.25 seg
19,0.7125,267,0.9931,0.9529,0.7112,0.4970,0.7115,0.0005,2.25 seg
20,0.7120,267,0.9931,0.9521,0.7119,0.4964,0.7112,0.0005,2.19 seg
21,0.7120,267,0.9931,0.9521,0.7119,0.4964,0.7119,0.0001,2.21 seg
22,0.7116,268,0.9930,0.9518,0.7119,0.4963,0.7116,0.0000,2.35 seg
23,0.7099,272,0.9920,0.9504,0.7122,0.4961,0.7099,0.0000,2.17 seg
24,0.7092,276,0.9912,0.9507,0.7122,0.4962,0.7092,0.0000,2.89 seg
25,0.7082,280,0.9907,0.9505,0.7125,0.4963,0.7082,0.0000,2.19 seg
26,0.7053,291,0.9892,0.9499,0.7123,0.4958,0.7053,0.0000,2.16 seg
27,0.7045,294,0.9887,0.9497,0.7123,0.4956,0.7045,0.0000,2.14 seg
28,0.7041,295,0.9887,0.9493,0.7123,0.4957,0.7041,0.0000,2.18 seg
29,0.7034,295,0.9887,0.9482,0.7121,0.4956,0.7034,0.0000,2.15 seg
30,0.7035,297,0.9884,0.9491,0.7121,0.4958,0.7035,0.0000,2.15 seg
31,0.7015,305,0.9865,0.9492,0.7118,0.4950,0.7015,0.0000,2.12 seg
32,0.7016,306,0.9863,0.9498,0.7118,0.4948,0.7016,0.0000,2.13 seg
33,0.6997,310,0.9857,0.9483,0.7120,0.4937,0.6997,0.0000,2.29 seg
34,0.6994,313,0.9855,0.9488,0.7125,0.4936,0.6994,0.0000,2.27 seg
35,0.6979,314,0.9846,0.9469,0.7122,0.4932,0.6979,0.0000,2.25 seg
36,0.6975,316,0.9843,0.9469,0.7122,0.4933,0.6975,0.0000,2.19 seg
37,0.6961,320,0.9839,0.9464,0.7125,0.4916,0.6961,0.0000,2.30 seg
38,0.6952,322,0.9833,0.9456,0.7125,0.4917,0.6952,0.0000,2.13 seg
39,0.6951,325,0.9828,0.9467,0.7123,0.4916,0.6951,0.0000,2.18 seg
40,0.6936,329,0.9821,0.9457,0.7121,0.4920,0.6936,0.0000,2.16 seg
41,0.6931,332,0.9816,0.9459,0.7121,0.4918,0.6931,0.0000,3.04 seg
42,0.6924,334,0.9813,0.9454,0.7121,0.4920,0.6924,0.0000,2.16 seg
43,0.6923,334,0.9813,0.9454,0.7118,0.4921,0.6923,0.0000,2.06 seg
44,0.6903,340,0.9803,0.9443,0.7118,0.4918,0.6903,0.0000,2.17 seg
45,0.6894,343,0.9797,0.9437,0.7119,0.4921,0.6894,0.0000,2.12 seg
46,0.6887,344,0.9792,0.9430,0.7112,0.4927,0.6887,0.0000,2.17 seg
47,0.6881,346,0.9790,0.9428,0.7114,0.4926,0.6881,0.0000,2.32 seg
48,0.6875,348,0.9787,0.9425,0.7112,0.4923,0.6875,0.0000,2.24 seg
49,0.6873,350,0.9784,0.9430,0.7110,0.4921,0.6873,0.0000,2.32 seg
50,0.6866,352,0.9784,0.9425,0.7110,0.4923,0.6866,0.0000,2.17 seg
