Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6874,261,1.0000,0.9100,0.7170,0.4718,0.6583,0.0120,12.75 seg
2,0.6893,274,1.0000,0.9141,0.7208,0.4853,0.6697,0.0080,13.02 seg
3,0.6956,254,1.0000,0.9216,0.7093,0.4789,0.6761,0.0092,14.48 seg
4,0.6999,259,0.9995,0.9269,0.7110,0.4946,0.6865,0.0065,12.76 seg
5,0.7023,260,0.9991,0.9347,0.7107,0.4834,0.6934,0.0040,13.50 seg
6,0.7027,259,0.9991,0.9351,0.7082,0.4849,0.6965,0.0029,12.91 seg
7,0.7065,258,0.9991,0.9400,0.7115,0.4885,0.6996,0.0029,13.14 seg
8,0.7085,255,0.9991,0.9432,0.7095,0.4879,0.7030,0.0028,14.18 seg
9,0.7115,251,0.9989,0.9458,0.7114,0.4909,0.7057,0.0023,12.83 seg
10,0.7130,252,0.9989,0.9480,0.7127,0.4937,0.7082,0.0020,12.55 seg
11,0.7131,252,0.9986,0.9465,0.7116,0.5007,0.7094,0.0016,13.23 seg
12,0.7139,251,0.9986,0.9494,0.7113,0.4944,0.7110,0.0014,12.95 seg
13,0.7153,251,0.9986,0.9525,0.7095,0.4934,0.7127,0.0014,14.60 seg
14,0.7158,251,0.9986,0.9529,0.7099,0.4953,0.7141,0.0009,12.88 seg
15,0.7152,250,0.9986,0.9522,0.7084,0.4933,0.7144,0.0004,13.07 seg
16,0.7156,251,0.9986,0.9527,0.7097,0.4944,0.7149,0.0003,13.26 seg
17,0.7142,251,0.9986,0.9496,0.7104,0.4964,0.7139,0.0002,12.69 seg
18,0.7136,254,0.9984,0.9497,0.7103,0.4963,0.7136,0.0000,12.67 seg
19,0.7129,254,0.9984,0.9484,0.7108,0.4963,0.7129,0.0001,12.92 seg
20,0.7114,257,0.9981,0.9469,0.7106,0.4962,0.7114,0.0000,14.88 seg
21,0.7114,257,0.9981,0.9469,0.7106,0.4960,0.7114,0.0000,12.84 seg
22,0.7112,257,0.9981,0.9466,0.7106,0.4963,0.7112,0.0000,12.81 seg
23,0.7108,257,0.9981,0.9458,0.7106,0.4963,0.7108,0.0000,12.90 seg
24,0.7105,256,0.9981,0.9445,0.7114,0.4965,0.7105,0.0000,12.76 seg
25,0.7097,256,0.9981,0.9432,0.7111,0.4965,0.7097,0.0000,12.73 seg
26,0.7095,256,0.9981,0.9429,0.7112,0.4965,0.7095,0.0000,12.75 seg
27,0.7095,256,0.9981,0.9429,0.7112,0.4965,0.7095,0.0000,15.54 seg
28,0.7094,256,0.9976,0.9428,0.7115,0.4961,0.7093,0.0000,12.92 seg
29,0.7096,256,0.9976,0.9431,0.7113,0.4964,0.7094,0.0000,13.12 seg
30,0.7096,256,0.9976,0.9431,0.7113,0.4964,0.7096,0.0001,12.76 seg
31,0.7087,257,0.9970,0.9419,0.7115,0.4965,0.7087,0.0001,12.88 seg
32,0.7076,259,0.9968,0.9410,0.7103,0.4966,0.7074,0.0000,12.95 seg
33,0.7076,259,0.9968,0.9410,0.7103,0.4966,0.7076,0.0000,13.25 seg
34,0.7071,260,0.9968,0.9400,0.7113,0.4970,0.7071,0.0000,12.74 seg
35,0.7065,260,0.9968,0.9395,0.7094,0.4967,0.7065,0.0000,12.66 seg
36,0.7062,260,0.9968,0.9392,0.7091,0.4960,0.7062,0.0001,15.64 seg
37,0.7050,261,0.9968,0.9372,0.7094,0.4967,0.7050,0.0000,12.59 seg
38,0.7053,262,0.9968,0.9382,0.7088,0.4967,0.7047,0.0000,13.12 seg
39,0.7053,262,0.9968,0.9382,0.7088,0.4967,0.7053,0.0000,13.15 seg
40,0.7049,262,0.9968,0.9371,0.7096,0.4971,0.7049,0.0000,12.71 seg
41,0.7046,261,0.9968,0.9368,0.7081,0.4962,0.7046,0.0000,12.84 seg
42,0.7042,261,0.9968,0.9360,0.7091,0.4959,0.7042,0.0000,13.37 seg
43,0.7039,264,0.9958,0.9367,0.7096,0.4956,0.7035,0.0000,12.89 seg
44,0.7049,264,0.9958,0.9385,0.7099,0.4955,0.7039,0.0001,12.92 seg
45,0.7049,264,0.9958,0.9385,0.7099,0.4955,0.7049,0.0001,16.04 seg
46,0.7043,268,0.9955,0.9388,0.7091,0.4964,0.7036,0.0000,12.18 seg
47,0.7043,268,0.9955,0.9388,0.7091,0.4964,0.7043,0.0000,12.59 seg
48,0.7035,268,0.9955,0.9375,0.7093,0.4960,0.7035,0.0000,12.90 seg
49,0.7032,268,0.9955,0.9371,0.7090,0.4956,0.7032,0.0000,13.10 seg
50,0.7032,269,0.9949,0.9377,0.7088,0.4954,0.7032,0.0000,13.00 seg
51,0.7034,272,0.9946,0.9387,0.7090,0.4974,0.7031,0.0000,13.14 seg
52,0.7034,272,0.9946,0.9387,0.7090,0.4974,0.7034,0.0000,12.99 seg
53,0.7032,270,0.9946,0.9381,0.7082,0.4962,0.7032,0.0000,12.84 seg
54,0.7031,270,0.9946,0.9378,0.7082,0.4965,0.7031,0.0000,12.84 seg
55,0.7029,271,0.9943,0.9380,0.7087,0.4954,0.7029,0.0001,12.63 seg
56,0.7017,274,0.9938,0.9376,0.7071,0.4949,0.7013,0.0000,16.62 seg
57,0.7017,274,0.9938,0.9376,0.7071,0.4949,0.7017,0.0000,12.51 seg
58,0.7012,276,0.9935,0.9375,0.7074,0.4949,0.7012,0.0000,12.32 seg
59,0.7010,276,0.9935,0.9371,0.7069,0.4951,0.7010,0.0000,12.52 seg
60,0.7007,276,0.9935,0.9366,0.7075,0.4947,0.7007,0.0000,12.75 seg
61,0.7011,276,0.9935,0.9372,0.7081,0.4944,0.7007,0.0000,12.92 seg
62,0.7020,276,0.9935,0.9391,0.7072,0.4945,0.7011,0.0001,12.75 seg
