(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),25,0.7241 ( 241 1.0000 0.9597 0.7157 0.4891 ) ,7.57 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),33,0.7306 ( 219 1.0000 0.9623 0.7174 0.4942 ) ,4.03 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),29,0.7248 ( 232 1.0000 0.9602 0.7177 0.4939 ) ,7.58 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),20,0.7144 ( 249 1.0000 0.9503 0.7165 0.4814 ) ,7.42 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),72,0.7204 ( 240 1.0000 0.9523 0.7166 0.5026 ) ,3.72 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),17,0.7138 ( 249 0.9997 0.9454 0.7186 0.4900 ) ,7.25 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),8,0.7053 ( 254 1.0000 0.9390 0.7113 0.4807 ) ,7.20 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),31,0.7067 ( 239 1.0000 0.9332 0.7195 0.4841 ) ,3.75 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),55,0.7099 ( 245 0.9993 0.9420 0.7207 0.4829 ) ,7.30 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),42,0.7174 ( 230 0.9995 0.9498 0.7233 0.4785 ) ,7.41 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),31,0.7321 ( 226 1.0000 0.9639 0.7167 0.5143 ) ,3.74 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),28,0.7141 ( 253 1.0000 0.9492 0.7140 0.4937 ) ,7.45 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),37,0.7156 ( 259 0.9997 0.9545 0.7166 0.4836 ) ,7.47 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),23,0.7186 ( 250 0.9997 0.9528 0.7052 0.5004 ) ,3.89 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),44,0.7168 ( 240 1.0000 0.9490 0.7177 0.4972 ) ,7.41 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),14,0.7146 ( 256 1.0000 0.9508 0.7140 0.4833 ) ,7.17 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),26,0.7074 ( 257 0.9997 0.9435 0.7160 0.4706 ) ,3.78 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),52,0.7083 ( 272 0.9996 0.9513 0.7141 0.4774 ) ,7.32 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),30,0.7246 ( 237 1.0000 0.9612 0.7225 0.4903 ) ,7.45 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),33,0.7270 ( 213 1.0000 0.9535 0.7214 0.5081 ) ,3.79 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),24,0.7162 ( 244 1.0000 0.9529 0.7012 0.4923 ) ,7.41 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),18,0.7154 ( 252 1.0000 0.9496 0.7089 0.5013 ) ,7.50 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),20,0.7096 ( 256 1.0000 0.9492 0.6982 0.4655 ) ,3.75 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),19,0.7209 ( 262 1.0000 0.9615 0.7169 0.5012 ) ,7.47 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),16,0.7084 ( 262 1.0000 0.9427 0.7129 0.4918 ) ,7.50 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),12,0.7076 ( 257 1.0000 0.9433 0.7044 0.4822 ) ,3.78 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),12,0.7085 ( 269 1.0000 0.9481 0.7071 0.4881 ) ,7.61 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),30,0.7261 ( 236 0.9993 0.9655 0.7197 0.4875 ) ,7.78 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),40,0.7352 ( 229 0.9992 0.9688 0.7133 0.5356 ) ,3.79 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),23,0.7201 ( 225 0.9994 0.9490 0.7183 0.4889 ) ,7.55 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),20,0.7180 ( 258 0.9994 0.9564 0.7178 0.4932 ) ,7.52 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),23,0.7240 ( 230 0.9996 0.9571 0.7147 0.4953 ) ,3.72 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),19,0.7195 ( 245 0.9994 0.9553 0.7290 0.4878 ) ,7.48 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),13,0.7087 ( 258 0.9998 0.9425 0.7073 0.4797 ) ,7.24 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),9,0.7056 ( 274 0.9997 0.9483 0.7161 0.4699 ) ,3.77 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),11,0.7044 ( 273 0.9996 0.9395 0.7113 0.4767 ) ,7.72 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),31,0.7278 ( 236 0.9990 0.9617 0.7199 0.5071 ) ,7.49 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),31,0.7302 ( 218 0.9988 0.9574 0.7175 0.5202 ) ,3.77 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7177 ( 255 0.9996 0.9595 0.7118 0.4787 ) ,7.35 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),30,0.7199 ( 255 0.9991 0.9606 0.7029 0.4998 ) ,7.46 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),20,0.7221 ( 232 1.0000 0.9596 0.7149 0.4763 ) ,3.72 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),21,0.7130 ( 260 0.9984 0.9494 0.7177 0.4847 ) ,7.44 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme elitismo),14,0.7076 ( 267 1.0000 0.9482 0.7091 0.4870 ) ,7.40 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),12,0.7116 ( 260 1.0000 0.9480 0.7104 0.4856 ) ,3.72 min
100-100-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),14,0.7144 ( 245 0.9995 0.9435 0.7168 0.4951 ) ,7.32 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme elitismo),25,0.7175 ( 236 0.9975 0.9524 0.7209 0.4858 ) ,7.46 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),28,0.7164 ( 260 0.9978 0.9609 0.7192 0.4696 ) ,3.68 min
100-100-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),33,0.7229 ( 252 0.9969 0.9580 0.7192 0.5090 ) ,7.46 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme elitismo),17,0.7126 ( 241 0.9999 0.9480 0.7226 0.4594 ) ,7.44 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),19,0.7146 ( 264 0.9997 0.9523 0.7152 0.4846 ) ,3.73 min
100-100-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),16,0.7185 ( 249 0.9993 0.9544 0.7182 0.4881 ) ,7.48 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme elitismo),12,0.7121 ( 259 0.9998 0.9462 0.7162 0.4855 ) ,7.48 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),15,0.7142 ( 259 1.0000 0.9523 0.7059 0.4932 ) ,3.68 min
100-100-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),13,0.7042 ( 254 0.9997 0.9357 0.7024 0.4857 ) ,7.33 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),21,0.7148 ( 271 0.9962 0.9598 0.7116 0.4963 ) ,7.39 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),28,0.7237 ( 252 0.9957 0.9624 0.7125 0.5070 ) ,3.73 min
100-100-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),21,0.7158 ( 259 0.9956 0.9524 0.7110 0.5024 ) ,7.47 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),15,0.7110 ( 255 0.9971 0.9398 0.7271 0.4882 ) ,7.40 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),16,0.7102 ( 265 0.9975 0.9455 0.7155 0.4871 ) ,3.81 min
100-100-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),22,0.7118 ( 267 0.9943 0.9496 0.7181 0.5021 ) ,7.70 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),9,0.7151 ( 241 0.9987 0.9453 0.7227 0.4959 ) ,7.43 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),10,0.7074 ( 278 0.9986 0.9542 0.7140 0.4660 ) ,3.60 min
100-100-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),12,0.7058 ( 265 0.9982 0.9398 0.7251 0.4821 ) ,7.44 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme elitismo),27,0.7145 ( 263 0.9959 0.9510 0.7261 0.4970 ) ,7.32 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),23,0.7169 ( 273 0.9971 0.9621 0.7181 0.4885 ) ,3.72 min
100-100-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),25,0.7217 ( 256 0.9966 0.9640 0.7058 0.5037 ) ,7.60 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme elitismo),17,0.7117 ( 284 0.9958 0.9550 0.7147 0.5018 ) ,7.54 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),15,0.7137 ( 264 0.9968 0.9585 0.7075 0.4758 ) ,3.76 min
100-100-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),10,0.7024 ( 289 0.9990 0.9466 0.7200 0.4756 ) ,7.55 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme elitismo),11,0.7031 ( 286 0.9959 0.9442 0.7155 0.4738 ) ,7.32 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),10,0.7033 ( 284 0.9930 0.9452 0.7150 0.4828 ) ,3.73 min
100-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),9,0.7014 ( 274 0.9982 0.9442 0.7080 0.4711 ) ,7.35 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),18,0.7069 ( 277 0.9970 0.9589 0.7101 0.4627 ) ,7.49 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),30,0.7276 ( 248 0.9955 0.9601 0.7176 0.5189 ) ,3.88 min
100-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),25,0.7208 ( 251 0.9963 0.9586 0.7079 0.5061 ) ,7.52 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),18,0.7155 ( 253 0.9957 0.9528 0.7105 0.4955 ) ,7.42 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),16,0.7112 ( 272 0.9970 0.9515 0.7116 0.4962 ) ,3.67 min
100-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),13,0.7100 ( 274 0.9982 0.9498 0.7171 0.4862 ) ,7.26 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),11,0.7096 ( 270 0.9947 0.9448 0.7172 0.5029 ) ,7.51 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),12,0.7069 ( 273 0.9968 0.9462 0.7148 0.4745 ) ,3.76 min
100-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7098 ( 260 0.9983 0.9427 0.7126 0.5048 ) ,7.41 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),35,0.7216 ( 245 0.9995 0.9608 0.7171 0.4886 ) ,3.60 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),29,0.7295 ( 232 1.0000 0.9662 0.7173 0.4948 ) ,1.94 min
100-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),23,0.7187 ( 246 1.0000 0.9548 0.7159 0.4919 ) ,3.78 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),20,0.7206 ( 259 1.0000 0.9624 0.7246 0.4843 ) ,3.58 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),16,0.7137 ( 244 1.0000 0.9510 0.6997 0.4815 ) ,1.85 min
100-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),18,0.7165 ( 248 1.0000 0.9470 0.7147 0.5071 ) ,3.68 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),36,0.7059 ( 266 1.0000 0.9360 0.7159 0.4902 ) ,3.68 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7118 ( 255 1.0000 0.9423 0.7130 0.4995 ) ,1.85 min
100-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),24,0.7075 ( 290 0.9997 0.9499 0.7180 0.4759 ) ,3.69 min
100-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),34,0.7306 ( 225 1.0000 0.9660 0.7136 0.5032 ) ,3.78 min
